seed,primary_cluster_id,subcluster_id,objective,seed_number,curve_class,final_interpretation_class,monotonicity_reliability
8,vi_C01,vi_C01_Sc01,14.59910613834,8,inverted_u_shaped,unreliable_small_spectral_gap,unreliable_small_gap
10,vi_C01,vi_C01_Sc01,15.8443722104055,10,inverted_u_shaped,unreliable_small_spectral_gap,unreliable_small_gap
14,vi_C01,vi_C01_Sc01,15.0542789937525,14,inverted_u_shaped,unreliable_small_spectral_gap,unreliable_small_gap
15,vi_C01,vi_C01_Sc01,15.577406009114,15,inverted_u_shaped,unreliable_small_spectral_gap,unreliable_small_gap
18,vi_C01,vi_C01_Sc01,14.4618180546976,18,inverted_u_shaped,inverted_u_shaped,caution_small_gap
33,vi_C01,vi_C01_Sc01,14.6882107777492,33,monotone_increasing,monotone_increasing,reliable
51,vi_C01,vi_C01_Sc01,16.4830222684092,51,complex_nonmonotone,unreliable_small_spectral_gap,unreliable_small_gap
56,vi_C01,vi_C01_Sc01,14.8299128128921,56,inverted_u_shaped,unreliable_small_spectral_gap,unreliable_small_gap
67,vi_C01,vi_C01_Sc01,15.1102690321726,67,inverted_u_shaped,unreliable_small_spectral_gap,unreliable_small_gap
76,vi_C01,vi_C01_Sc01,15.6237417030627,76,complex_nonmonotone,unreliable_small_spectral_gap,unreliable_small_gap
80,vi_C01,vi_C01_Sc01,14.2622856799331,80,inverted_u_shaped,unreliable_small_spectral_gap,unreliable_small_gap
83,vi_C01,vi_C01_Sc01,18.6165258665108,83,inverted_u_shaped,unreliable_small_spectral_gap,unreliable_small_gap
84,vi_C01,vi_C01_Sc01,16.9420002516286,84,inverted_u_shaped,inverted_u_shaped,caution_small_gap
86,vi_C01,vi_C01_Sc01,14.6202679747629,86,inverted_u_shaped,unreliable_small_spectral_gap,unreliable_small_gap
104,vi_C01,vi_C01_Sc01,15.0555883113927,104,inverted_u_shaped,unreliable_small_spectral_gap,unreliable_small_gap
106,vi_C01,vi_C01_Sc01,14.6725577522133,106,inverted_u_shaped,inverted_u_shaped,caution_small_gap
108,vi_C01,vi_C01_Sc01,14.9269642104023,108,inverted_u_shaped,inverted_u_shaped,reliable
112,vi_C01,vi_C01_Sc01,14.9456711834741,112,inverted_u_shaped,unreliable_small_spectral_gap,unreliable_small_gap
119,vi_C01,vi_C01_Sc01,14.3232090321374,119,u_shaped,unreliable_small_spectral_gap,unreliable_small_gap
125,vi_C01,vi_C01_Sc01,14.4792241244617,125,inverted_u_shaped,unreliable_small_spectral_gap,unreliable_small_gap
136,vi_C01,vi_C01_Sc01,14.1827805379837,136,inverted_u_shaped,inverted_u_shaped,caution_small_gap
141,vi_C01,vi_C01_Sc01,15.4767801807631,141,inverted_u_shaped,unreliable_small_spectral_gap,unreliable_small_gap
142,vi_C01,vi_C01_Sc01,14.8267546833386,142,inverted_u_shaped,unreliable_small_spectral_gap,unreliable_small_gap
149,vi_C01,vi_C01_Sc01,14.3420541012032,149,inverted_u_shaped,unreliable_small_spectral_gap,unreliable_small_gap
151,vi_C01,vi_C01_Sc01,14.2109994625262,151,inverted_u_shaped,inverted_u_shaped,caution_small_gap
153,vi_C01,vi_C01_Sc01,14.635132174691,153,inverted_u_shaped,inverted_u_shaped,caution_small_gap
164,vi_C01,vi_C01_Sc01,15.9175873247269,164,inverted_u_shaped,unreliable_small_spectral_gap,unreliable_small_gap
182,vi_C01,vi_C01_Sc01,14.5888070059337,182,inverted_u_shaped,unreliable_small_spectral_gap,unreliable_small_gap
183,vi_C01,vi_C01_Sc01,14.5454959725711,183,inverted_u_shaped,inverted_u_shaped,caution_small_gap
192,vi_C01,vi_C01_Sc01,15.4435800622818,192,inverted_u_shaped,unreliable_small_spectral_gap,unreliable_small_gap
196,vi_C01,vi_C01_Sc01,15.0552734296545,196,inverted_u_shaped,unreliable_small_spectral_gap,unreliable_small_gap
198,vi_C01,vi_C01_Sc01,14.3947628218579,198,monotone_increasing,monotone_increasing,reliable
202,vi_C01,vi_C01_Sc01,14.9356458374066,202,inverted_u_shaped,unreliable_small_spectral_gap,unreliable_small_gap
211,vi_C01,vi_C01_Sc01,14.3554695425058,211,monotone_increasing,unreliable_small_spectral_gap,unreliable_small_gap
212,vi_C01,vi_C01_Sc01,14.8283380745677,212,inverted_u_shaped,unreliable_small_spectral_gap,unreliable_small_gap
