argument,value
run_dir,/share/lab_crd/lab_crd/taoli/Project/miningcloneid_soft_coupling/oxygen/results/fit_invivo_O2_buffering_500seed
out_dir,/share/lab_crd/lab_crd/taoli/Project/miningcloneid_soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_monotone_500seed_20260714_021540/cross_validation/best_fit_parameter_feature/03_dense-grid_monotonicity_classification/monotonicity_classification/dense-grid_monotonicity_classification
script,/share/lab_crd/lab_crd/taoli/Project/miningcloneid_soft_coupling/oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/03_dense-grid_monotonicity_classification/fixed_o2_ploidy_monotonicity.R
array_backend,/share/lab_crd/lab_crd/taoli/Project/miningcloneid_soft_coupling/oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/03_dense-grid_monotonicity_classification/dense_grid_monotonicity_array_backend.R
task_file,/share/lab_crd/lab_crd/taoli/Project/miningcloneid_soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_monotone_500seed_20260714_021540/cross_validation/best_fit_parameter_feature/03_dense-grid_monotonicity_classification/monotonicity_classification/dense-grid_monotonicity_classification/hpc/task_lists/monotonicity_seed_o2_tasks.tsv
o2_grid,"0.000,0.025,0.050,0.075,0.100,0.125,0.150,0.175,0.200,0.225,0.250,0.275,0.300,0.325,0.350,0.375,0.400,0.425,0.450,0.475,0.500,0.525,0.550,0.575,0.600,0.625,0.650,0.675,0.700,0.725,0.750,0.775,0.800,0.825,0.850,0.875,0.900,0.925,0.950,0.975,1.000,1.025,1.050,1.075,1.100,1.125,1.150,1.175,1.200,1.225,1.250,1.275,1.300,1.325,1.350,1.375,1.400,1.425,1.450,1.475,1.500,1.525,1.550,1.575,1.600,1.625,1.650,1.675,1.700,1.725,1.750,1.775,1.800,1.825,1.850,1.875,1.900,1.925,1.950,1.975,2.000,2.025,2.050,2.075,2.100,2.125,2.150,2.175,2.200,2.225,2.250,2.275,2.300,2.325,2.350,2.375,2.400,2.425,2.450,2.475,2.500,2.525,2.550,2.575,2.600,2.625,2.650,2.675,2.700,2.725,2.750,2.775,2.800,2.825,2.850,2.875,2.900,2.925,2.950,2.975,3.000,3.025,3.050,3.075,3.100,3.125,3.150,3.175,3.200,3.225,3.250,3.275,3.300,3.325,3.350,3.375,3.400,3.425,3.450,3.475,3.500,3.525,3.550,3.575,3.600,3.625,3.650,3.675,3.700,3.725,3.750,3.775,3.800,3.825,3.850,3.875,3.900,3.925,3.950,3.975,4.000,4.025,4.050,4.075,4.100,4.125,4.150,4.175,4.200,4.225,4.250,4.275,4.300,4.325,4.350,4.375,4.400,4.425,4.450,4.475,4.500,4.525,4.550,4.575,4.600,4.625,4.650,4.675,4.700,4.725,4.750,4.775,4.800,4.825,4.850,4.875,4.900,4.925,4.950,4.975,5.000"
n_o2,201
reporting_o2,"0.0,0.1,0.5,1.0,2.0,5.0"
n_seed,500
expected_curve_rows,100500
max_seeds,
classification_rule_version,shape_first_v3
flat_range_threshold,0.05
step_epsilon_rule,"max(step_epsilon_abs, step_epsilon_fraction * ploidy_range)"
step_epsilon_abs,1e-06
step_epsilon_fraction,1e-04
reverse_fraction_tolerance,0.05
plateau_min_points,3
gap_low,0.005
gap_caution,0.01
unreliable_fraction,0.25
caution_fraction,0.1
analytical_method,"fixed-O2 generator dominant eigenvector; seed x O2 Slurm-array analytical grid evaluation, not stochastic simulation"
