fit,seed,rank,parameter,value,lower,upper,status
invivo,seed25,1,lam_max,0.238802464684995,0.005,0.3,interior
invivo,seed25,1,p_misseg,0.186505530221572,0.005,0.5,interior
invivo,seed25,1,k_o_mis,0.0027445872539549,0.001,0.02,interior
invivo,seed25,1,buffer_smax,0.91383579399473,0.0,1.0,interior
invivo,seed25,1,buffer_beta,0.227352097320628,0.01,10.0,interior
invivo,seed25,1,buffer_n_exp,10.0,0.1,10.0,upper
invivo,seed25,1,p_wgd,1.24027325450911e-05,1e-05,0.001,interior
invivo,seed25,1,o2_S0,3.97501050922981,2.0,5.0,interior
invivo,seed25,1,kappa_O,1.06098724029744,0.1,1.2,interior
invivo,seed25,1,eta_o2,1.00311629369371,1.0,2.0,interior
invivo,seed25,1,rho_2N,119495.533069927,50000.0,500000.0,interior
invivo,seed25,1,alpha_o2,1.74037848667329,0.5,4.0,interior
invivo,seed25,1,gamma_growth,2.86237213071632,1.5,4.5,interior
invivo,seed25,1,mu_hp,0.0498842540247737,0.005,0.3,interior
invivo,seed25,1,gamma_mu,2.6787234895116,1.2,3.5,interior
invivo,seed25,1,O2_crit,0.168760323014007,0.1,2.5,interior
invivo,seed25,1,n_O,1.6636073078992,0.5,5.0,interior
invivo,seed25,1,k_clear,0.0086538974306416,0.005,0.3,interior
invivo,seed25,1,sigma_burden,0.15,0.1,0.15,upper
invivo,seed25,1,p_mis_base,0.0004953454600379,1e-06,0.1,interior
invivo,seed366,2,lam_max,0.238916831366556,0.005,0.3,interior
invivo,seed366,2,p_misseg,0.117357584120704,0.005,0.5,interior
invivo,seed366,2,k_o_mis,0.0010288852592723,0.001,0.02,interior
invivo,seed366,2,buffer_smax,0.908515590155285,0.0,1.0,interior
invivo,seed366,2,buffer_beta,0.165387798276667,0.01,10.0,interior
invivo,seed366,2,buffer_n_exp,10.0,0.1,10.0,upper
invivo,seed366,2,p_wgd,0.0001820019398752,1e-05,0.001,interior
invivo,seed366,2,o2_S0,3.33679808457665,2.0,5.0,interior
invivo,seed366,2,kappa_O,0.814615901380478,0.1,1.2,interior
invivo,seed366,2,eta_o2,1.15425630907038,1.0,2.0,interior
invivo,seed366,2,rho_2N,149647.900441877,50000.0,500000.0,interior
invivo,seed366,2,alpha_o2,2.69193308007453,0.5,4.0,interior
invivo,seed366,2,gamma_growth,3.30758726253307,1.5,4.5,interior
invivo,seed366,2,mu_hp,0.0513477916983572,0.005,0.3,interior
invivo,seed366,2,gamma_mu,2.63750521250042,1.2,3.5,interior
invivo,seed366,2,O2_crit,0.222506744860626,0.1,2.5,interior
invivo,seed366,2,n_O,2.17248485215607,0.5,5.0,interior
invivo,seed366,2,k_clear,0.0154499200334344,0.005,0.3,interior
invivo,seed366,2,sigma_burden,0.15,0.1,0.15,upper
invivo,seed366,2,p_mis_base,8.81599401735714e-06,1e-06,0.1,interior
invivo,seed292,3,lam_max,0.242843890129476,0.005,0.3,interior
invivo,seed292,3,p_misseg,0.137594247211597,0.005,0.5,interior
invivo,seed292,3,k_o_mis,0.0024626010292998,0.001,0.02,interior
invivo,seed292,3,buffer_smax,0.903568729197162,0.0,1.0,interior
invivo,seed292,3,buffer_beta,0.190627100780284,0.01,10.0,interior
invivo,seed292,3,buffer_n_exp,9.34453198840175,0.1,10.0,interior
invivo,seed292,3,p_wgd,0.000772178472211,1e-05,0.001,interior
invivo,seed292,3,o2_S0,2.85953911033107,2.0,5.0,interior
invivo,seed292,3,kappa_O,0.73620510091307,0.1,1.2,interior
invivo,seed292,3,eta_o2,1.15068628770422,1.0,2.0,interior
invivo,seed292,3,rho_2N,177717.331541025,50000.0,500000.0,interior
invivo,seed292,3,alpha_o2,0.844349949455291,0.5,4.0,interior
invivo,seed292,3,gamma_growth,4.47604135643753,1.5,4.5,interior
invivo,seed292,3,mu_hp,0.0469361386999562,0.005,0.3,interior
invivo,seed292,3,gamma_mu,2.50853978276732,1.2,3.5,interior
