rank,seed,objective,fourN_start_pred_mean_N,fourN_terminal_pred_mean_N,fourN_decline_N,fourN_max_hypoxia_dead_fraction,fourN_max_CIN_dead_fraction,late_2N_predicted_mean_N,late_2N_observed_mean_min,late_2N_observed_mean_max
1,seed10,3.85253526260594,84.338297986606,80.757526296971,3.580771689635,0.01761675243950525,0.3281380647921642,64.2663707428182,66.85,88.05
2,seed132,3.85325699409698,84.2091620833502,80.6614101961496,3.54775188720059,0.017615693172172417,0.3273141056526778,64.2120705891433,66.85,88.05
3,seed81,3.85407675070183,84.2172374703705,80.6725990117191,3.5446384586514057,0.01770823548898634,0.327000273448567,64.3116781484151,66.85,88.05
4,seed294,3.85939251399518,84.7084758541827,80.8905850002582,3.817890853924496,0.017392652085665452,0.33398033040361935,64.2012426392412,66.85,88.05
5,seed337,3.85982832390622,84.6632226305869,80.7555916231305,3.907631007456402,0.017435902400835476,0.3270469414152706,64.1090102273835,66.85,88.05
6,seed106,3.8605271823133,84.4478330142548,80.533947057919,3.913885956335804,0.01815412472334195,0.3214987466750076,63.7183575228911,66.85,88.05
7,seed317,3.86095984101845,84.3001109156222,80.1277453011119,4.172365614510298,0.01755811991168686,0.32740338756612575,64.08302099392,66.85,88.05
8,seed140,3.8610232957513,84.2083996718758,80.5378315924222,3.670568079453602,0.017427049305141114,0.3339217449809073,64.4010166543691,66.85,88.05
9,seed285,3.86175339084624,84.2445051118802,80.2044067750535,4.040098336826702,0.017713108954857015,0.3248324781051045,63.9416669668574,66.85,88.05
10,seed464,3.86230239787459,84.6814056167544,80.7256828702742,3.9557227464802054,0.017686077015406528,0.32896257562446746,63.7798299941126,66.85,88.05
