rank,seed,objective,objective_data,burden_log_rmse,burden_tumor_balanced_log_rmse,terminal_mean_N_MAE,terminal_distribution_TV_mean,terminal_distribution_W1_mean,necrosis_fraction_MAE,necrosis_objective_reconstructed_no_half,necrosis_objective_reconstructed_half,necrosis_objective_reported,necrosis_export_predicted_all_missing,local_attempted,local_accepted
1,seed25,14.1193277940156,13.5537024403046,0.6660423131734639,0.6316843662651703,2.4073105736845255,0.6971162519946295,4.507954400555271,0.09110968396320851,0.9026734721694895,0.4513367360847447,0.902673472169488,True,True,True
2,seed366,14.1340195166425,13.5395994195713,0.6679704765201679,0.6340876330318832,2.543567141432571,0.7082130131252315,4.751332659332511,0.07823121363997255,0.7792122278478771,0.38960611392393857,0.77921222784789,True,True,True
3,seed292,14.1371976265361,13.4705759857786,0.6723851851475078,0.6384484716554509,2.7908575399265976,0.6984794624668367,4.590524481931164,0.06443284195618022,0.6310683529832245,0.31553417649161225,0.631068352983225,True,True,True
4,seed392,14.1405923733734,13.9177473090918,0.6784320791792906,0.6425977001901299,3.3278891521213962,0.6887160123433198,4.9227055201601235,0.09349122061905923,0.9837876712072638,0.4918938356036319,0.983787671207292,True,True,True
5,seed90,14.1524469940988,13.9300003054445,0.6798505586621063,0.6439400876238631,3.6509749233635143,0.6839661482392303,4.862586451954079,0.09215881157741994,0.964931425247601,0.4824657126238005,0.964931425247602,True,True,True
6,seed391,14.1552830094769,13.8992991747126,0.6797160827255774,0.6439118981006728,3.375553822476795,0.6816238461657809,4.753696279558992,0.09099158670498048,0.948669107025538,0.474334553512769,0.948669107025564,True,True,True
7,seed264,14.155814973853,13.6047001907228,0.6735425402784774,0.6400348181152109,2.5624725864050815,0.681644839725912,4.184021068068192,0.0791292528254075,0.7802424641287993,0.39012123206439964,0.780242464128771,True,True,True
8,seed109,14.1723513719332,13.6162959399511,0.6628687052335207,0.6283590379576045,2.8529569562129753,0.6810844756787386,4.302936177008548,0.10254610316541796,1.1175559263591266,0.5587779631795633,1.11755592635914,True,True,True
9,seed322,14.172441641488,13.5339398104392,0.6676787121865362,0.6331345640752543,2.5221934095673566,0.713875341871515,4.855975512887625,0.07807982333049023,0.7785822710334179,0.38929113551670896,0.778582271033415,True,True,True
10,seed26,14.1747852749872,13.958562527927,0.6784219525237305,0.6425165586785958,3.7122122812463205,0.6981353518640018,5.239177366058307,0.09386121091712481,0.9899442490321135,0.49497212451605677,0.9899442490321,True,True,True
