pair,rank,seed,context,O2,N,p_mis
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vivo,0.0,44,0.4926282030480197
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vitro,0.0,44,0.010323454908819356
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vivo,0.0,88,0.4989927972960032
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vitro,0.0,88,0.010462111324554196
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vivo,0.1,44,0.49241243048570954
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vitro,0.1,44,0.010322028485387113
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vivo,0.1,88,0.4989624424206468
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vitro,0.1,88,0.010461525821734428
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vivo,0.5,44,0.4557868260672892
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vitro,0.5,44,0.010294669444147446
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vivo,0.5,88,0.49345526322944805
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vitro,0.5,88,0.010450277111243342
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vivo,1.0,44,0.27917218388448056
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vitro,1.0,44,0.010219110286678356
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vivo,1.0,88,0.4511056583346963
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vitro,1.0,88,0.01041902540298949
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vivo,2.0,44,0.05984987723398137
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vitro,2.0,44,0.009952366794736744
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vivo,2.0,88,0.24897952811039725
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vitro,2.0,88,0.010306473871078779
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vivo,5.0,44,0.003486719280035832
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vitro,5.0,44,0.008555890028388033
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vivo,5.0,88,0.024261557031213583
