parameter,n,vivo_median,vitro_median,ratio_median,ratio_min,ratio_max,n_vivo_gt_vitro,n_vivo_lt_vitro,n_saturation_ge_0p95,n_vivo_at_union_bound,n_vitro_at_union_bound
O2_crit,60,0.2592748912292165,1.58620678578554,0.1681164060013205,0.0660656737124705,0.608348231532501,0,60,50,0,0
alpha_o2,60,2.21615578337391,0.5,4.43231156674782,1.00000016000761,6.90102525137668,60,0,40,0,60
buffer_beta,60,0.11266466899139625,1.59113027351929,0.07080794757440105,0.0108501404809602,0.142887167131681,0,60,60,0,0
buffer_n_exp,60,9.06744126450478,3.15756611375965,2.87165523628842,0.0741033930309076,3.1669962368874,40,20,50,30,0
buffer_smax,60,0.9111756920750076,1.0,0.9111756920750076,0.901526352688421,0.994780507585621,0,60,0,0,60
gamma_growth,60,2.55534647473085,1.5,1.703564316487235,1.28424746092294,2.20505817502205,60,0,50,0,59
gamma_mu,60,2.63750521250042,1.2,2.166579075672175,1.77699248756194,2.38440297584968,60,0,60,0,50
k_o_mis,60,0.0019317376594748998,0.0001128986825222,17.11036494242695,8.85749928749526,37.4189792594213,60,0,60,0,0
lam_max,60,0.2388596480257755,1.3485151936293,0.1771278878830615,0.0991845944587553,0.222466903908291,0,60,60,0,0
mu_hp,60,0.08289882863192591,0.005,16.5797657263852,9.97685080495474,32.2800371912236,60,0,60,0,60
n_O,60,2.9142955213185653,1.86857483366499,1.559635433814825,0.890308098946313,2.61811466549062,50,10,40,0,0
p_mis_base,60,0.000284420632124821,8.54181703118544e-06,34.192184355668246,0.828846861758001,5519.58241944582,57,3,40,0,0
p_misseg,60,0.17771499377265,0.0105535150770604,16.83941250616485,11.1202365528238,47.3775795409458,60,0,60,20,0
p_wgd,60,0.00022120398029965,0.0003312053922759,0.8612722485669324,0.0374472542849141,1.39139056418569,20,40,14,0,0
