pair,rank,seed,context,N,s_per_copy
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vivo,44,0.9516621461555154
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vivo,88,0.9579967482823313
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,2,seed86,vivo,44,0.9516621461555154
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,2,seed86,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,2,seed86,vivo,88,0.9579967482823313
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,2,seed86,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,vivo,44,0.9516621461555154
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,vivo,88,0.9579967482823313
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vivo,44,0.9516621461555154
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vivo,88,0.9579967482823313
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vivo,44,0.9521442382230283
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vitro,44,0.19998241258441038
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vivo,88,0.9584093754752389
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vitro,88,0.8349572174044004
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vivo,44,0.9516621461555154
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vivo,88,0.9578949599391715
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vitro,88,0.8309213136023947
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vivo,44,0.9516621461555154
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vivo,88,0.9579967482823313
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vivo,44,0.9516621461555154
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vivo,88,0.9579029874415217
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vitro,88,0.8313814446646579
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vivo,44,0.9516621461555154
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vivo,88,0.9579967482823313
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vivo,44,0.9516621461555154
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vivo,88,0.9579967482823313
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,1,seed497,vivo,44,0.72799836443028
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,1,seed497,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,1,seed497,vivo,88,0.9136329234654352
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,1,seed497,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,2,seed389,vivo,44,0.72799836443028
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,2,seed389,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,2,seed389,vivo,88,0.9136329234654352
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,2,seed389,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,3,seed298,vivo,44,0.72799836443028
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,3,seed298,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,3,seed298,vivo,88,0.9136329234654352
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,3,seed298,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,4,seed26,vivo,44,0.72799836443028
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,4,seed26,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,4,seed26,vivo,88,0.9136329234654352
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,4,seed26,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,5,seed98,vivo,44,0.72799836443028
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,5,seed98,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,5,seed98,vivo,88,0.9136329234654352
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,5,seed98,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,6,seed291,vivo,44,0.72799836443028
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,6,seed291,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,6,seed291,vivo,88,0.9136329234654352
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,6,seed291,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,7,seed458,vivo,44,0.72799836443028
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,7,seed458,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,7,seed458,vivo,88,0.9136329234654352
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,7,seed458,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,8,seed285,vivo,44,0.72799836443028
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,8,seed285,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,8,seed285,vivo,88,0.9136329234654352
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,8,seed285,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,9,seed299,vivo,44,0.72799836443028
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,9,seed299,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,9,seed299,vivo,88,0.9136329234654352
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,9,seed299,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,10,seed375,vivo,44,0.72799836443028
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,10,seed375,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,10,seed375,vivo,88,0.9136329234654352
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,10,seed375,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,1,seed155,vivo,44,0.948419042706982
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,1,seed155,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,1,seed155,vivo,88,0.9560208666262682
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,1,seed155,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,2,seed28,vivo,44,0.948419042706982
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,2,seed28,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,2,seed28,vivo,88,0.9560208666262682
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,2,seed28,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,3,seed211,vivo,44,0.948419042706982
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,3,seed211,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,3,seed211,vivo,88,0.9560208666262682
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,3,seed211,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,4,seed176,vivo,44,0.948419042706982
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,4,seed176,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,4,seed176,vivo,88,0.9560208666262682
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,4,seed176,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,5,seed307,vivo,44,0.948419042706982
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,5,seed307,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,5,seed307,vivo,88,0.9561325907834389
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,5,seed307,vitro,88,0.8432251101457698
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,6,seed241,vivo,44,0.948419042706982
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,6,seed241,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,6,seed241,vivo,88,0.9560208666262682
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,6,seed241,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,7,seed303,vivo,44,0.948419042706982
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,7,seed303,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,7,seed303,vivo,88,0.9560208666262682
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,7,seed303,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,8,seed130,vivo,44,0.948419042706982
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,8,seed130,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,8,seed130,vivo,88,0.9559079132444189
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,8,seed130,vitro,88,0.843348246190138
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,9,seed405,vivo,44,0.948419042706982
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,9,seed405,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,9,seed405,vivo,88,0.9560208666262682
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,9,seed405,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,10,seed357,vivo,44,0.948419042706982
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,10,seed357,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,10,seed357,vivo,88,0.9560208666262682
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,10,seed357,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,1,seed18,vivo,44,0.8189275992160763
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,1,seed18,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,1,seed18,vivo,88,0.9037946063496285
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,1,seed18,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,2,seed402,vivo,44,0.8189275992160763
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,2,seed402,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,2,seed402,vivo,88,0.9037946063496285
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,2,seed402,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,3,seed255,vivo,44,0.8189275992160763
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,3,seed255,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,3,seed255,vivo,88,0.9037946063496285
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,3,seed255,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,4,seed43,vivo,44,0.8189275992160763
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,4,seed43,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,4,seed43,vivo,88,0.9037946063496285
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,4,seed43,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,5,seed34,vivo,44,0.8189275992160763
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,5,seed34,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,5,seed34,vivo,88,0.9037946063496285
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,5,seed34,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,6,seed155,vivo,44,0.8189275992160763
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,6,seed155,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,6,seed155,vivo,88,0.9037946063496285
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,6,seed155,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,7,seed264,vivo,44,0.8189275992160763
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,7,seed264,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,7,seed264,vivo,88,0.9037946063496285
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,7,seed264,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,8,seed432,vivo,44,0.8189275992160763
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,8,seed432,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,8,seed432,vivo,88,0.9037946063496285
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,8,seed432,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,9,seed200,vivo,44,0.8189275992160763
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,9,seed200,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,9,seed200,vivo,88,0.9037946063496285
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,9,seed200,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,10,seed249,vivo,44,0.8189275992160763
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,10,seed249,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,10,seed249,vivo,88,0.9037946063496285
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,10,seed249,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,1,seed54,vivo,44,0.7945043341418784
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,1,seed54,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,1,seed54,vivo,88,0.901415103072436
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,1,seed54,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,2,seed52,vivo,44,0.7945043341418784
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,2,seed52,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,2,seed52,vivo,88,0.901415103072436
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,2,seed52,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,3,seed80,vivo,44,0.7945043341418784
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,3,seed80,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,3,seed80,vivo,88,0.901415103072436
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,3,seed80,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,4,seed174,vivo,44,0.7945043341418784
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,4,seed174,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,4,seed174,vivo,88,0.901415103072436
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,4,seed174,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,5,seed336,vivo,44,0.7945043341418784
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,5,seed336,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,5,seed336,vivo,88,0.901415103072436
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,5,seed336,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,6,seed132,vivo,44,0.7945043341418784
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,6,seed132,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,6,seed132,vivo,88,0.901415103072436
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,6,seed132,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,7,seed433,vivo,44,0.7945043341418784
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,7,seed433,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,7,seed433,vivo,88,0.901415103072436
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,7,seed433,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,8,seed211,vivo,44,0.7945043341418784
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,8,seed211,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,8,seed211,vivo,88,0.901415103072436
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,8,seed211,vitro,88,0.8366802890104067
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,9,seed438,vivo,44,0.7945043341418784
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,9,seed438,vitro,44,0.203695250225646
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,9,seed438,vivo,88,0.901415103072436
