fit,seed,key,value,pair
invivo,seed25,branch,soft_coupling,
invivo,seed25,commit,54c5d500bf608f9c24a0a5262a369506f4376d2c,
invivo,seed25,dirty_status,dirty,
invivo,seed366,branch,soft_coupling,
invivo,seed366,commit,54c5d500bf608f9c24a0a5262a369506f4376d2c,
invivo,seed366,dirty_status,dirty,
invivo,seed292,branch,soft_coupling,
invivo,seed292,commit,54c5d500bf608f9c24a0a5262a369506f4376d2c,
invivo,seed292,dirty_status,dirty,
invivo,seed392,branch,soft_coupling,
invivo,seed392,commit,54c5d500bf608f9c24a0a5262a369506f4376d2c,
invivo,seed392,dirty_status,dirty,
invivo,seed90,branch,soft_coupling,
invivo,seed90,commit,54c5d500bf608f9c24a0a5262a369506f4376d2c,
invivo,seed90,dirty_status,dirty,
invivo,seed391,branch,soft_coupling,
invivo,seed391,commit,54c5d500bf608f9c24a0a5262a369506f4376d2c,
invivo,seed391,dirty_status,dirty,
invivo,seed264,branch,soft_coupling,
invivo,seed264,commit,54c5d500bf608f9c24a0a5262a369506f4376d2c,
invivo,seed264,dirty_status,dirty,
invivo,seed109,branch,soft_coupling,
invivo,seed109,commit,54c5d500bf608f9c24a0a5262a369506f4376d2c,
invivo,seed109,dirty_status,dirty,
invivo,seed322,branch,soft_coupling,
invivo,seed322,commit,54c5d500bf608f9c24a0a5262a369506f4376d2c,
invivo,seed322,dirty_status,dirty,
invivo,seed26,branch,soft_coupling,
invivo,seed26,commit,54c5d500bf608f9c24a0a5262a369506f4376d2c,
invivo,seed26,dirty_status,dirty,
invitro,seed10,run_provenance_present,False,
invitro,seed132,run_provenance_present,False,
invitro,seed81,run_provenance_present,False,
invitro,seed294,run_provenance_present,False,
invitro,seed337,run_provenance_present,False,
invitro,seed106,run_provenance_present,False,
invitro,seed317,run_provenance_present,False,
invitro,seed140,run_provenance_present,False,
invitro,seed285,run_provenance_present,False,
invitro,seed464,run_provenance_present,False,
joint,seed122,branch,soft_coupling,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10
joint,seed122,commit,3d4985997c54f34c3b1a30cc72462a282cff4817,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10
joint,seed122,dirty_status,dirty,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10
joint,seed86,branch,soft_coupling,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10
joint,seed86,commit,3d4985997c54f34c3b1a30cc72462a282cff4817,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10
joint,seed86,dirty_status,dirty,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10
joint,seed180,branch,soft_coupling,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10
joint,seed180,commit,3d4985997c54f34c3b1a30cc72462a282cff4817,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10
joint,seed180,dirty_status,dirty,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10
joint,seed354,branch,soft_coupling,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10
joint,seed354,commit,3d4985997c54f34c3b1a30cc72462a282cff4817,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10
joint,seed354,dirty_status,dirty,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10
joint,seed148,branch,soft_coupling,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10
joint,seed148,commit,3d4985997c54f34c3b1a30cc72462a282cff4817,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10
joint,seed148,dirty_status,dirty,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10
joint,seed485,branch,soft_coupling,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10
joint,seed485,commit,3d4985997c54f34c3b1a30cc72462a282cff4817,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10
joint,seed485,dirty_status,dirty,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10
joint,seed268,branch,soft_coupling,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10
joint,seed268,commit,3d4985997c54f34c3b1a30cc72462a282cff4817,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10
joint,seed268,dirty_status,dirty,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10
joint,seed451,branch,soft_coupling,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10
joint,seed451,commit,3d4985997c54f34c3b1a30cc72462a282cff4817,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10
