dataset,space,k,silhouette
invivo,raw_logz_14feature,2,0.08765189995398831
invivo,raw_logz_14feature,3,0.10290264238883978
invivo,raw_logz_14feature,4,0.09461156529096565
invivo,raw_logz_14feature,5,0.09523675876632356
invivo,raw_logz_14feature,6,0.09009074996817298
invivo,raw_logz_14feature,7,0.08585631301328284
invivo,raw_logz_14feature,8,0.08524964339157226
invitro,raw_logz_14feature,2,0.443819894509135
invitro,raw_logz_14feature,3,0.23640471034020635
invitro,raw_logz_14feature,4,0.22626086235681703
invitro,raw_logz_14feature,5,0.18307082394332286
invitro,raw_logz_14feature,6,0.18357163822310446
invitro,raw_logz_14feature,7,0.19042875126454958
invitro,raw_logz_14feature,8,0.19075808733160718
