seed,segment_id,cohort,passage_index,oxygen_pct,n_observed_branches,passage_ids,predicted_mean_kary_N,observed_mean_min,observed_mean_max,observed_branch_range
seed10,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0,2N,16,0.0,2,SUM-159_NLS_2N_O1_A7_seed;SUM-159_NLS_2N_O2_A7_seed,49.8553781776623,48.4210526315789,48.4666666666667,0.04561403508779449
seed10,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0,2N,34,0.0,2,SUM-159_NLS_2N_O1_A19_seed;SUM-159_NLS_2N_O2_A19_seed,64.2663707428182,66.85,88.05,21.200000000000003
seed10,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0,4N,16,0.0,2,SUM-159_NLS_4N_O1_A7_seed;SUM-159_NLS_4N_O2_A7_seed,83.7039472218234,81.25,85.1666666666667,3.9166666666667
seed10,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0,4N,32,0.0,2,SUM-159_NLS_4N_O1_A17_seed;SUM-159_NLS_4N_O2_A17_seed,81.5800552962523,81.3,81.65,0.3500000000000085
seed132,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0,2N,16,0.0,2,SUM-159_NLS_2N_O1_A7_seed;SUM-159_NLS_2N_O2_A7_seed,50.161849703408,48.4210526315789,48.4666666666667,0.04561403508779449
seed132,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0,2N,34,0.0,2,SUM-159_NLS_2N_O1_A19_seed;SUM-159_NLS_2N_O2_A19_seed,64.2120705891433,66.85,88.05,21.200000000000003
seed132,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0,4N,16,0.0,2,SUM-159_NLS_4N_O1_A7_seed;SUM-159_NLS_4N_O2_A7_seed,83.5780726454692,81.25,85.1666666666667,3.9166666666667
seed132,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0,4N,32,0.0,2,SUM-159_NLS_4N_O1_A17_seed;SUM-159_NLS_4N_O2_A17_seed,81.4774698480542,81.3,81.65,0.3500000000000085
seed81,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0,2N,16,0.0,2,SUM-159_NLS_2N_O1_A7_seed;SUM-159_NLS_2N_O2_A7_seed,50.184717123679,48.4210526315789,48.4666666666667,0.04561403508779449
seed81,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0,2N,34,0.0,2,SUM-159_NLS_2N_O1_A19_seed;SUM-159_NLS_2N_O2_A19_seed,64.3116781484151,66.85,88.05,21.200000000000003
seed81,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0,4N,16,0.0,2,SUM-159_NLS_4N_O1_A7_seed;SUM-159_NLS_4N_O2_A7_seed,83.6346641368771,81.25,85.1666666666667,3.9166666666667
seed81,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0,4N,32,0.0,2,SUM-159_NLS_4N_O1_A17_seed;SUM-159_NLS_4N_O2_A17_seed,81.5004741162762,81.3,81.65,0.3500000000000085
seed294,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0,2N,16,0.0,2,SUM-159_NLS_2N_O1_A7_seed;SUM-159_NLS_2N_O2_A7_seed,49.6296859186689,48.4210526315789,48.4666666666667,0.04561403508779449
seed294,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0,2N,34,0.0,2,SUM-159_NLS_2N_O1_A19_seed;SUM-159_NLS_2N_O2_A19_seed,64.2012426392412,66.85,88.05,21.200000000000003
