rank,seed,max_2N_deprived_mean_chr,passage_at_max,terminal_2N_deprived_mean_chr,terminal_passage
1,seed10,66.7229373741988,38,66.7229373741988,38
2,seed132,66.4546182472526,38,66.4546182472526,38
3,seed81,66.5531558438599,38,66.5531558438599,38
4,seed294,66.8093774022206,38,66.8093774022206,38
5,seed337,66.7534270452327,38,66.7534270452327,38
6,seed106,65.8581356170204,38,65.8581356170204,38
7,seed317,66.5456451722674,38,66.5456451722674,38
8,seed140,67.54617563434,38,67.54617563434,38
9,seed285,66.9490801163829,38,66.9490801163829,38
10,seed464,65.5255425534059,38,65.5255425534059,38
