seed,rank,parameter,value,lower_bound,upper_bound,boundary
seed10,1,alpha_o2,0.5,0.5,4.0,lower
seed10,1,gamma_growth,1.5,1.5,4.5,lower
seed10,1,mu_hp,0.005,0.005,0.3,lower
seed10,1,gamma_mu,1.2,1.2,3.5,lower
seed132,2,alpha_o2,0.5,0.5,4.0,lower
seed132,2,gamma_growth,1.5,1.5,4.5,lower
seed132,2,mu_hp,0.005,0.005,0.3,lower
seed132,2,gamma_mu,1.2,1.2,3.5,lower
seed81,3,alpha_o2,0.5,0.5,4.0,lower
seed81,3,gamma_growth,1.5,1.5,4.5,lower
seed81,3,mu_hp,0.005,0.005,0.3,lower
seed81,3,gamma_mu,1.2,1.2,3.5,lower
seed294,4,alpha_o2,0.5,0.5,4.0,lower
seed294,4,gamma_growth,1.5,1.5,4.5,lower
seed294,4,mu_hp,0.005,0.005,0.3,lower
seed294,4,gamma_mu,1.2,1.2,3.5,lower
seed337,5,alpha_o2,0.5,0.5,4.0,lower
seed337,5,gamma_growth,1.5,1.5,4.5,lower
seed337,5,mu_hp,0.005,0.005,0.3,lower
seed337,5,gamma_mu,1.2,1.2,3.5,lower
seed106,6,alpha_o2,0.5,0.5,4.0,lower
seed106,6,gamma_growth,1.5,1.5,4.5,lower
seed106,6,mu_hp,0.005,0.005,0.3,lower
seed106,6,gamma_mu,1.2,1.2,3.5,lower
seed317,7,alpha_o2,0.5,0.5,4.0,lower
seed317,7,gamma_growth,1.5,1.5,4.5,lower
seed317,7,mu_hp,0.005,0.005,0.3,lower
seed317,7,gamma_mu,1.2,1.2,3.5,lower
seed140,8,alpha_o2,0.5,0.5,4.0,lower
seed140,8,gamma_growth,1.5,1.5,4.5,lower
seed140,8,mu_hp,0.005,0.005,0.3,lower
seed140,8,gamma_mu,1.2,1.2,3.5,lower
seed285,9,alpha_o2,0.5,0.5,4.0,lower
seed285,9,gamma_growth,1.5,1.5,4.5,lower
seed285,9,mu_hp,0.005,0.005,0.3,lower
seed285,9,gamma_mu,1.2,1.2,3.5,lower
seed464,10,alpha_o2,0.5,0.5,4.0,lower
seed464,10,gamma_growth,1.5,1.5,4.5,lower
seed464,10,mu_hp,0.005,0.005,0.3,lower
seed464,10,gamma_mu,1.2,1.2,3.5,lower
