rank,seed,objective_index,objective_total,optimizer_deoptim_objective,optimizer_local_objective,optimizer_local_attempted,optimizer_local_accepted,growth_loglik,ploidy_loglik,flow_loglik,start_4N_passage,start_4N_mean_chr,terminal_4N_passage,terminal_4N_o2,terminal_4N_mean_chr,terminal_4N_chr_change,terminal_segment_max_direct_hypoxia_fraction,terminal_final_direct_hypoxia_fraction,terminal_final_cin_dead_fraction,terminal_final_live_fraction,lam_max,p_mis_base,p_misseg,p_wgd,alpha_o2,gamma_growth,mu_hp,gamma_mu,O2_crit,n_O
1,seed10,3.85253526260594,3.85253526260594,4.22415977007025,3.85253526260594,True,True,0.170596025411363,-3.09622174155515,-0.926909546462153,1,84.33829798660604,37,0.0,80.75752629697092,-3.580771689635114,0.015494011222026571,0.015494011222026571,0.30239425743812764,0.6821117313398443,1.3485151936293,8.54181703118544e-06,0.0105535150770604,0.0003312053922759,0.5,1.5,0.005,1.2,1.58620678578554,1.86857483366499
2,seed132,3.85325699409698,3.85325699409698,4.34099929551533,3.85325699409698,True,True,0.1723012904235,-3.09410839835568,-0.9314498861648,1,84.20916208335024,37,0.0,80.66141019614956,-3.5477518872006755,0.015495038080940106,0.015495038080940106,0.30155161499716787,0.6829533469218911,1.34496693050164,6.24279244492441e-05,0.0104318498107959,0.000377794934551,0.5,1.5,0.005,1.2,1.6003510863848,1.85652272338118
3,seed81,3.85407675070183,3.85407675070183,4.36437305694136,3.85407675070183,True,True,0.171403737772609,-3.09755084953483,-0.927929638939614,1,84.21723747037052,37,0.0,80.67259901171909,-3.544638458651434,0.01555572305165282,0.01555572305165282,0.3010490240005971,0.6833952529477465,1.33868438480722,0.0001145104051822,0.0104603493987707,0.0003438270176808,0.5,1.5,0.005,1.2,1.41013741044744,1.72630613408288
4,seed294,3.85939251399518,3.85939251399518,4.3212558459885,3.85939251399518,True,True,0.171972069266367,-3.10174886846076,-0.929615714800783,1,84.7084758541827,37,0.0,80.89058500025814,-3.8178908539245526,0.01529089276408446,0.01529089276408446,0.3088360039016079,0.6758731033343086,1.37488651585037,0.0003659752452727,0.0103878001943909,0.0003229657122314,0.5,1.5,0.005,1.2,1.86817701641695,2.06151631462213
5,seed337,3.85982832390622,3.85982832390622,4.18221371662248,3.85982832390622,True,True,0.185066958569391,-3.11785909948955,-0.927036182986059,1,84.66322263058692,37,0.0,80.75559162313047,-3.9076310074564446,0.015323050314470206,0.015323050314470206,0.302730959640501,0.681945990045025,1.36786873297711,0.0002441359630135,0.0108213401614938,0.0002424492726155,0.5,1.5,0.005,1.2,1.50328093674709,1.42521351130516
6,seed106,3.8605271823133,3.8605271823133,4.17527905056548,3.8605271823133,True,True,0.166737643296856,-3.11468993447101,-0.91257489113915,1,84.44783301425484,37,0.0,80.53394705791901,-3.9138859563358324,0.01580585905289628,0.01580585905289628,0.29559055449416166,0.6886035864529464,1.30770441418702,0.0002220180212945,0.0104333846130357,0.0002833330382244,0.5,1.5,0.005,1.2,0.891215845742154,1.46478976880333
7,seed317,3.86095984101845,3.86095984101845,4.25743573628189,3.86095984101845,True,True,0.164257110094547,-3.1252502118511,-0.899966739261901,1,84.30011091562223,37,0.0,80.1277453011119,-4.172365614510326,0.015377556504473075,0.015377556504473075,0.3020409671052855,0.6825814763902429,1.33725064864821,1.94691830401947e-05,0.0105527539224966,0.0005984790262842,0.5,1.5,0.005,1.2,2.48345884613439,2.48372840205588
8,seed140,3.8610232957513,3.8610232957513,4.36390659314921,3.8610232957513,True,True,0.163743693835285,-3.14950389499418,-0.875263094592406,1,84.20839967187575,37,0.0,80.53783159242222,-3.670568079453531,0.015322462491525558,0.015322462491525558,0.30796896891030967,0.676708568598168,1.35704041675989,4.44814876171997e-05,0.0107390796621212,0.0002468741231347,0.5,1.5,0.005,1.2,1.52701586634168,2.15574272929139
9,seed285,3.86175339084624,3.86175339084624,4.19629690124879,3.86175339084624,True,True,0.158284218513358,-3.13373562203196,-0.886301987327639,1,84.24450511188014,37,0.0,80.20440677505349,-4.040098336826659,0.01550579318264422,0.01550579318264422,0.2992773125527953,0.6852168942645582,1.32664976137662,1.93103657847506e-05,0.0105992842876777,0.000431087067535,0.5,1.5,0.005,1.2,2.17462948119596,2.44039845999629
10,seed464,3.86230239787459,3.86230239787459,4.37793940868737,3.86230239787459,True,True,0.183390097859892,-3.1248174050871,-0.920875090647387,1,84.68140561675445,37,0.0,80.72568287027421,-3.955722746480234,0.015457759531113146,0.015457759531113146,0.3039482413980023,0.6805939990708834,1.35098742775355,1.59452592474152e-06,0.010914704522285,0.0003103664159483,0.5,1.5,0.005,1.2,1.02401604035258,1.30673169536098
