seed,rank,cohort,day,n_tumors,observed_burden_min,observed_burden_max,observed_burden_cv,n_unique_predicted_burdens,predicted_burden_min,predicted_burden_max
seed25,1,2N,25,4,40.0,647.149,1.110882140241626,1,226.295346131714,226.295346131714
seed25,1,2N,28,4,125.44,379.906,0.3933106954199328,1,294.133053891704,294.133053891704
seed25,1,2N,32,4,274.4435,459.472,0.21806776180638365,1,412.618944797732,412.618944797732
seed25,1,2N,35,4,448.0,689.7,0.17582474317563862,1,528.26931885117,528.26931885117
seed25,1,2N,39,4,499.23,958.8125,0.2532672653679139,1,726.908711882208,726.908711882208
seed25,1,2N,42,4,741.576,1379.742,0.2610114229161311,1,910.632648064505,910.632648064505
seed25,1,2N,46,4,724.271,1335.1,0.3116863536745891,1,1185.69636509346,1185.69636509346
seed25,1,2N,49,4,1108.809,1916.6,0.23484389948234596,1,1405.9215736281,1405.9215736281
seed25,1,2N,53,4,1594.6875,2314.704,0.16195142501975296,1,1718.58817616058,1718.58817616058
seed25,1,2N,56,4,1683.136,3375.352,0.3431351669384108,1,1968.46192724748,1968.46192724748
seed25,1,4N,35,2,73.2305,113.715,0.30625893089640327,1,79.9409042303512,79.9409042303512
seed25,1,4N,39,2,117.6,207.1035,0.389823526940302,1,100.102057882738,100.102057882738
seed25,1,4N,42,2,109.8,340.9175,0.7251759760864928,1,120.719230797721,120.719230797721
seed25,1,4N,46,3,13.95,471.3705,0.9196487047263852,1,159.066123810605,159.066123810605
seed25,1,4N,49,3,50.625,848.718,1.0268446308237722,1,199.426164604217,199.426164604217
seed25,1,4N,53,3,126.15,1079.09,0.9589750011682227,1,275.91876786016,275.91876786016
seed25,1,4N,56,4,95.506,1385.208,1.1107289031818546,1,357.019325983386,357.019325983386
seed25,1,4N,60,4,214.2425,1734.104,1.037838780607292,1,508.448340519477,508.448340519477
seed25,1,4N,63,4,312.05,1898.6355,0.9017640864164814,1,658.162133659178,658.162133659178
seed25,1,4N,67,4,452.824,2810.712,0.8612775705369408,1,889.81057026757,889.81057026757
seed25,1,4N,70,4,458.397,3139.0625,0.8437778961194023,1,1078.6316017216,1078.6316017216
seed25,1,4N,74,4,779.76,4139.96,0.7920665313577271,1,1356.12376478598,1356.12376478598
seed25,1,4N,77,4,856.3095,5899.278,0.9211079136735385,1,1589.45920132992,1589.45920132992
seed25,1,4N,81,2,919.1375,1463.414,0.32306676601994117,1,1943.368821676,1943.368821676
seed25,1,4N,84,2,1802.112,2058.75,0.09400515745455452,1,2247.80862035886,2247.80862035886
seed25,1,4N,88,2,2044.224,3239.532,0.31992786661856826,1,2717.23211874062,2717.23211874062
seed25,1,4N,91,2,2423.025,3914.144,0.3327606874476926,1,3125.92985304771,3125.92985304771
seed366,2,2N,25,4,40.0,647.149,1.110882140241626,1,234.294654608773,234.294654608773
seed366,2,2N,28,4,125.44,379.906,0.3933106954199328,1,304.727671281045,304.727671281045
seed366,2,2N,32,4,274.4435,459.472,0.21806776180638365,1,425.780911481047,425.780911481047
seed366,2,2N,35,4,448.0,689.7,0.17582474317563862,1,541.77808517489,541.77808517489
seed366,2,2N,39,4,499.23,958.8125,0.2532672653679139,1,735.91221962518,735.91221962518
seed366,2,2N,42,4,741.576,1379.742,0.2610114229161311,1,910.048949179905,910.048949179905
seed366,2,2N,46,4,724.271,1335.1,0.3116863536745891,1,1167.10587985803,1167.10587985803
seed366,2,2N,49,4,1108.809,1916.6,0.23484389948234596,1,1369.44809880271,1369.44809880271
seed366,2,2N,53,4,1594.6875,2314.704,0.16195142501975296,1,1646.69752105773,1646.69752105773
seed366,2,2N,56,4,1683.136,3375.352,0.3431351669384108,1,1860.14306705911,1860.14306705911
seed366,2,4N,35,2,73.2305,113.715,0.30625893089640327,1,80.8105190229134,80.8105190229134
seed366,2,4N,39,2,117.6,207.1035,0.389823526940302,1,102.324052627478,102.324052627478
seed366,2,4N,42,2,109.8,340.9175,0.7251759760864928,1,124.021198092897,124.021198092897
seed366,2,4N,46,3,13.95,471.3705,0.9196487047263852,1,163.962053924578,163.962053924578
seed366,2,4N,49,3,50.625,848.718,1.0268446308237722,1,205.728032164401,205.728032164401
seed366,2,4N,53,3,126.15,1079.09,0.9589750011682227,1,284.49807566796,284.49807566796
seed366,2,4N,56,4,95.506,1385.208,1.1107289031818546,1,367.265040764883,367.265040764883
seed366,2,4N,60,4,214.2425,1734.104,1.037838780607292,1,517.094247987079,517.094247987079
seed366,2,4N,63,4,312.05,1898.6355,0.9017640864164814,1,657.390645508589,657.390645508589
seed366,2,4N,67,4,452.824,2810.712,0.8612775705369408,1,870.739149972745,870.739149972745
seed366,2,4N,70,4,458.397,3139.0625,0.8437778961194023,1,1047.17797051171,1047.17797051171
seed366,2,4N,74,4,779.76,4139.96,0.7920665313577271,1,1310.30046493807,1310.30046493807
seed366,2,4N,77,4,856.3095,5899.278,0.9211079136735385,1,1537.33500190491,1537.33500190491
seed366,2,4N,81,2,919.1375,1463.414,0.32306676601994117,1,1894.52268571091,1894.52268571091
seed366,2,4N,84,2,1802.112,2058.75,0.09400515745455452,1,2215.14781713026,2215.14781713026
seed366,2,4N,88,2,2044.224,3239.532,0.31992786661856826,1,2733.96966454671,2733.96966454671
seed366,2,4N,91,2,2423.025,3914.144,0.3327606874476926,1,3209.08631193738,3209.08631193738
seed292,3,2N,25,4,40.0,647.149,1.110882140241626,1,237.749479026844,237.749479026844
seed292,3,2N,28,4,125.44,379.906,0.3933106954199328,1,311.786376149166,311.786376149166
seed292,3,2N,32,4,274.4435,459.472,0.21806776180638365,1,438.441141039774,438.441141039774
seed292,3,2N,35,4,448.0,689.7,0.17582474317563862,1,557.39062165954,557.39062165954
seed292,3,2N,39,4,499.23,958.8125,0.2532672653679139,1,746.299513603144,746.299513603144
seed292,3,2N,42,4,741.576,1379.742,0.2610114229161311,1,905.018365978793,905.018365978793
seed292,3,2N,46,4,724.271,1335.1,0.3116863536745891,1,1134.1454194387,1134.1454194387
seed292,3,2N,49,4,1108.809,1916.6,0.23484389948234596,1,1319.45749658192,1319.45749658192
seed292,3,2N,53,4,1594.6875,2314.704,0.16195142501975296,1,1585.95835882723,1585.95835882723
seed292,3,2N,56,4,1683.136,3375.352,0.3431351669384108,1,1801.48524397669,1801.48524397669
seed292,3,4N,35,2,73.2305,113.715,0.30625893089640327,1,78.3211336004104,78.3211336004104
seed292,3,4N,39,2,117.6,207.1035,0.389823526940302,1,101.157100380576,101.157100380576
seed292,3,4N,42,2,109.8,340.9175,0.7251759760864928,1,124.450286026727,124.450286026727
seed292,3,4N,46,3,13.95,471.3705,0.9196487047263852,1,167.74977880957,167.74977880957
seed292,3,4N,49,3,50.625,848.718,1.0268446308237722,1,213.249799932622,213.249799932622
