seed,rank,mean_chr_mae,mean_chr_rmse,mean_W1,mean_TV
seed25,1,2.4073105736845255,3.0008160083258506,4.507954400555324,0.6971162519946295
seed366,2,2.543567141432571,3.077176503884351,4.751332659332542,0.7082130131252315
seed292,3,2.7908575399265976,3.07569520906938,4.59052448193118,0.6984794624668367
seed392,4,3.3278891521213962,3.9481495386824155,4.922705520160138,0.6887160123433198
seed90,5,3.6509749233635143,4.275912583970796,4.862586451954048,0.6839661482392303
seed391,6,3.375553822476795,3.9793550649210316,4.753696279558942,0.6816238461657809
seed264,7,2.5624725864050815,2.810838601996745,4.18402106806818,0.681644839725912
seed109,8,2.8529569562129753,3.1561252358481164,4.3029361770084975,0.6810844756787386
seed322,9,2.5221934095673566,3.043671945133486,4.855975512887637,0.713875341871515
seed26,10,3.7122122812463205,4.419057649802421,5.239177366058312,0.6981353518640018
