seed,rank,parameter,value,lower_bound,upper_bound,boundary
seed25,1,buffer_n_exp,10.0,0.1,10.0,upper
seed25,1,sigma_burden,0.15,0.1,0.15,upper
seed366,2,buffer_n_exp,10.0,0.1,10.0,upper
seed366,2,sigma_burden,0.15,0.1,0.15,upper
seed292,3,sigma_burden,0.15,0.1,0.15,upper
seed392,4,lam_max,0.3,0.005,0.3,upper
seed392,4,p_misseg,0.5,0.005,0.5,upper
seed392,4,o2_S0,5.0,2.0,5.0,upper
seed392,4,alpha_o2,0.5,0.5,4.0,lower
seed392,4,mu_hp,0.005,0.005,0.3,lower
seed392,4,sigma_burden,0.15,0.1,0.15,upper
seed90,5,lam_max,0.3,0.005,0.3,upper
seed90,5,p_misseg,0.5,0.005,0.5,upper
seed90,5,o2_S0,5.0,2.0,5.0,upper
seed90,5,alpha_o2,0.5,0.5,4.0,lower
seed90,5,mu_hp,0.005,0.005,0.3,lower
seed90,5,sigma_burden,0.15,0.1,0.15,upper
seed391,6,lam_max,0.3,0.005,0.3,upper
seed391,6,p_misseg,0.5,0.005,0.5,upper
seed391,6,o2_S0,5.0,2.0,5.0,upper
seed391,6,sigma_burden,0.15,0.1,0.15,upper
seed264,7,sigma_burden,0.15,0.1,0.15,upper
seed109,8,buffer_n_exp,10.0,0.1,10.0,upper
seed109,8,eta_o2,1.0,1.0,2.0,lower
seed109,8,O2_crit,0.1,0.1,2.5,lower
seed109,8,sigma_burden,0.15,0.1,0.15,upper
seed322,9,buffer_n_exp,10.0,0.1,10.0,upper
seed322,9,alpha_o2,0.50000009018371,0.5,4.0,lower
seed322,9,sigma_burden,0.15,0.1,0.15,upper
seed26,10,lam_max,0.3,0.005,0.3,upper
seed26,10,p_misseg,0.5,0.005,0.5,upper
seed26,10,o2_S0,5.0,2.0,5.0,upper
seed26,10,alpha_o2,0.5,0.5,4.0,lower
seed26,10,mu_hp,0.005,0.005,0.3,lower
seed26,10,sigma_burden,0.15,0.1,0.15,upper
