rank,seed,objective_index,objective_total,objective_data,objective_prior,objective_burden,objective_ploidy,objective_necrosis,necrosis_objective_reconstructed,necrosis_objective_abs_error,optimizer_local_attempted,optimizer_local_accepted,burden_log_rmse,burden_log_correlation,terminal_mean_chr_rmse,terminal_mean_chr_correlation,terminal_distribution_tv_mean,sigma_burden
1,seed25,14.1193277940156,14.1193277940156,13.5537024403046,0.565625353710996,7.88904385018167,4.7619851179534,0.902673472169488,0.9026734721694895,1.4432899320127035e-15,True,True,0.6660423131734639,0.8163371366183877,3.0008160083258506,0.6680464828060667,0.6971162519946295,0.15
2,seed366,14.1340195166425,14.1340195166425,13.5395994195713,0.594420097071276,7.95664357862936,4.80374361309401,0.77921222784789,0.7792122278478771,1.2878587085651816e-14,True,True,0.6679704765201679,0.8151836911699498,3.077176503884351,0.6418898781977328,0.7082130131252315,0.15
3,seed292,14.1371976265361,14.1371976265361,13.4705759857786,0.66662164075756,8.07996190296726,4.75954572982808,0.631068352983225,0.6310683529832245,4.440892098500626e-16,True,True,0.6723851851475078,0.8124559868390981,3.07569520906938,0.6838010349727771,0.6984794624668367,0.15
4,seed392,14.1405923733734,14.1405923733734,13.9177473090918,0.222845064281638,8.19808086586643,4.73587877201808,0.983787671207292,0.9837876712072638,2.8199664825478976e-14,True,True,0.6784320791792906,0.8088123577289379,3.9481495386824155,0.7413013368236179,0.6887160123433198,0.15
5,seed90,14.1524469940988,14.1524469940988,13.9300003054445,0.22244668865428,8.23645935829719,4.72860952189975,0.964931425247602,0.964931425247601,9.992007221626409e-16,True,True,0.6798505586621063,0.8078641224003434,4.275912583970796,0.7425090121500237,0.6839661482392303,0.15
6,seed391,14.1552830094769,14.1552830094769,13.8992991747126,0.255983834764356,8.23565260422125,4.71497746346576,0.948669107025564,0.948669107025538,2.5979218776228663e-14,True,True,0.6797160827255774,0.8079569619360909,3.9793550649210316,0.7425381338598077,0.6816238461657809,0.15
7,seed264,14.155814973853,14.155814973853,13.6047001907228,0.551114783130199,8.12503117942481,4.69942654716927,0.780242464128771,0.7802424641287993,2.8310687127941492e-14,True,True,0.6735425402784774,0.8116554158766524,2.810838601996745,0.699848423966775,0.681644839725912,0.15
8,seed109,14.1723513719332,14.1723513719332,13.6162959399511,0.556055431982101,7.79593145016337,4.70280856342861,1.11755592635914,1.1175559263591266,1.3322676295501878e-14,True,True,0.6628687052335207,0.8183002311523276,3.1561252358481164,0.6860720704577069,0.6810844756787386,0.15
9,seed322,14.172441641488,14.172441641488,13.5339398104392,0.638501831048772,7.92980468669128,4.82555285271455,0.778582271033415,0.7785822710334179,2.886579864025407e-15,True,True,0.6676787121865362,0.8153903228138644,3.043671945133486,0.6519489810611852,0.713875341871515,0.15
10,seed26,14.1747852749872,14.1747852749872,13.958562527927,0.216222747060178,8.1957636189007,4.77285465999423,0.9899442490321,0.9899442490321135,1.354472090042691e-14,True,True,0.6784219525237305,0.8088792712563854,4.419057649802421,0.7410376464436546,0.6981353518640018,0.15
