parameter,min,median,max,mean,std,max_over_min
O2_crit,0.1,0.2193122519281795,0.964966092977485,0.4119043543145617,0.3064421566665085,9.64966092977485
alpha,0.0,0.0,0.0,0.0,0.0,
alpha_o2,0.5,0.7535246817413335,2.69193308007453,0.9996798263675049,0.7160004185717855,5.38386616014906
buffer_beta,0.126370833117348,0.266244233656812,0.711286628471281,0.3860955903736369,0.23718452663341683,5.628566425693973
buffer_n_exp,7.09954716536234,9.215325204224769,10.0,8.853225633092372,1.1970526455144666,1.4085405402739697
buffer_smax,0.901526352688421,0.9163242372847905,0.924132738044447,0.9150392128281306,0.008177690940837316,1.025075678917884
c_vol_2N_eff_mm3,5.6269132072195e-06,9.490320339082735e-06,1.3962981651906e-05,1.0103341157262918e-05,3.428778731115418e-06,2.4814638395330273
eta_o2,1.0,1.14494127200242,1.47350758791888,1.132534118343385,0.13817371217862048,1.47350758791888
gamma,1.0,1.0,1.0,1.0,0.0,1.0
gamma_growth,1.73845425103842,3.084979696624695,4.47604135643753,3.0757562222401917,0.9301865809770533,2.574724847526982
gamma_mu,2.50853978276732,2.8055649192871996,3.02016035520097,2.787480686294641,0.20397317991720174,1.2039515482067622
k_clear,0.0060226565535478,0.00739636849838825,0.0154499200334344,0.009157648026466809,0.0034179762525128905,2.56529986328595
k_o_mis,0.0010288852592723,0.0032080066445360498,0.0129509629978223,0.0040987131817599096,0.0034318718793706253,12.587373452101094
kappa_O,0.115636159291711,0.775410501146774,1.06098724029744,0.5973446494982524,0.34379292381714316,9.17522033588929
lam_max,0.207632889721704,0.2447602753881155,0.3,0.2587228060827504,0.037655892413328854,1.444857798791406
mu_hp,0.005,0.04229281575017935,0.0842840841033985,0.034276481565329434,0.027664463019203497,16.856816820679697
n_O,1.01007775324433,1.9251467499655002,3.67451194478828,1.9932016123839749,0.7246979207111994,3.6378505842603626
o2_S0,2.85953911033107,3.983618526485655,5.0,4.05594723051172,0.8821244530287023,1.7485335248382434
o2_min,0.0,0.0,0.0,0.0,0.0,
p_mis_base,1.92092612950088e-06,0.00042945667545380003,0.0116273646647229,0.0022384093149059063,0.0038524407198956647,6052.999376787108
p_misseg,0.117357584120704,0.342997024881842,0.5,0.3246854375026904,0.1724976404826097,4.260483067594018
p_wgd,1.24027325450911e-05,6.86469664758305e-05,0.000772178472211,0.00014185758326511346,0.00022695503841468713,62.25873769378522
ratio_4N_2N,1.0,1.0,1.0,1.0,0.0,1.0
rho_2N,71617.9412771412,106863.67447941666,177717.331541025,110882.4024018305,39933.45706175841,2.4814638395330175
sigma_burden,0.15,0.15,0.15,0.15,0.0,1.0
tau_O2,0.1,0.1,0.1,0.1,0.0,1.0
