seed,rank,parameter,value
seed25,1,lam_max,0.238802464684995
seed25,1,o2_min,0.0
seed25,1,p_mis_base,0.0004953454600379
seed25,1,p_misseg,0.186505530221572
seed25,1,k_o_mis,0.0027445872539549
seed25,1,buffer_smax,0.91383579399473
seed25,1,buffer_beta,0.227352097320628
seed25,1,buffer_n_exp,10.0
seed25,1,p_wgd,1.24027325450911e-05
seed25,1,o2_S0,3.97501050922981
seed25,1,kappa_O,1.06098724029744
seed25,1,eta_o2,1.00311629369371
seed25,1,rho_2N,119495.533069927
seed25,1,alpha_o2,1.74037848667329
seed25,1,gamma_growth,2.86237213071632
seed25,1,mu_hp,0.0498842540247737
seed25,1,gamma_mu,2.6787234895116
seed25,1,O2_crit,0.168760323014007
seed25,1,n_O,1.6636073078992
seed25,1,k_clear,0.0086538974306416
seed25,1,sigma_burden,0.15
seed25,1,tau_O2,0.1
seed25,1,c_vol_2N_eff_mm3,8.36851365326617e-06
seed25,1,ratio_4N_2N,1.0
seed25,1,alpha,0.0
seed25,1,gamma,1.0
seed366,2,lam_max,0.238916831366556
seed366,2,o2_min,0.0
seed366,2,p_mis_base,8.81599401735714e-06
seed366,2,p_misseg,0.117357584120704
seed366,2,k_o_mis,0.0010288852592723
seed366,2,buffer_smax,0.908515590155285
seed366,2,buffer_beta,0.165387798276667
seed366,2,buffer_n_exp,10.0
seed366,2,p_wgd,0.0001820019398752
seed366,2,o2_S0,3.33679808457665
seed366,2,kappa_O,0.814615901380478
seed366,2,eta_o2,1.15425630907038
seed366,2,rho_2N,149647.900441877
seed366,2,alpha_o2,2.69193308007453
seed366,2,gamma_growth,3.30758726253307
seed366,2,mu_hp,0.0513477916983572
seed366,2,gamma_mu,2.63750521250042
seed366,2,O2_crit,0.222506744860626
seed366,2,n_O,2.17248485215607
seed366,2,k_clear,0.0154499200334344
seed366,2,sigma_burden,0.15
seed366,2,tau_O2,0.1
seed366,2,c_vol_2N_eff_mm3,6.6823523554104e-06
seed366,2,ratio_4N_2N,1.0
seed366,2,alpha,0.0
seed366,2,gamma,1.0
seed292,3,lam_max,0.242843890129476
seed292,3,o2_min,0.0
seed292,3,p_mis_base,0.0003635678908697
seed292,3,p_misseg,0.137594247211597
seed292,3,k_o_mis,0.0024626010292998
seed292,3,buffer_smax,0.903568729197162
seed292,3,buffer_beta,0.190627100780284
seed292,3,buffer_n_exp,9.34453198840175
seed292,3,p_wgd,0.000772178472211
seed292,3,o2_S0,2.85953911033107
seed292,3,kappa_O,0.73620510091307
seed292,3,eta_o2,1.15068628770422
seed292,3,rho_2N,177717.331541025
seed292,3,alpha_o2,0.844349949455291
seed292,3,gamma_growth,4.47604135643753
seed292,3,mu_hp,0.0469361386999562
seed292,3,gamma_mu,2.50853978276732
seed292,3,O2_crit,0.199830488779825
seed292,3,n_O,2.02112154373365
seed292,3,k_clear,0.0074561208194205
seed292,3,sigma_burden,0.15
seed292,3,tau_O2,0.1
seed292,3,c_vol_2N_eff_mm3,5.6269132072195e-06
seed292,3,ratio_4N_2N,1.0
seed292,3,alpha,0.0
seed292,3,gamma,1.0
seed392,4,lam_max,0.3
seed392,4,o2_min,0.0
seed392,4,p_mis_base,9.10686315900187e-06
seed392,4,p_misseg,0.5
seed392,4,k_o_mis,0.0042267564773411
seed392,4,buffer_smax,0.924132738044447
seed392,4,buffer_beta,0.621735090905714
seed392,4,buffer_n_exp,7.49244202022955
seed392,4,p_wgd,3.9131611202114e-05
seed392,4,o2_S0,5.0
seed392,4,kappa_O,0.27500742792501
seed392,4,eta_o2,1.09071935162508
seed392,4,rho_2N,73182.1757206602
seed392,4,alpha_o2,0.5
seed392,4,gamma_growth,3.7002386600166
seed392,4,mu_hp,0.005
seed392,4,gamma_mu,2.99028957571162
seed392,4,O2_crit,0.204986605795126
seed392,4,n_O,1.01007775324433
seed392,4,k_clear,0.007336616177356
seed392,4,sigma_burden,0.15
seed392,4,tau_O2,0.1
seed392,4,c_vol_2N_eff_mm3,1.36645295135396e-05
seed392,4,ratio_4N_2N,1.0
seed392,4,alpha,0.0
seed392,4,gamma,1.0
seed90,5,lam_max,0.3
seed90,5,o2_min,0.0
seed90,5,p_mis_base,0.0001043659413478
seed90,5,p_misseg,0.5
seed90,5,k_o_mis,0.0059370587516789
seed90,5,buffer_smax,0.916629668092334
seed90,5,buffer_beta,0.711286628471281
seed90,5,buffer_n_exp,7.74324631745303
seed90,5,p_wgd,0.0001119089671799
seed90,5,o2_S0,5.0
seed90,5,kappa_O,0.2055210745314
seed90,5,eta_o2,1.13919625630062
seed90,5,rho_2N,71617.9412771412
seed90,5,alpha_o2,0.5
seed90,5,gamma_growth,2.03864415984643
seed90,5,mu_hp,0.005
seed90,5,gamma_mu,2.98933266707909
seed90,5,O2_crit,0.654419256922125
seed90,5,n_O,1.46199309937803
seed90,5,k_clear,0.0070529358205457
seed90,5,sigma_burden,0.15
seed90,5,tau_O2,0.1
seed90,5,c_vol_2N_eff_mm3,1.3962981651906e-05
seed90,5,ratio_4N_2N,1.0
seed90,5,alpha,0.0
seed90,5,gamma,1.0
seed391,6,lam_max,0.3
seed391,6,o2_min,0.0
seed391,6,p_mis_base,1.92092612950088e-06
seed391,6,p_misseg,0.5
seed391,6,k_o_mis,0.0015737500072726
seed391,6,buffer_smax,0.916018806477247
seed391,6,buffer_beta,0.691409910534925
seed391,6,buffer_n_exp,7.76637041942925
seed391,6,p_wgd,7.45685312461125e-05
seed391,6,o2_S0,5.0
seed391,6,kappa_O,0.115636159291711
seed391,6,eta_o2,1.15226419734856
seed391,6,rho_2N,71843.8026420501
seed391,6,alpha_o2,0.830917707375158
seed391,6,gamma_growth,1.73845425103842
seed391,6,mu_hp,0.0059204618684304
seed391,6,gamma_mu,3.02016035520097
seed391,6,O2_crit,0.653580687155233
seed391,6,n_O,2.19733943748816
seed391,6,k_clear,0.0060226565535478
seed391,6,sigma_burden,0.15
seed391,6,tau_O2,0.1
seed391,6,c_vol_2N_eff_mm3,1.3919085059881e-05
seed391,6,ratio_4N_2N,1.0
seed391,6,alpha,0.0
seed391,6,gamma,1.0
seed264,7,lam_max,0.212355324278018
seed264,7,o2_min,0.0
seed264,7,p_mis_base,0.0006785786940161
seed264,7,p_misseg,0.293172438109976
seed264,7,k_o_mis,0.0021665505461239
seed264,7,buffer_smax,0.919495055822044
seed264,7,buffer_beta,0.257209792575959
seed264,7,buffer_n_exp,9.08611842004779
seed264,7,p_wgd,6.27254017055485e-05
seed264,7,o2_S0,3.13943134942271
seed264,7,kappa_O,0.820616381440994
seed264,7,eta_o2,1.47350758791888
seed264,7,rho_2N,120397.107645247
seed264,7,alpha_o2,1.21308729380556
seed264,7,gamma_growth,3.44346740161635
seed264,7,mu_hp,0.0376494928004025
seed264,7,gamma_mu,2.9410038149074
seed264,7,O2_crit,0.216117758995733
seed264,7,n_O,2.41853201480817
seed264,7,k_clear,0.0073027859665465
seed264,7,sigma_burden,0.15
seed264,7,tau_O2,0.1
seed264,7,c_vol_2N_eff_mm3,8.3058473709063e-06
seed264,7,ratio_4N_2N,1.0
seed264,7,alpha,0.0
seed264,7,gamma,1.0
seed109,8,lam_max,0.207632889721704
seed109,8,o2_min,0.0
seed109,8,p_mis_base,0.0063183915603384
seed109,8,p_misseg,0.392821611653708
seed109,8,k_o_mis,0.0129509629978223
seed109,8,buffer_smax,0.923457999622951
seed109,8,buffer_beta,0.275278674737665
seed109,8,buffer_n_exp,10.0
seed109,8,p_wgd,5.48401677228861e-05
seed109,8,o2_S0,3.25646670781546
seed109,8,kappa_O,0.82957439313808
seed109,8,eta_o2,1.0
seed109,8,rho_2N,94231.8158889063
seed109,8,alpha_o2,0.676131656107509
seed109,8,gamma_growth,2.33646193559097
seed109,8,mu_hp,0.0842840841033985
seed109,8,gamma_mu,2.62363894285132
seed109,8,O2_crit,0.1
seed109,8,n_O,1.48317621414651
seed109,8,k_clear,0.0153065284158414
seed109,8,sigma_burden,0.15
seed109,8,tau_O2,0.1
seed109,8,c_vol_2N_eff_mm3,1.06121270248993e-05
seed109,8,ratio_4N_2N,1.0
seed109,8,alpha,0.0
seed109,8,gamma,1.0
seed322,9,lam_max,0.246676660646755
seed322,9,o2_min,0.0
seed322,9,p_mis_base,0.0116273646647229
seed322,9,p_misseg,0.119402963709347
seed322,9,k_o_mis,0.0042245534597161
seed322,9,buffer_smax,0.901526352688421
seed322,9,buffer_beta,0.126370833117348
seed322,9,buffer_n_exp,10.0
seed322,9,p_wgd,9.18052093716356e-05
seed322,9,o2_S0,3.9922265437415
seed322,9,kappa_O,0.862506143288721
seed322,9,eta_o2,1.00044278463732
seed322,9,rho_2N,156658.941336418
seed322,9,alpha_o2,0.50000009018371
seed322,9,gamma_growth,2.54837815028773
seed322,9,mu_hp,0.0517425924579758
seed322,9,gamma_mu,2.55320667335387
seed322,9,O2_crit,0.964966092977485
seed322,9,n_O,3.67451194478828
seed322,9,k_clear,0.0096607931231107
seed322,9,sigma_burden,0.15
seed322,9,tau_O2,0.1
seed322,9,c_vol_2N_eff_mm3,6.38329348755491e-06
seed322,9,ratio_4N_2N,1.0
seed322,9,alpha,0.0
seed322,9,gamma,1.0
seed26,10,lam_max,0.3
seed26,10,o2_min,0.0
seed26,10,p_mis_base,0.0027766351544204
seed26,10,p_misseg,0.5
seed26,10,k_o_mis,0.0036714260351172
seed26,10,buffer_smax,0.923211394186685
seed26,10,buffer_beta,0.594297977015898
seed26,10,buffer_n_exp,7.09954716536234
seed26,10,p_wgd,1.70127995916468e-05
seed26,10,o2_S0,5.0
seed26,10,kappa_O,0.25277667277562
seed26,10,eta_o2,1.16115211513508
seed26,10,rho_2N,74031.4744550534
seed26,10,alpha_o2,0.5
seed26,10,gamma_growth,4.3059169143185
seed26,10,mu_hp,0.005
seed26,10,gamma_mu,2.9324063490628
seed26,10,O2_crit,0.733875584645457
seed26,10,n_O,1.82917195619735
seed26,10,k_clear,0.0073342259242235
seed26,10,sigma_burden,0.15
seed26,10,tau_O2,0.1
seed26,10,c_vol_2N_eff_mm3,1.3507768248046e-05
seed26,10,ratio_4N_2N,1.0
seed26,10,alpha,0.0
seed26,10,gamma,1.0
