parameter,n,vivo_min,vivo_median,vivo_max,vitro_min,vitro_median,vitro_max,fraction_vivo_greater,fraction_vivo_less,median_abs_delta_over_sigma,median_saturation_fraction,fraction_saturating,penalty_paid_mean
O2_crit,60,0.104793819950214,0.2592748912292165,0.964966092977485,1.51075656041509,1.58620678578554,1.58620678578554,0.0,1.0,1.2006586617457948,0.9996873805167655,0.8333333333333334,0.07289302301174602
alpha_o2,60,0.500000085093757,2.21615578337391,3.45051262568834,0.5,0.5,0.500000005089952,1.0,0.0,0.979052274548615,0.9933001630400304,0.8333333333333334,0.06539004974804984
buffer_beta,60,0.017263986991193,0.11266466899139625,0.227352097320628,1.59113027351929,1.59113027351929,1.60952585337874,0.0,1.0,1.77408577237397,0.999999991370854,1.0,0.07999964670761854
buffer_n_exp,60,0.229923471665171,9.06744126450478,10.0,3.10273878510898,3.15756611375965,3.22326383426448,0.6666666666666666,0.3333333333333333,0.770226995894605,0.975468816075587,1.0,0.07776835186456131
buffer_smax,60,0.901526352688421,0.9111756920750076,0.994780507585621,1.0,1.0,1.0,0.0,1.0,0.1366527814230655,0.1102303183630145,0.0,0.006662519412161669
gamma_growth,60,1.92842089837505,2.55534647473085,3.30758726253307,1.5,1.5,1.50159603740946,1.0,0.0,1.623609961124385,0.9999999284533885,1.0,0.07912770854541451
gamma_mu,60,2.13884067529301,2.63750521250042,2.86709650984494,1.2,1.2,1.42498990767594,1.0,0.0,2.2049071859775102,0.9999999999999355,1.0,0.07999997100865498
k_o_mis,60,0.001,0.0019317376594748998,0.0042245534597161,0.0001128986825222,0.0001128986825222,0.0001128986825222,1.0,0.0,1.8751264037714601,0.9999999931350665,1.0,0.07999996078018992
lam_max,60,0.133751932601592,0.2388596480257755,0.3,1.34641182234245,1.3485151936293,1.3485151936293,0.0,1.0,1.1564816437222651,0.9997657352538121,1.0,0.07996507495991279
mu_hp,60,0.0498842540247737,0.08289882863192591,0.161400185956118,0.005,0.005,0.005,1.0,0.0,1.825402116395465,0.9999998792445175,1.0,0.07999998805326815
n_O,60,1.6636073078992,2.9142955213185653,4.892143175585,1.86857483366499,1.86857483366499,1.88906371755192,0.8333333333333334,0.16666666666666666,1.608801057928575,0.9997574306590336,0.8333333333333334,0.06943082711306478
p_mis_base,60,2.45486709361357e-06,0.000284420632124821,0.047147263115454,2.38819100974874e-06,8.54181703118544e-06,1.55464994856065e-05,0.95,0.05,2.138560910688865,0.999999885923736,0.7666666666666667,0.05997804553730339
p_misseg,60,0.117357584120704,0.17771499377265,0.5,0.0105535150770604,0.0105535150770604,0.0105535150770604,1.0,0.0,1.8858384434655049,0.999999999708756,1.0,0.07999999776561718
p_wgd,60,1.24027325450911e-05,0.00022120398029965,0.0005979548628228,0.0001771733443027,0.0003312053922759,0.0005242704274563,0.3333333333333333,0.6666666666666666,0.1393654814954755,0.1143137702316265,0.23333333333333334,0.025542234956503086
