primary_cluster_id,subcluster_id,curve_class,monotonicity_reliability,n_seed,fraction_within_subcluster
vi_C01,vi_C01_Sc01,complex_nonmonotone,unreliable_small_gap,11,0.14285714285714285
vi_C01,vi_C01_Sc01,inverted_u_shaped,caution_small_gap,21,0.2727272727272727
vi_C01,vi_C01_Sc01,inverted_u_shaped,reliable,1,0.012987012987012988
vi_C01,vi_C01_Sc01,inverted_u_shaped,unreliable_small_gap,34,0.44155844155844154
vi_C01,vi_C01_Sc01,monotone_increasing,reliable,4,0.05194805194805195
vi_C01,vi_C01_Sc01,monotone_increasing,unreliable_small_gap,3,0.03896103896103896
vi_C01,vi_C01_Sc01,u_shaped,unreliable_small_gap,3,0.03896103896103896
vi_C01,vi_C01_Sc02,complex_nonmonotone,caution_small_gap,2,0.09090909090909091
vi_C01,vi_C01_Sc02,complex_nonmonotone,unreliable_small_gap,14,0.6363636363636364
vi_C01,vi_C01_Sc02,inverted_u_shaped,unreliable_small_gap,4,0.18181818181818182
vi_C01,vi_C01_Sc02,u_shaped,unreliable_small_gap,2,0.09090909090909091
vi_C02,vi_C02_Sc01,complex_nonmonotone,caution_small_gap,58,0.27230046948356806
vi_C02,vi_C02_Sc01,complex_nonmonotone,reliable,17,0.07981220657276995
vi_C02,vi_C02_Sc01,complex_nonmonotone,unreliable_small_gap,55,0.25821596244131456
vi_C02,vi_C02_Sc01,inverted_u_shaped,caution_small_gap,23,0.107981220657277
vi_C02,vi_C02_Sc01,inverted_u_shaped,reliable,8,0.03755868544600939
vi_C02,vi_C02_Sc01,inverted_u_shaped,unreliable_small_gap,32,0.15023474178403756
vi_C02,vi_C02_Sc01,monotone_decreasing,caution_small_gap,2,0.009389671361502348
vi_C02,vi_C02_Sc01,monotone_increasing,caution_small_gap,5,0.023474178403755867
vi_C02,vi_C02_Sc01,monotone_increasing,reliable,1,0.004694835680751174
vi_C02,vi_C02_Sc01,monotone_increasing,unreliable_small_gap,1,0.004694835680751174
vi_C02,vi_C02_Sc01,u_shaped,caution_small_gap,3,0.014084507042253521
vi_C02,vi_C02_Sc01,u_shaped,unreliable_small_gap,8,0.03755868544600939
vi_C02,vi_C02_Sc02,complex_nonmonotone,caution_small_gap,29,0.1686046511627907
vi_C02,vi_C02_Sc02,complex_nonmonotone,reliable,54,0.313953488372093
vi_C02,vi_C02_Sc02,complex_nonmonotone,unreliable_small_gap,12,0.06976744186046512
vi_C02,vi_C02_Sc02,inverted_u_shaped,caution_small_gap,6,0.03488372093023256
vi_C02,vi_C02_Sc02,inverted_u_shaped,reliable,15,0.0872093023255814
vi_C02,vi_C02_Sc02,inverted_u_shaped,unreliable_small_gap,4,0.023255813953488372
vi_C02,vi_C02_Sc02,monotone_decreasing,unreliable_small_gap,1,0.005813953488372093
vi_C02,vi_C02_Sc02,monotone_increasing,caution_small_gap,12,0.06976744186046512
vi_C02,vi_C02_Sc02,monotone_increasing,reliable,27,0.1569767441860465
vi_C02,vi_C02_Sc02,single_transition_increase_then_plateau,reliable,3,0.01744186046511628
vi_C02,vi_C02_Sc02,u_shaped,caution_small_gap,4,0.023255813953488372
vi_C02,vi_C02_Sc02,u_shaped,reliable,5,0.029069767441860465
vi_C03,vi_C03_Sc01,complex_nonmonotone,unreliable_small_gap,4,1.0
vi_C03,vi_C03_Sc02,complex_nonmonotone,caution_small_gap,3,0.25
vi_C03,vi_C03_Sc02,complex_nonmonotone,unreliable_small_gap,2,0.16666666666666666
vi_C03,vi_C03_Sc02,inverted_u_shaped,reliable,1,0.08333333333333333
vi_C03,vi_C03_Sc02,monotone_increasing,reliable,3,0.25
vi_C03,vi_C03_Sc02,monotone_increasing,unreliable_small_gap,1,0.08333333333333333
vi_C03,vi_C03_Sc02,single_transition_increase_then_plateau,reliable,2,0.16666666666666666
