method,reduction,dataset,dataset_label,primary_cluster_id,primary_cluster_base_id,primary_cluster_num,subcluster_id,subcluster_base_id,subcluster_num,n_seeds,objective_min_seed,objective_mean,objective_median,objective_min,objective_max,subcluster_k,subcluster_silhouette_avg,subcluster_silhouette_sample_n,tSNE1_median,tSNE2_median,tSNE1_min,tSNE1_max,tSNE2_min,tSNE2_max
tsne,tsne,invitro,in vitro,vt_C01,C01,1,vt_C01_Sc01,Sc01,1,44,436,4.41099884578164,4.40616080602407,4.36189078635117,4.56391589915055,4,0.136863876205959,108,-2.81008589015523,-13.5273067877195,-2.85589898757567,-2.63431793796214,-13.7357679519347,-13.4580425087627
tsne,tsne,invitro,in vitro,vt_C01,C01,1,vt_C01_Sc02,Sc02,2,17,258,4.43430651070578,4.41993953119056,4.38524834749306,4.53789803843246,4,0.136863876205959,108,-2.75895058318091,-13.475923775537,-6.77662006504178,-2.66155987188116,-13.6999769409611,-4.32749731024382
tsne,tsne,invitro,in vitro,vt_C01,C01,1,vt_C01_Sc03,Sc03,3,17,34,4.42522811323198,4.41791132219189,4.37218042915879,4.53731775414127,4,0.136863876205959,108,-2.74740836258757,-13.5561911922216,-7.97575583433702,-1.37502462657458,-13.7563300347588,-7.93263657807287
tsne,tsne,invitro,in vitro,vt_C01,C01,1,vt_C01_Sc04,Sc04,4,30,157,4.40262968909395,4.39995838993244,4.27116416929482,4.60023279295568,4,0.136863876205959,108,-2.72261511803035,-13.6167884723858,-11.4459207489019,-2.61599910380549,-13.7694160931723,-1.09890949955429
tsne,tsne,invitro,in vitro,vt_C02,C02,2,vt_C02_Sc01,Sc01,1,16,269,4.41220057318449,4.40783523832564,4.37247810170446,4.45028147212765,2,0.690213486761907,392,-2.48310507631809,-13.9105800839795,-2.56314218346002,-2.34950729440494,-14.0905512413127,-13.8331047090134
tsne,tsne,invitro,in vitro,vt_C02,C02,2,vt_C02_Sc02,Sc02,2,376,10,4.01005250052742,4.02777938901016,3.85253526260594,4.1247652182545,2,0.690213486761907,392,-2.17491913136462,-14.2616488090793,-2.32617768620407,-1.97862400813009,-14.424193957796,-14.0884699299602
tsne,tsne,invivo,in vivo,vi_C01,C01,1,vi_C01_Sc01,Sc01,1,77,366,14.9693433298597,14.7702793852123,14.1340195166425,18.6165258665108,2,0.179256205641498,99,-4.83860445691751,-4.16526187719364,-6.54467336666561,-3.73780988414447,-7.35487417695769,-1.57151072538051
tsne,tsne,invivo,in vivo,vi_C01,C01,1,vi_C01_Sc02,Sc02,2,22,290,16.3539348622466,15.6836685599016,14.9903319373581,19.9731457731525,2,0.179256205641498,99,-4.31784190299415,-4.03461786672258,-6.50706615762242,-1.41590322508424,-6.24657298230855,0.647364284954563
tsne,tsne,invivo,in vivo,vi_C02,C02,2,vi_C02_Sc01,Sc01,1,213,25,14.8793272294554,14.6529211108536,14.1193277940156,17.4333966109155,2,0.0959647680095208,385,-1.93536964140993,-10.1829949821855,-3.56825330223942,0.120699289944959,-11.0844245666708,-7.53910256288431
tsne,tsne,invivo,in vivo,vi_C02,C02,2,vi_C02_Sc02,Sc02,2,172,322,15.1238404336156,14.9054392082786,14.172441641488,19.1819266657665,2,0.0959647680095208,385,-1.62090622519431,-10.3336021508619,-3.48445013244666,1.56865493741271,-12.4262067276531,-8.07869812076377
tsne,tsne,invivo,in vivo,vi_C03,C03,3,vi_C03_Sc01,Sc01,1,4,138,15.3260372985366,15.3302967621511,15.1972704353619,15.4462852344823,2,0.33023186687747,16,4.55256092013208,-7.94992160729324,2.64022460138797,7.91132257397169,-8.51420461086446,1.86650169992452
tsne,tsne,invivo,in vivo,vi_C03,C03,3,vi_C03_Sc02,Sc02,2,12,311,15.1278862510278,15.056008996024,14.6048156636453,16.0234639809199,2,0.33023186687747,16,7.02990170500826,-10.7829698673706,3.49295786382259,7.84060382036828,-12.1033317839902,-9.57924395424774
