optimizer_name,n,fraction_moved,median_abs,max_abs
delta__log10_p_wgd,60,0.8166666666666667,0.2906678858633599,0.5433980317498938
ivt__log10_sigma_kary,60,0.43333333333333335,0.0,0.43463535662092
delta__log10_p_mis_base,60,0.36666666666666664,0.0,0.4664701002030813
log10_eta_o2,60,0.3,0.0,0.012170044827362003
log10_k_clear,60,0.21666666666666667,0.0,0.07147206310578014
gamma_mu,60,0.13333333333333333,0.0,0.2369245259428001
log10_p_wgd,60,0.1,0.0,0.3974074750137402
log10_p_mis_base,60,0.06666666666666667,0.0,0.5543622538487201
delta__gamma_mu,60,0.06666666666666667,0.0,0.22728853469664
log10_O2_crit,60,0.06666666666666667,4.0245584642661925e-16,0.02116531462009799
log10_kappa_O,60,0.06666666666666667,0.0,0.005401159179440007
log10_buffer_n_exp,60,0.05,0.0,0.008776845412044015
log10_lam_max,60,0.03333333333333333,0.0,0.0006779276198169981
ivt__init_mean_2N,60,0.016666666666666666,0.0,0.31333983412000066
ivt__init_mean_4N,60,0.016666666666666666,0.0,0.11717626327470043
delta__n_O,60,0.016666666666666666,0.0,0.040977767773860085
delta__log10_buffer_n_exp,60,0.016666666666666666,0.0,0.017886805331237987
ivt__log10_init_sd_2N,60,0.016666666666666666,0.0,0.013438158534142985
delta__log10_buffer_beta,60,0.016666666666666666,9.992007221626409e-16,0.009984436287449938
delta__gamma_growth,60,0.016666666666666666,0.0,0.003192074818922974
log10_rho_2N,60,0.016666666666666666,0.0,0.00017892456427048842
ivt__log10_init_sd_4N,60,0.016666666666666666,0.0,0.00010191637523404573
delta__log10_alpha_o2,60,0.0,1.1102229584507075e-16,8.842152346342299e-09
log10_k_o_mis,60,0.0,9.769962616701378e-15,1.021405182655144e-14
log10_mu_hp,60,0.0,0.0,9.992007221626409e-15
log10_p_misseg,60,0.0,0.0,9.992007221626409e-15
delta__log10_k_o_mis,60,0.0,0.0,3.9968028886505635e-15
delta__log10_mu_hp,60,0.0,0.0,2.9976021664879227e-15
log10_buffer_beta,60,0.0,4.996003610813204e-16,1.9984014443252818e-15
delta__log10_O2_crit,60,0.0,0.0,9.992007221626409e-16
delta__log10_lam_max,60,0.0,0.0,9.992007221626409e-16
log10_alpha_o2,60,0.0,4.85722573273506e-17,7.91033905045424e-16
buffer_smax,60,0.0,0.0,0.0
delta__buffer_smax,60,0.0,0.0,0.0
delta__log10_p_misseg,60,0.0,0.0,0.0
gamma_growth,60,0.0,0.0,0.0
ivt__log10_sigma_growth,60,0.0,0.0,0.0
log10_o2_S0,60,0.0,0.0,0.0
log10_sigma_burden,60,0.0,0.0,0.0
n_O,60,0.0,0.0,0.0
