pair,seed,parameter,kind,movement,abs_movement
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,O2_crit,center,-0.02116531462009799,0.02116531462009799
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,O2_crit,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,mu_hp,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,mu_hp,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,p_misseg,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,p_misseg,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,k_o_mis,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,k_o_mis,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,buffer_smax,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,buffer_smax,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,buffer_beta,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,buffer_beta,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,buffer_n_exp,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,buffer_n_exp,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,n_O,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,n_O,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,alpha_o2,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,alpha_o2,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,gamma_growth,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,gamma_growth,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,lam_max,center,-0.0006779276198179973,0.0006779276198179973
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,lam_max,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,p_mis_base,center,-0.48339325186466997,0.48339325186466997
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,p_mis_base,delta,-0.05024544685635601,0.05024544685635601
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,p_wgd,center,-0.19375542860211992,0.19375542860211992
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,p_wgd,delta,-0.3600233403006966,0.3600233403006966
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,gamma_mu,center,0.2369245259428001,0.2369245259428001
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,gamma_mu,delta,0.22728853469664,0.22728853469664
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,O2_crit,center,-0.008166167175196998,0.008166167175196998
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,O2_crit,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,mu_hp,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,mu_hp,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,p_misseg,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,p_misseg,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,k_o_mis,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,k_o_mis,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,buffer_smax,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,buffer_smax,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,buffer_beta,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,buffer_beta,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,buffer_n_exp,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,buffer_n_exp,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,n_O,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,n_O,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,alpha_o2,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,alpha_o2,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,gamma_growth,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,gamma_growth,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,lam_max,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,lam_max,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,p_mis_base,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,p_mis_base,delta,-0.196561469613585,0.196561469613585
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,p_wgd,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,p_wgd,delta,-0.21722190162358898,0.21722190162358898
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,gamma_mu,center,0.18532201769978007,0.18532201769978007
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,gamma_mu,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,O2_crit,center,-0.011831797823611018,0.011831797823611018
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,O2_crit,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,mu_hp,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,mu_hp,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,p_misseg,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,p_misseg,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,k_o_mis,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,k_o_mis,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,buffer_smax,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,buffer_smax,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,buffer_beta,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,buffer_beta,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,buffer_n_exp,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,buffer_n_exp,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,n_O,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,n_O,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,alpha_o2,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,alpha_o2,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,gamma_growth,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,gamma_growth,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,lam_max,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,lam_max,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,p_mis_base,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,p_mis_base,delta,-0.005509087579888994,0.005509087579888994
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,p_wgd,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,p_wgd,delta,-0.199160378007842,0.199160378007842
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,gamma_mu,center,0.23315564872393013,0.23315564872393013
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,gamma_mu,delta,0.016331482095969907,0.016331482095969907
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,O2_crit,center,-0.0022714290890490096,0.0022714290890490096
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,O2_crit,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,mu_hp,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,mu_hp,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,p_misseg,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,p_misseg,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,k_o_mis,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,k_o_mis,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,buffer_smax,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,buffer_smax,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,buffer_beta,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,buffer_beta,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,buffer_n_exp,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,buffer_n_exp,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,n_O,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,n_O,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,alpha_o2,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,alpha_o2,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,gamma_growth,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,gamma_growth,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,lam_max,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,lam_max,delta,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,p_mis_base,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,p_mis_base,delta,-0.28804474752183495,0.28804474752183495
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,p_wgd,center,0.0,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed354,p_wgd,delta,-0.2656715022734771,0.2656715022734771
