parameter,kind,n,n_moved_1e8,fraction_moved,median_abs,max_abs
p_wgd,delta,60,49,0.8166666666666667,0.2906678858633664,0.5433980317498948
p_mis_base,delta,60,22,0.36666666666666664,0.0,0.46647010020308227
gamma_mu,center,60,8,0.13333333333333333,0.0,0.2369245259428001
p_wgd,center,60,6,0.1,0.0,0.3974074750137504
p_mis_base,center,60,4,0.06666666666666667,0.0,0.5543622538487201
gamma_mu,delta,60,4,0.06666666666666667,0.0,0.22728853469664
O2_crit,center,60,4,0.06666666666666667,0.0,0.02116531462009799
buffer_n_exp,center,60,3,0.05,0.0,0.008776845412044015
lam_max,center,60,2,0.03333333333333333,0.0,0.0006779276198179973
n_O,delta,60,1,0.016666666666666666,0.0,0.040977767773860085
buffer_n_exp,delta,60,1,0.016666666666666666,0.0,0.017886805331238986
buffer_beta,delta,60,1,0.016666666666666666,0.0,0.009984436287449938
gamma_growth,delta,60,1,0.016666666666666666,0.0,0.003192074818922974
alpha_o2,delta,60,0,0.0,0.0,8.84215256838689e-09
O2_crit,delta,60,0,0.0,0.0,0.0
alpha_o2,center,60,0,0.0,0.0,0.0
buffer_beta,center,60,0,0.0,0.0,0.0
buffer_smax,center,60,0,0.0,0.0,0.0
buffer_smax,delta,60,0,0.0,0.0,0.0
gamma_growth,center,60,0,0.0,0.0,0.0
k_o_mis,center,60,0,0.0,0.0,0.0
k_o_mis,delta,60,0,0.0,0.0,0.0
lam_max,delta,60,0,0.0,0.0,0.0
mu_hp,center,60,0,0.0,0.0,0.0
mu_hp,delta,60,0,0.0,0.0,0.0
n_O,center,60,0,0.0,0.0,0.0
p_misseg,center,60,0,0.0,0.0,0.0
p_misseg,delta,60,0,0.0,0.0,0.0
