result_group,pair,rank,seed,objective,source_path,exists,archive_relative_dir
fit_invitro_O2_buffering_500seed,.,1,seed10,3.85253526260594,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invitro_O2_buffering_500seed/seed10,True,top10/fit_invitro_O2_buffering_500seed/seed10
fit_invitro_O2_buffering_500seed,.,2,seed132,3.85325699409698,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invitro_O2_buffering_500seed/seed132,True,top10/fit_invitro_O2_buffering_500seed/seed132
fit_invitro_O2_buffering_500seed,.,3,seed81,3.85407675070183,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invitro_O2_buffering_500seed/seed81,True,top10/fit_invitro_O2_buffering_500seed/seed81
fit_invitro_O2_buffering_500seed,.,4,seed294,3.85939251399518,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invitro_O2_buffering_500seed/seed294,True,top10/fit_invitro_O2_buffering_500seed/seed294
fit_invitro_O2_buffering_500seed,.,5,seed337,3.85982832390622,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invitro_O2_buffering_500seed/seed337,True,top10/fit_invitro_O2_buffering_500seed/seed337
fit_invitro_O2_buffering_500seed,.,6,seed106,3.8605271823133,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invitro_O2_buffering_500seed/seed106,True,top10/fit_invitro_O2_buffering_500seed/seed106
fit_invitro_O2_buffering_500seed,.,7,seed317,3.86095984101845,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invitro_O2_buffering_500seed/seed317,True,top10/fit_invitro_O2_buffering_500seed/seed317
fit_invitro_O2_buffering_500seed,.,8,seed140,3.8610232957513,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invitro_O2_buffering_500seed/seed140,True,top10/fit_invitro_O2_buffering_500seed/seed140
fit_invitro_O2_buffering_500seed,.,9,seed285,3.86175339084624,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invitro_O2_buffering_500seed/seed285,True,top10/fit_invitro_O2_buffering_500seed/seed285
fit_invitro_O2_buffering_500seed,.,10,seed464,3.86230239787459,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invitro_O2_buffering_500seed/seed464,True,top10/fit_invitro_O2_buffering_500seed/seed464
fit_invivo_O2_buffering_500seed,.,1,seed25,14.1193277940156,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invivo_O2_buffering_500seed/seed25,True,top10/fit_invivo_O2_buffering_500seed/seed25
fit_invivo_O2_buffering_500seed,.,2,seed366,14.1340195166425,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invivo_O2_buffering_500seed/seed366,True,top10/fit_invivo_O2_buffering_500seed/seed366
fit_invivo_O2_buffering_500seed,.,3,seed292,14.1371976265361,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invivo_O2_buffering_500seed/seed292,True,top10/fit_invivo_O2_buffering_500seed/seed292
fit_invivo_O2_buffering_500seed,.,4,seed392,14.1405923733734,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invivo_O2_buffering_500seed/seed392,True,top10/fit_invivo_O2_buffering_500seed/seed392
fit_invivo_O2_buffering_500seed,.,5,seed90,14.1524469940988,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invivo_O2_buffering_500seed/seed90,True,top10/fit_invivo_O2_buffering_500seed/seed90
fit_invivo_O2_buffering_500seed,.,6,seed391,14.1552830094769,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invivo_O2_buffering_500seed/seed391,True,top10/fit_invivo_O2_buffering_500seed/seed391
