segment_id	cohort	lineage_id	lineage_group	lineage_label	scenario_id	lineage_terminal_key	passage_index	lineage_passage_index	oxygen_pct	passage_id	n_cells	mean_loglik	total_loglik
2N-O1-A7	2N	O1	deprived	O1	2N-O1	2N-O1-A23	7	7	0	SUM-159_NLS_2N_O1_A7_seed	19	-2.50923853018138	-47.6755320734462
2N-O1-A19	2N	O1	deprived	O1	2N-O1	2N-O1-A23	19	19	0	SUM-159_NLS_2N_O1_A19_seed	20	-4.1323954351236	-82.647908702472
2N-O2-A7	2N	O2	deprived	O2	2N-O2	2N-O2-A23	7	7	0	SUM-159_NLS_2N_O2_A7_seed	15	-2.52491545775109	-37.8737318662663
2N-O2-A19	2N	O2	deprived	O2	2N-O2	2N-O2-A23	19	19	0	SUM-159_NLS_2N_O2_A19_seed	20	-5.01695661923526	-100.339132384705
2N-INITIAL-1	2N	INITIAL	initial	INITIAL	2N-INITIAL	2N-INITIAL	0	0	20.5	SUM-159_NLS_2N_A5_seed	20	-2.02963467362004	-40.5926934724008
2N-INITIAL-2	2N	INITIAL	initial	INITIAL	2N-INITIAL	2N-INITIAL	0	0	20.5	SUM-159_NLS_2N_A6M_seed	20	-2.11925559066075	-42.385111813215
4N-O1-A7	4N	O1	deprived	O1	4N-O1	4N-O1-A22	7	7	0	SUM-159_NLS_4N_O1_A7_seed	12	-3.03486514457953	-36.4183817349543
4N-O1-A17	4N	O1	deprived	O1	4N-O1	4N-O1-A22	17	17	0	SUM-159_NLS_4N_O1_A17_seed	20	-3.20121844581176	-64.0243689162352
4N-O2-A7	4N	O2	deprived	O2	4N-O2	4N-O2-A22	7	7	0	SUM-159_NLS_4N_O2_A7_seed	18	-3.03725041440254	-54.6705074592457
4N-O2-A17	4N	O2	deprived	O2	4N-O2	4N-O2-A22	17	17	0	SUM-159_NLS_4N_O2_A17_seed	20	-3.20917893123991	-64.1835786247982
4N-INITIAL-1	4N	INITIAL	initial	INITIAL	4N-INITIAL	4N-INITIAL	0	0	20.5	SUM-159_NLS_4N_A2_seed	20	-3.45340486063923	-69.0680972127845
4N-INITIAL-2	4N	INITIAL	initial	INITIAL	4N-INITIAL	4N-INITIAL	0	0	20.5	SUM-159_NLS_4N_A4M_seed	16	-3.04076565634033	-48.6522505014453
