seed	cohort	lineage_id	scenario_id	passage_id	passage_recorded	reseed_mode	available_cells	required_cells	supply_ratio	boundary_scale	cell_number_before	cell_number_after	n_state_components	max_abs_state_difference	insufficient_state_identical	proportional_downsample_exact	boundary_scale_at_most_one
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	TRUE	downsample_to_observed_inoculum	14526974.4582546	401065	36.2209977391559	0.0276082952546327	14526974.4582546	401065	133	0	NA	TRUE	TRUE
10	2N	C	2N-C	SUM-159_NLS_2N_C_A2_seed	TRUE	downsample_to_observed_inoculum	3303586.3786027	749542	4.40747333518695	0.226887362429745	3303586.3786027	749541.999999998	133	0	NA	TRUE	TRUE
10	2N	C	2N-C	SUM-159_NLS_2N_C_A3_seed	TRUE	downsample_to_observed_inoculum	2151519.29516326	398961	5.39280605162724	0.185432220336991	2151519.29516326	398961	133	0	NA	TRUE	TRUE
10	2N	C	2N-C	SUM-159_NLS_2N_C_A4_seed	TRUE	downsample_to_observed_inoculum	9441772.35177701	807037	11.699305424382	0.085475159740333	9441772.35177701	807037	133	0	NA	TRUE	TRUE
10	2N	C	2N-C	SUM-159_NLS_2N_C_A5_seed	TRUE	downsample_to_observed_inoculum	6656218.76228477	352684	18.8730386473012	0.0529856383324367	6656218.76228477	352684	133	0	NA	TRUE	TRUE
10	2N	C	2N-C	SUM-159_NLS_2N_C_A6_seed	TRUE	downsample_to_observed_inoculum	8362074.67545077	692047	12.0831022682719	0.0827602032820514	8362074.67545077	692047	133	0	NA	TRUE	TRUE
10	2N	C	2N-C	SUM-159_NLS_2N_C_A7_seed	TRUE	downsample_to_observed_inoculum	5715742.72529056	1127468	5.06953875878567	0.197256604117479	5715742.72529056	1127468	133	0	NA	TRUE	TRUE
10	2N	C	2N-C	SUM-159_NLS_2N_C_A8_seed	TRUE	downsample_to_observed_inoculum	26794627.1376963	839992	31.8986694369664	0.0313492699742871	26794627.1376963	839991.999999999	133	0	NA	TRUE	TRUE
10	2N	C	2N-C	SUM-159_NLS_2N_C_A9_seed	TRUE	downsample_to_observed_inoculum	6950018.95205281	797221	8.71780717273229	0.114707744755793	6950018.95205281	797221	133	0	NA	TRUE	TRUE
10	2N	C	2N-C	SUM-159_NLS_2N_C_A10_seed	TRUE	downsample_to_observed_inoculum	19004343.4493228	372317	51.0434480545417	0.0195911529905163	19004343.4493228	372317	133	0	NA	TRUE	TRUE
10	2N	C	2N-C	SUM-159_NLS_2N_C_A11_seed	TRUE	downsample_to_observed_inoculum	3087734.02552597	441031	7.00117231107557	0.142833222147388	3087734.02552597	441031	133	0	NA	TRUE	TRUE
10	2N	C	2N-C	SUM-159_NLS_2N_C_A12_seed	TRUE	terminal_no_reseed	10556048.2932718	NA	NA	1	10556048.2932718	10556048.2932718	133	0	NA	NA	TRUE
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A1_seed	TRUE	downsample_to_observed_inoculum	3014445.79865098	404570	7.4509869704896	0.134210407823904	3014445.79865098	404570	133	0	NA	TRUE	TRUE
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A2_seed	TRUE	downsample_to_observed_inoculum	2849218.3599682	396157	7.19214442750777	0.139040589365156	2849218.3599682	396157	133	0	NA	TRUE	TRUE
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A3_seed	TRUE	downsample_to_observed_inoculum	2390100.09546926	546906	4.370221016901	0.228821379086478	2390100.09546926	546906	133	0	NA	TRUE	TRUE
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A4_seed	TRUE	downsample_to_observed_inoculum	3163602.44431282	733415	4.31352296355108	0.23182906604414	3163602.44431282	733415	133	0	NA	TRUE	TRUE
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A5_seed	TRUE	downsample_to_observed_inoculum	4186262.42831638	480997	8.70330257427048	0.11489891239175	4186262.42831638	480997	133	0	NA	TRUE	TRUE
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A6_seed	TRUE	downsample_to_observed_inoculum	2723936.00253755	365305	7.45660749931577	0.134109244732509	2723936.00253755	365305	133	0	NA	TRUE	TRUE
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A7_seed	TRUE	downsample_to_observed_inoculum	2065908.51928787	273453	7.55489433024275	0.132364525073095	2065908.51928787	273453	133	0	NA	TRUE	TRUE
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A8_seed	TRUE	downsample_to_observed_inoculum	1095753.8991978	433335	2.5286531187137	0.395467449686689	1095753.8991978	433335	133	0	NA	TRUE	TRUE
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A9_seed	TRUE	downsample_to_observed_inoculum	4941098.03061324	745247	6.63014816646459	0.150826191948171	4941098.03061324	745247	133	0	NA	TRUE	TRUE
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A10_seed	TRUE	downsample_to_observed_inoculum	4256682.52611137	491262	8.66479093866688	0.115409593500689	4256682.52611137	491262	133	0	NA	TRUE	TRUE
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A11_seed	TRUE	downsample_to_observed_inoculum	2816683.12858241	414398	6.79704807596177	0.14712269044213	2816683.12858241	414398	133	0	NA	TRUE	TRUE
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A12_seed	TRUE	downsample_to_observed_inoculum	4812063.88191612	639420	7.52566995388966	0.132878535217074	4812063.88191612	639420	133	0	NA	TRUE	TRUE
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A13_seed	TRUE	downsample_to_observed_inoculum	5270418.93384447	485692	10.8513603968039	0.0921543441036698	5270418.93384447	485692	133	0	NA	TRUE	TRUE
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A14_seed	TRUE	downsample_to_observed_inoculum	5747387.10406142	722968	7.94971161111061	0.125790726622383	5747387.10406142	722968	133	0	NA	TRUE	TRUE
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A15_seed	TRUE	downsample_to_observed_inoculum	2983243.47166403	451159	6.61239933518788	0.151231035711727	2983243.47166403	451159	133	0	NA	TRUE	TRUE
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A16_seed	TRUE	downsample_to_observed_inoculum	11129782.7977349	394346	28.2233946781123	0.0354315989059784	11129782.7977349	394346	133	0	NA	TRUE	TRUE
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A17_seed	TRUE	downsample_to_observed_inoculum	4856733.73941501	578151	8.4004589448345	0.119041115082755	4856733.73941501	578150.999999999	133	0	NA	TRUE	TRUE
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A18_seed	TRUE	downsample_to_observed_inoculum	3512008.50271123	1129568	3.1091607612036	0.321630200817563	3512008.50271123	1129568	133	0	NA	TRUE	TRUE
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A19_seed	TRUE	downsample_to_observed_inoculum	6928070.87851478	588177	11.7788877812542	0.084897659148385	6928070.87851478	588177	133	0	NA	TRUE	TRUE
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A20_seed	TRUE	downsample_to_observed_inoculum	3645145.58233467	585949	6.22092636446973	0.160747763502139	3645145.58233467	585949	133	0	NA	TRUE	TRUE
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A21_seed	TRUE	downsample_to_observed_inoculum	3672139.67859793	502401	7.30918067161078	0.136814240190292	3672139.67859793	502401	133	0	NA	TRUE	TRUE
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A22_seed	TRUE	downsample_to_observed_inoculum	1519780.92581341	694004	2.18987343850094	0.456647394510863	1519780.92581341	694004.000000001	133	0	NA	TRUE	TRUE
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A23_seed	TRUE	terminal_no_reseed	4436901.03800005	NA	NA	1	4436901.03800005	4436901.03800005	133	0	NA	NA	TRUE
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A1_seed	TRUE	downsample_to_observed_inoculum	2291275.07359714	366708	6.24822767323631	0.160045384434918	2291275.07359714	366708	133	0	NA	TRUE	TRUE
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A2_seed	TRUE	downsample_to_observed_inoculum	2582572.61788122	402467	6.41685558786489	0.155839567574363	2582572.61788122	402467	133	0	NA	TRUE	TRUE
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A3_seed	TRUE	downsample_to_observed_inoculum	2428169.60371673	523768	4.63596402169801	0.215704866413896	2428169.60371673	523768	133	0	NA	TRUE	TRUE
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A4_seed	TRUE	downsample_to_observed_inoculum	3029759.97643017	809842	3.74117417524674	0.267295761479495	3029759.97643017	809842	133	0	NA	TRUE	TRUE
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A5_seed	TRUE	downsample_to_observed_inoculum	4622498.75458768	480296	9.62427077174843	0.103903976074265	4622498.75458768	480296	133	0	NA	TRUE	TRUE
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A6_seed	TRUE	downsample_to_observed_inoculum	2719966.17767365	420697	6.46538049397463	0.154669937976882	2719966.17767365	420697	133	0	NA	TRUE	TRUE
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A7_seed	TRUE	downsample_to_observed_inoculum	2379166.15768647	291683	8.15668433774497	0.12259883533466	2379166.15768647	291683.000000001	133	0	NA	TRUE	TRUE
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A8_seed	TRUE	downsample_to_observed_inoculum	1168803.29419447	385434	3.03243433167409	0.329768064407825	1168803.29419447	385434	133	0	NA	TRUE	TRUE
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A9_seed	TRUE	downsample_to_observed_inoculum	4394909.54523585	675067	6.5103308934311	0.153602023671177	4394909.54523585	675067.000000001	133	0	NA	TRUE	TRUE
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A10_seed	TRUE	downsample_to_observed_inoculum	3855831.49868828	520225	7.41185352239566	0.134919018161705	3855831.49868828	520225	133	0	NA	TRUE	TRUE
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A11_seed	TRUE	downsample_to_observed_inoculum	2982744.00129069	364269	8.18830040791472	0.122125465625737	2982744.00129069	364269	133	0	NA	TRUE	TRUE
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A12_seed	TRUE	downsample_to_observed_inoculum	4229959.21030534	563670	7.50431850250206	0.133256604136216	4229959.21030534	563670	133	0	NA	TRUE	TRUE
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A13_seed	TRUE	downsample_to_observed_inoculum	4646052.1826448	455615	10.1973205066664	0.0980649769070474	4646052.1826448	455615.000000001	133	0	NA	TRUE	TRUE
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A14_seed	TRUE	downsample_to_observed_inoculum	5391475.78143957	915685	5.88791536548002	0.169839397805011	5391475.78143957	915685	133	0	NA	TRUE	TRUE
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A15_seed	TRUE	downsample_to_observed_inoculum	3778465.5365176	467868	8.07592213298966	0.123824868978746	3778465.5365176	467868	133	0	NA	TRUE	TRUE
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A16_seed	TRUE	downsample_to_observed_inoculum	11541977.9451272	363155	31.78251144863	0.0314638445616955	11541977.9451272	363155	133	0	NA	TRUE	TRUE
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A17_seed	TRUE	downsample_to_observed_inoculum	4472589.50702246	642762	6.95839129728027	0.143711377713245	4472589.50702246	642762	133	0	NA	TRUE	TRUE
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A18_seed	TRUE	downsample_to_observed_inoculum	3904490.15727275	1088351	3.58752843271404	0.278743435419543	3904490.15727275	1088351	133	0	NA	TRUE	TRUE
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A19_seed	TRUE	downsample_to_observed_inoculum	6675272.78448649	568126	11.7496343847782	0.085109031247433	6675272.78448649	568126	133	0	NA	TRUE	TRUE
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A20_seed	TRUE	downsample_to_observed_inoculum	3520882.68657083	524681	6.71052065268388	0.149019733602943	3520882.68657083	524681	133	0	NA	TRUE	TRUE
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A21_seed	TRUE	downsample_to_observed_inoculum	3288174.50593599	567012	5.7991268367089	0.172439753114197	3288174.50593599	567012	133	0	NA	TRUE	TRUE
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A22_seed	TRUE	downsample_to_observed_inoculum	1715231.29242028	571468	3.00144766184682	0.33317255959902	1715231.29242028	571468	133	0	NA	TRUE	TRUE
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A23_seed	TRUE	terminal_no_reseed	3653507.29681821	NA	NA	1	3653507.29681821	3653507.29681821	133	0	NA	NA	TRUE
10	4N	C	4N-C	SUM-159_NLS_4N_C_A1_seed	TRUE	downsample_to_observed_inoculum	27723680.4283908	575654	48.1603192688504	0.0207639819499035	27723680.4283908	575654	133	0	NA	TRUE	TRUE
10	4N	C	4N-C	SUM-159_NLS_4N_C_A2_seed	TRUE	downsample_to_observed_inoculum	5317615.53015222	427709	12.4327884850499	0.0804324791017293	5317615.53015222	427709	133	0	NA	TRUE	TRUE
10	4N	C	4N-C	SUM-159_NLS_4N_C_A3_seed	TRUE	downsample_to_observed_inoculum	1300091.16491512	448744	2.89717782280124	0.345163487076922	1300091.16491512	448744	133	0	NA	TRUE	TRUE
10	4N	C	4N-C	SUM-159_NLS_4N_C_A4_seed	TRUE	downsample_to_observed_inoculum	12609098.7742623	884866	14.2497268222108	0.0701767839114867	12609098.7742623	884866	133	0	NA	TRUE	TRUE
10	4N	C	4N-C	SUM-159_NLS_4N_C_A5_seed	TRUE	downsample_to_observed_inoculum	8182124.2913006	411582	19.8796941831776	0.0503025846768916	8182124.2913006	411582	133	0	NA	TRUE	TRUE
10	4N	C	4N-C	SUM-159_NLS_4N_C_A6_seed	TRUE	downsample_to_observed_inoculum	11581820.9966156	621931	18.6223568154917	0.053698895897436	11581820.9966156	621931	133	0	NA	TRUE	TRUE
10	4N	C	4N-C	SUM-159_NLS_4N_C_A7_seed	TRUE	downsample_to_observed_inoculum	5757126.03063804	1532740	3.75610085900938	0.266233532467958	5757126.03063804	1532740	133	0	NA	TRUE	TRUE
10	4N	C	4N-C	SUM-159_NLS_4N_C_A8_seed	TRUE	downsample_to_observed_inoculum	43207991.3075288	955684	45.2115880432536	0.0221182232980471	43207991.3075288	955684	133	0	NA	TRUE	TRUE
10	4N	C	4N-C	SUM-159_NLS_4N_C_A9_seed	TRUE	downsample_to_observed_inoculum	8858351.82071939	728507	12.1595973967572	0.0822395649601596	8858351.82071939	728507.000000001	133	0	NA	TRUE	TRUE
10	4N	C	4N-C	SUM-159_NLS_4N_C_A10_seed	TRUE	downsample_to_observed_inoculum	20581619.0965308	512549	40.1554175240432	0.0249032400024541	20581619.0965308	512549	133	0	NA	TRUE	TRUE
10	4N	C	4N-C	SUM-159_NLS_4N_C_A11_seed	TRUE	downsample_to_observed_inoculum	4758329.12687074	537090	8.85946326848525	0.112873654948961	4758329.12687074	537090	133	0	NA	TRUE	TRUE
10	4N	C	4N-C	SUM-159_NLS_4N_C_A12_seed	TRUE	terminal_no_reseed	15212165.0174416	NA	NA	1	15212165.0174416	15212165.0174416	133	0	NA	NA	TRUE
10	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A1_seed	TRUE	downsample_to_observed_inoculum	9261274.53381633	469077	19.7436125280419	0.0506492921991705	9261274.53381633	469077	133	0	NA	TRUE	TRUE
10	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A2_seed	TRUE	downsample_to_observed_inoculum	5013563.10533166	979523	5.11837200895912	0.195374622682684	5013563.10533166	979523	133	0	NA	TRUE	TRUE
10	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A3_seed	TRUE	downsample_to_observed_inoculum	7817510.32205621	477491	16.3720579488539	0.0610796763072782	7817510.32205621	477491	133	0	NA	TRUE	TRUE
