seed	scenario_id	parameter	value	reference_value	identical_to_shared_reference
10	2N-C	lam_max	1.3485151936293	1.3485151936293	TRUE
10	2N-C	p_misseg	0.0105535150770604	0.0105535150770604	TRUE
10	2N-C	k_o_mis	0.000112898682522252	0.000112898682522252	TRUE
10	2N-C	buffer_smax	1	1	TRUE
10	2N-C	buffer_beta	1.59113027351929	1.59113027351929	TRUE
10	2N-C	buffer_n_exp	3.15756611375965	3.15756611375965	TRUE
10	2N-C	p_wgd	0.00033120539227592	0.00033120539227592	TRUE
10	2N-C	o2_S0	3.5	3.5	TRUE
10	2N-C	kappa_O	0.5	0.5	TRUE
10	2N-C	eta_o2	1.2	1.2	TRUE
10	2N-C	rho_2N	56000	56000	TRUE
10	2N-C	beta_size	0.35	0.35	TRUE
10	2N-C	alpha_o2	0.5	0.5	TRUE
10	2N-C	gamma_growth	1.5	1.5	TRUE
10	2N-C	mu_hp	0.005	0.005	TRUE
10	2N-C	gamma_mu	1.2	1.2	TRUE
10	2N-C	O2_crit	1.58620678578554	1.58620678578554	TRUE
10	2N-C	n_O	1.86857483366499	1.86857483366499	TRUE
10	2N-C	k_clear	1e-04	1e-04	TRUE
10	2N-C	sigma_burden	0.2	0.2	TRUE
10	2N-C	sigma_growth	0.203840002499712	0.203840002499712	TRUE
10	2N-C	sigma_kary	0.0233545733387599	0.0233545733387599	TRUE
10	2N-C	init_mean_2N	46.3459118478185	46.3459118478185	TRUE
10	2N-C	init_sd_2N	2.43406581031514	2.43406581031514	TRUE
10	2N-C	init_mean_4N	83.8021620039257	83.8021620039257	TRUE
10	2N-C	init_sd_4N	3.61719096780439	3.61719096780439	TRUE
10	2N-C	tau_O2	0.1	0.1	TRUE
10	2N-C	alpha	1e-04	1e-04	TRUE
10	2N-C	gamma	1	1	TRUE
10	2N-C	p_mis_base	8.54181703118544e-06	8.54181703118544e-06	TRUE
10	2N-C	o2_S0_upper_bound	21	21	TRUE
10	2N-C	o2_min	0	0	TRUE
10	2N-C	o2_Nref	1e+06	1e+06	TRUE
10	2N-O1	lam_max	1.3485151936293	1.3485151936293	TRUE
10	2N-O1	p_misseg	0.0105535150770604	0.0105535150770604	TRUE
10	2N-O1	k_o_mis	0.000112898682522252	0.000112898682522252	TRUE
10	2N-O1	buffer_smax	1	1	TRUE
10	2N-O1	buffer_beta	1.59113027351929	1.59113027351929	TRUE
10	2N-O1	buffer_n_exp	3.15756611375965	3.15756611375965	TRUE
10	2N-O1	p_wgd	0.00033120539227592	0.00033120539227592	TRUE
10	2N-O1	o2_S0	3.5	3.5	TRUE
10	2N-O1	kappa_O	0.5	0.5	TRUE
10	2N-O1	eta_o2	1.2	1.2	TRUE
10	2N-O1	rho_2N	56000	56000	TRUE
10	2N-O1	beta_size	0.35	0.35	TRUE
10	2N-O1	alpha_o2	0.5	0.5	TRUE
10	2N-O1	gamma_growth	1.5	1.5	TRUE
10	2N-O1	mu_hp	0.005	0.005	TRUE
10	2N-O1	gamma_mu	1.2	1.2	TRUE
10	2N-O1	O2_crit	1.58620678578554	1.58620678578554	TRUE
10	2N-O1	n_O	1.86857483366499	1.86857483366499	TRUE
10	2N-O1	k_clear	1e-04	1e-04	TRUE
10	2N-O1	sigma_burden	0.2	0.2	TRUE
10	2N-O1	sigma_growth	0.203840002499712	0.203840002499712	TRUE
10	2N-O1	sigma_kary	0.0233545733387599	0.0233545733387599	TRUE
10	2N-O1	init_mean_2N	46.3459118478185	46.3459118478185	TRUE
10	2N-O1	init_sd_2N	2.43406581031514	2.43406581031514	TRUE
10	2N-O1	init_mean_4N	83.8021620039257	83.8021620039257	TRUE
10	2N-O1	init_sd_4N	3.61719096780439	3.61719096780439	TRUE
10	2N-O1	tau_O2	0.1	0.1	TRUE
10	2N-O1	alpha	1e-04	1e-04	TRUE
10	2N-O1	gamma	1	1	TRUE
10	2N-O1	p_mis_base	8.54181703118544e-06	8.54181703118544e-06	TRUE
10	2N-O1	o2_S0_upper_bound	21	21	TRUE
10	2N-O1	o2_min	0	0	TRUE
10	2N-O1	o2_Nref	1e+06	1e+06	TRUE
10	2N-O2	lam_max	1.3485151936293	1.3485151936293	TRUE
10	2N-O2	p_misseg	0.0105535150770604	0.0105535150770604	TRUE
10	2N-O2	k_o_mis	0.000112898682522252	0.000112898682522252	TRUE
10	2N-O2	buffer_smax	1	1	TRUE
10	2N-O2	buffer_beta	1.59113027351929	1.59113027351929	TRUE
10	2N-O2	buffer_n_exp	3.15756611375965	3.15756611375965	TRUE
10	2N-O2	p_wgd	0.00033120539227592	0.00033120539227592	TRUE
10	2N-O2	o2_S0	3.5	3.5	TRUE
10	2N-O2	kappa_O	0.5	0.5	TRUE
10	2N-O2	eta_o2	1.2	1.2	TRUE
10	2N-O2	rho_2N	56000	56000	TRUE
10	2N-O2	beta_size	0.35	0.35	TRUE
10	2N-O2	alpha_o2	0.5	0.5	TRUE
10	2N-O2	gamma_growth	1.5	1.5	TRUE
10	2N-O2	mu_hp	0.005	0.005	TRUE
10	2N-O2	gamma_mu	1.2	1.2	TRUE
10	2N-O2	O2_crit	1.58620678578554	1.58620678578554	TRUE
10	2N-O2	n_O	1.86857483366499	1.86857483366499	TRUE
10	2N-O2	k_clear	1e-04	1e-04	TRUE
10	2N-O2	sigma_burden	0.2	0.2	TRUE
10	2N-O2	sigma_growth	0.203840002499712	0.203840002499712	TRUE
10	2N-O2	sigma_kary	0.0233545733387599	0.0233545733387599	TRUE
10	2N-O2	init_mean_2N	46.3459118478185	46.3459118478185	TRUE
10	2N-O2	init_sd_2N	2.43406581031514	2.43406581031514	TRUE
10	2N-O2	init_mean_4N	83.8021620039257	83.8021620039257	TRUE
10	2N-O2	init_sd_4N	3.61719096780439	3.61719096780439	TRUE
10	2N-O2	tau_O2	0.1	0.1	TRUE
10	2N-O2	alpha	1e-04	1e-04	TRUE
10	2N-O2	gamma	1	1	TRUE
10	2N-O2	p_mis_base	8.54181703118544e-06	8.54181703118544e-06	TRUE
10	2N-O2	o2_S0_upper_bound	21	21	TRUE
10	2N-O2	o2_min	0	0	TRUE
10	2N-O2	o2_Nref	1e+06	1e+06	TRUE
10	4N-C	lam_max	1.3485151936293	1.3485151936293	TRUE
10	4N-C	p_misseg	0.0105535150770604	0.0105535150770604	TRUE
10	4N-C	k_o_mis	0.000112898682522252	0.000112898682522252	TRUE
10	4N-C	buffer_smax	1	1	TRUE
10	4N-C	buffer_beta	1.59113027351929	1.59113027351929	TRUE
10	4N-C	buffer_n_exp	3.15756611375965	3.15756611375965	TRUE
10	4N-C	p_wgd	0.00033120539227592	0.00033120539227592	TRUE
10	4N-C	o2_S0	3.5	3.5	TRUE
10	4N-C	kappa_O	0.5	0.5	TRUE
10	4N-C	eta_o2	1.2	1.2	TRUE
10	4N-C	rho_2N	56000	56000	TRUE
10	4N-C	beta_size	0.35	0.35	TRUE
10	4N-C	alpha_o2	0.5	0.5	TRUE
10	4N-C	gamma_growth	1.5	1.5	TRUE
10	4N-C	mu_hp	0.005	0.005	TRUE
10	4N-C	gamma_mu	1.2	1.2	TRUE
10	4N-C	O2_crit	1.58620678578554	1.58620678578554	TRUE
10	4N-C	n_O	1.86857483366499	1.86857483366499	TRUE
10	4N-C	k_clear	1e-04	1e-04	TRUE
10	4N-C	sigma_burden	0.2	0.2	TRUE
10	4N-C	sigma_growth	0.203840002499712	0.203840002499712	TRUE
10	4N-C	sigma_kary	0.0233545733387599	0.0233545733387599	TRUE
10	4N-C	init_mean_2N	46.3459118478185	46.3459118478185	TRUE
10	4N-C	init_sd_2N	2.43406581031514	2.43406581031514	TRUE
10	4N-C	init_mean_4N	83.8021620039257	83.8021620039257	TRUE
10	4N-C	init_sd_4N	3.61719096780439	3.61719096780439	TRUE
10	4N-C	tau_O2	0.1	0.1	TRUE
10	4N-C	alpha	1e-04	1e-04	TRUE
10	4N-C	gamma	1	1	TRUE
10	4N-C	p_mis_base	8.54181703118544e-06	8.54181703118544e-06	TRUE
10	4N-C	o2_S0_upper_bound	21	21	TRUE
10	4N-C	o2_min	0	0	TRUE
10	4N-C	o2_Nref	1e+06	1e+06	TRUE
10	4N-O1	lam_max	1.3485151936293	1.3485151936293	TRUE
10	4N-O1	p_misseg	0.0105535150770604	0.0105535150770604	TRUE
10	4N-O1	k_o_mis	0.000112898682522252	0.000112898682522252	TRUE
10	4N-O1	buffer_smax	1	1	TRUE
10	4N-O1	buffer_beta	1.59113027351929	1.59113027351929	TRUE
10	4N-O1	buffer_n_exp	3.15756611375965	3.15756611375965	TRUE
10	4N-O1	p_wgd	0.00033120539227592	0.00033120539227592	TRUE
10	4N-O1	o2_S0	3.5	3.5	TRUE
10	4N-O1	kappa_O	0.5	0.5	TRUE
10	4N-O1	eta_o2	1.2	1.2	TRUE
10	4N-O1	rho_2N	56000	56000	TRUE
10	4N-O1	beta_size	0.35	0.35	TRUE
10	4N-O1	alpha_o2	0.5	0.5	TRUE
10	4N-O1	gamma_growth	1.5	1.5	TRUE
10	4N-O1	mu_hp	0.005	0.005	TRUE
10	4N-O1	gamma_mu	1.2	1.2	TRUE
10	4N-O1	O2_crit	1.58620678578554	1.58620678578554	TRUE
10	4N-O1	n_O	1.86857483366499	1.86857483366499	TRUE
10	4N-O1	k_clear	1e-04	1e-04	TRUE
10	4N-O1	sigma_burden	0.2	0.2	TRUE
10	4N-O1	sigma_growth	0.203840002499712	0.203840002499712	TRUE
10	4N-O1	sigma_kary	0.0233545733387599	0.0233545733387599	TRUE
10	4N-O1	init_mean_2N	46.3459118478185	46.3459118478185	TRUE
10	4N-O1	init_sd_2N	2.43406581031514	2.43406581031514	TRUE
10	4N-O1	init_mean_4N	83.8021620039257	83.8021620039257	TRUE
10	4N-O1	init_sd_4N	3.61719096780439	3.61719096780439	TRUE
10	4N-O1	tau_O2	0.1	0.1	TRUE
10	4N-O1	alpha	1e-04	1e-04	TRUE
10	4N-O1	gamma	1	1	TRUE
10	4N-O1	p_mis_base	8.54181703118544e-06	8.54181703118544e-06	TRUE
10	4N-O1	o2_S0_upper_bound	21	21	TRUE
10	4N-O1	o2_min	0	0	TRUE
10	4N-O1	o2_Nref	1e+06	1e+06	TRUE
10	4N-O2	lam_max	1.3485151936293	1.3485151936293	TRUE
10	4N-O2	p_misseg	0.0105535150770604	0.0105535150770604	TRUE
10	4N-O2	k_o_mis	0.000112898682522252	0.000112898682522252	TRUE
10	4N-O2	buffer_smax	1	1	TRUE
10	4N-O2	buffer_beta	1.59113027351929	1.59113027351929	TRUE
10	4N-O2	buffer_n_exp	3.15756611375965	3.15756611375965	TRUE
10	4N-O2	p_wgd	0.00033120539227592	0.00033120539227592	TRUE
10	4N-O2	o2_S0	3.5	3.5	TRUE
10	4N-O2	kappa_O	0.5	0.5	TRUE
10	4N-O2	eta_o2	1.2	1.2	TRUE
10	4N-O2	rho_2N	56000	56000	TRUE
10	4N-O2	beta_size	0.35	0.35	TRUE
10	4N-O2	alpha_o2	0.5	0.5	TRUE
10	4N-O2	gamma_growth	1.5	1.5	TRUE
10	4N-O2	mu_hp	0.005	0.005	TRUE
10	4N-O2	gamma_mu	1.2	1.2	TRUE
10	4N-O2	O2_crit	1.58620678578554	1.58620678578554	TRUE
10	4N-O2	n_O	1.86857483366499	1.86857483366499	TRUE
10	4N-O2	k_clear	1e-04	1e-04	TRUE
10	4N-O2	sigma_burden	0.2	0.2	TRUE
10	4N-O2	sigma_growth	0.203840002499712	0.203840002499712	TRUE
10	4N-O2	sigma_kary	0.0233545733387599	0.0233545733387599	TRUE
10	4N-O2	init_mean_2N	46.3459118478185	46.3459118478185	TRUE
10	4N-O2	init_sd_2N	2.43406581031514	2.43406581031514	TRUE
10	4N-O2	init_mean_4N	83.8021620039257	83.8021620039257	TRUE
10	4N-O2	init_sd_4N	3.61719096780439	3.61719096780439	TRUE
10	4N-O2	tau_O2	0.1	0.1	TRUE
10	4N-O2	alpha	1e-04	1e-04	TRUE
10	4N-O2	gamma	1	1	TRUE
10	4N-O2	p_mis_base	8.54181703118544e-06	8.54181703118544e-06	TRUE
10	4N-O2	o2_S0_upper_bound	21	21	TRUE
10	4N-O2	o2_min	0	0	TRUE
10	4N-O2	o2_Nref	1e+06	1e+06	TRUE
