segment_id	cohort	lineage_id	lineage_group	lineage_label	scenario_id	lineage_terminal_key	passage_index	lineage_passage_index	oxygen_pct	passage_id	sample_name	n_grid	mean_loglik	total_loglik	sigma_flow_ploidy
2N-C-A1	2N	C	control	C	2N-C	2N-C-A12	1	1	20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	200	-1.29806709594597	-1.29806709594597	0.0804020100502587
2N-C-A12	2N	C	control	C	2N-C	2N-C-A12	12	12	20.5	SUM-159_NLS_2N_C_A12_seed	SUM-159_NLS_2N_C_A12	200	-1.21559008494995	-1.21559008494995	0.0804020100502587
2N-O1-A6	2N	O1	deprived	O1	2N-O1	2N-O1-A23	6	6	0.1	SUM-159_NLS_2N_O1_A6_seed	SUM-159_NLS_2N_O1_A6	200	-1.06719577923778	-1.06719577923778	0.0804020100502587
2N-O1-A12	2N	O1	deprived	O1	2N-O1	2N-O1-A23	12	12	0	SUM-159_NLS_2N_O1_A12_seed	SUM-159_NLS_2N_O1_A12	200	-2.42680554527323	-2.42680554527323	0.0804020100502587
2N-O1-A18	2N	O1	deprived	O1	2N-O1	2N-O1-A23	18	18	0	SUM-159_NLS_2N_O1_A18_seed	SUM-159_NLS_2N_O1_A18	200	-7.39056469895459	-7.39056469895459	0.0804020100502587
2N-O1-A23	2N	O1	deprived	O1	2N-O1	2N-O1-A23	23	23	0	SUM-159_NLS_2N_O1_A23_seed	SUM-159_NLS_2N_O1_A23	200	-10.632401472584	-10.632401472584	0.0804020100502587
2N-O2-A6	2N	O2	deprived	O2	2N-O2	2N-O2-A23	6	6	0.1	SUM-159_NLS_2N_O2_A6_seed	SUM-159_NLS_2N_O2_A6	200	-1.02263069424069	-1.02263069424069	0.0804020100502587
2N-O2-A12	2N	O2	deprived	O2	2N-O2	2N-O2-A23	12	12	0	SUM-159_NLS_2N_O2_A12_seed	SUM-159_NLS_2N_O2_A12	200	-2.2153911168052	-2.2153911168052	0.0804020100502587
2N-O2-A18	2N	O2	deprived	O2	2N-O2	2N-O2-A23	18	18	0	SUM-159_NLS_2N_O2_A18_seed	SUM-159_NLS_2N_O2_A18	200	-3.61638006645594	-3.61638006645594	0.0804020100502587
2N-O2-A23	2N	O2	deprived	O2	2N-O2	2N-O2-A23	23	23	0	SUM-159_NLS_2N_O2_A23_seed	SUM-159_NLS_2N_O2_A23	200	-5.70457941939712	-5.70457941939712	0.0804020100502587
4N-C-A1	4N	C	control	C	4N-C	4N-C-A12	1	1	20.5	SUM-159_NLS_4N_C_A1_seed	SUM-159_NLS_4N_C_A1_	200	-0.670740235925359	-0.670740235925359	0.0804020100502587
4N-C-A12	4N	C	control	C	4N-C	4N-C-A12	12	12	20.5	SUM-159_NLS_4N_C_A12_seed	SUM-159_NLS_4N_C_A12	200	-0.577241856560709	-0.577241856560709	0.0804020100502587
4N-O1-A6	4N	O1	deprived	O1	4N-O1	4N-O1-A22	6	6	0.1	SUM-159_NLS_4N_O1_A6_seed	SUM-159_NLS_4N_O1_A6	200	-0.360715480856664	-0.360715480856664	0.0804020100502587
4N-O1-A12	4N	O1	deprived	O1	4N-O1	4N-O1-A22	12	12	0	SUM-159_NLS_4N_O1_A12_seed	SUM-159_NLS_4N_O1_A12	200	-0.232801665841212	-0.232801665841212	0.0804020100502587
4N-O1-A19	4N	O1	deprived	O1	4N-O1	4N-O1-A22	19	19	0	SUM-159_NLS_4N_O1_A19_seed	SUM-159_NLS_4N_O1_A19	200	-2.073709247921	-2.073709247921	0.0804020100502587
4N-O1-A22	4N	O1	deprived	O1	4N-O1	4N-O1-A22	22	22	0	SUM-159_NLS_4N_O1_A22_seed	SUM-159_NLS_4N_O1_A22	200	-0.332078949610384	-0.332078949610384	0.0804020100502587
4N-O2-A6	4N	O2	deprived	O2	4N-O2	4N-O2-A22	6	6	0.1	SUM-159_NLS_4N_O2_A6_seed	SUM-159_NLS_4N_O2_A6	200	-0.318209115307538	-0.318209115307538	0.0804020100502587
4N-O2-A12	4N	O2	deprived	O2	4N-O2	4N-O2-A22	12	12	0	SUM-159_NLS_4N_O2_A12_seed	SUM-159_NLS_4N_O2_A12	200	-1.02188353814771	-1.02188353814771	0.0804020100502587
4N-O2-A19	4N	O2	deprived	O2	4N-O2	4N-O2-A22	19	19	0	SUM-159_NLS_4N_O2_A19_seed	SUM-159_NLS_4N_O2_A19	200	-1.76367854445185	-1.76367854445185	0.0804020100502587
4N-O2-A22	4N	O2	deprived	O2	4N-O2	4N-O2-A22	22	22	0	SUM-159_NLS_4N_O2_A22_seed	SUM-159_NLS_4N_O2_A22	200	-0.403143903436185	-0.403143903436185	0.0804020100502587
