seed	cohort	lineage_id	scenario_id	passage_id	passage_index	passage_duration	endpoint_day	selected_day	closest_day_diagnostic	predicted_initial_cells	predicted_final_cells	observed_initial_cells	observed_final_cells	predicted_growth	observed_growth	passage_recorded	available_cells	required_cells	supply_ratio	reseed_mode	boundary_scale	cell_number_before	cell_number_after	cumulative_time
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	1	3	3	3	2	614919	14526974.4582546	614919	7782898	1.05409065194344	0.846064496523974	TRUE	14526974.4582546	401065	36.2209977391559	downsample_to_observed_inoculum	0.0276082952546327	14526974.4582546	401065	3
10	2N	C	2N-C	SUM-159_NLS_2N_C_A2_seed	2	2	2	2	2	401065	3303586.3786027	401065	4009244	1.05432021489811	1.15111723245741	TRUE	3303586.3786027	749542	4.40747333518695	downsample_to_observed_inoculum	0.226887362429745	3303586.3786027	749541.999999998	5
10	2N	C	2N-C	SUM-159_NLS_2N_C_A3_seed	3	1	1	1	1	749541.999999998	2151519.29516326	749542	6146386	1.05446716714521	2.10415719246389	TRUE	2151519.29516326	398961	5.39280605162724	downsample_to_observed_inoculum	0.185432220336991	2151519.29516326	398961	6
10	2N	C	2N-C	SUM-159_NLS_2N_C_A4_seed	4	3	3	3	2	398961	9441772.35177701	398961	5884151	1.05467844096471	0.897051358818264	TRUE	9441772.35177701	807037	11.699305424382	downsample_to_observed_inoculum	0.085475159740333	9441772.35177701	807037	9
10	2N	C	2N-C	SUM-159_NLS_2N_C_A5_seed	5	2	2	2	2	807037	6656218.76228477	807037	7320131	1.05496866642451	1.10250699346418	TRUE	6656218.76228477	352684	18.8730386473012	downsample_to_observed_inoculum	0.0529856383324367	6656218.76228477	352684	11
10	2N	C	2N-C	SUM-159_NLS_2N_C_A6_seed	6	3	3	3	2	352684	8362074.67545077	352684	4501460	1.05529645677655	0.848861531900473	TRUE	8362074.67545077	692047	12.0831022682719	downsample_to_observed_inoculum	0.0827602032820514	8362074.67545077	692047	14
10	2N	C	2N-C	SUM-159_NLS_2N_C_A7_seed	7	2	2	2	2	692047	5715742.72529056	692047	6053832	1.05566282803955	1.08439643328122	TRUE	5715742.72529056	1127468	5.06953875878567	downsample_to_observed_inoculum	0.197256604117479	5715742.72529056	1127468	16
10	2N	C	2N-C	SUM-159_NLS_2N_C_A8_seed	8	3	3	3	2	1127468	26794627.1376963	1127468	10859596	1.0560756589547	0.755024900819988	TRUE	26794627.1376963	839992	31.8986694369664	downsample_to_observed_inoculum	0.0313492699742871	26794627.1376963	839991.999999999	19
10	2N	C	2N-C	SUM-159_NLS_2N_C_A9_seed	9	2	2	2	2	839991.999999999	6950018.95205281	839992	7082437	1.05655364874336	1.06599048425925	TRUE	6950018.95205281	797221	8.71780717273229	downsample_to_observed_inoculum	0.114707744755793	6950018.95205281	797221	21
10	2N	C	2N-C	SUM-159_NLS_2N_C_A10_seed	10	3	3	3	2	797221	19004343.4493228	797221	10161940	1.05709696814318	0.848424239199109	TRUE	19004343.4493228	372317	51.0434480545417	downsample_to_observed_inoculum	0.0195911529905163	19004343.4493228	372317	24
10	2N	C	2N-C	SUM-159_NLS_2N_C_A11_seed	11	2	2	2	2	372317	3087734.02552597	372317	4017658	1.05772356693414	1.18935439142098	TRUE	3087734.02552597	441031	7.00117231107557	downsample_to_observed_inoculum	0.142833222147388	3087734.02552597	441031	26
10	2N	C	2N-C	SUM-159_NLS_2N_C_A12_seed	12	3	3	3	2	441031	10556048.2932718	441031	6546749	1.05844636827044	0.899202900591717	TRUE	10556048.2932718	NA	NA	terminal_no_reseed	1	10556048.2932718	10556048.2932718	29
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A1_seed	1	3	3	3	3	763799	3014445.79865098	763799	6742373	0.457622204002843	0.725954184515258	TRUE	3014445.79865098	404570	7.4509869704896	downsample_to_observed_inoculum	0.134210407823904	3014445.79865098	404570	3
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A2_seed	2	5	5	5	5	404570	2849218.3599682	404570	6311159	0.390395040261548	0.559363522840898	TRUE	2849218.3599682	396157	7.19214442750777	downsample_to_observed_inoculum	0.139040589365156	2849218.3599682	396157	8
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A3_seed	3	5	5	5	5	396157	2390100.09546926	396157	7094357	0.35945598553369	0.564954728131389	TRUE	2390100.09546926	546906	4.370221016901	downsample_to_observed_inoculum	0.228821379086478	2390100.09546926	546906	13
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A4_seed	4	5	5	5	5	546906	3163602.44431282	546906	7027045	0.351037946012374	0.496979906893512	TRUE	3163602.44431282	733415	4.31352296355108	downsample_to_observed_inoculum	0.23182906604414	3163602.44431282	733415	18
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A5_seed	5	5	5	5	5	733415	4186262.42831638	733415	11809671	0.348370376966438	0.541080883402784	TRUE	4186262.42831638	480997	8.70330257427048	downsample_to_observed_inoculum	0.11489891239175	4186262.42831638	480997	23
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A6_seed	6	5	5	5	5	480997	2723936.00253755	480997	8016385	0.346794427996879	0.550021801500845	TRUE	2723936.00253755	365305	7.45660749931577	downsample_to_observed_inoculum	0.134109244732509	2723936.00253755	365305	28
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A7_seed	7	5	5	5	5	365305	2065908.51928787	365305	6872790	0.346518549693426	0.563777709266853	TRUE	2065908.51928787	273453	7.55489433024275	downsample_to_observed_inoculum	0.132364525073095	2065908.51928787	273453	33
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A8_seed	8	4	4	4	4	273453	1095753.8991978	273453	4268740	0.347017034276716	0.664335909437413	TRUE	1095753.8991978	433335	2.5286531187137	downsample_to_observed_inoculum	0.395467449686689	1095753.8991978	433335	37
10	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A9_seed	9	7	7	7	7	433335	4941098.03061324	433335	8047333	0.347690251136917	0.435214147229313	TRUE	4941098.03061324	745247	6.63014816646459	downsample_to_observed_inoculum	0.150826191948171	4941098.03061324	745247	44
