segment_id	parent_segment_id	cohort	lineage_id	lineage_group	lineage_label	scenario_id	lineage_terminal_key	passage_index	lineage_passage_index	oxygen_pct	duration_days	passage_duration	endpoint_day	initial_cells	final_cells	selected_day	closest_day_diagnostic	closest_live_cells_diagnostic	target_live_cells	passage_id	predicted_initial_cells	predicted_final_cells	observed_initial_cells	observed_final_cells	predicted_live_cells	passage_recorded	reseed_mode	available_cells	required_cells	supply_ratio	boundary_scale	cell_number_before	cell_number_after	predicted_growth	predicted_growth_rate	predicted_mean_kary_N	observed_growth	observed_mean_kary_N	observed_n_kary	observed_n_flow	cumulative_time	loglik
2N-C-A1	NA	2N	C	control	C	2N-C	2N-C-A12	1	1	20.5	3	3	3	614919	7782898	3	3	4438059.74755425	7782898	SUM-159_NLS_2N_C_A1_seed	614919	4438059.74755425	614919	7782898	4438059.74755425	TRUE	downsample_to_observed_inoculum	4438059.74755425	401065	11.0656869773085	0.0903694458419631	4438059.74755425	401065	0.658827338102431	0.658827338102431	46.0750619775111	0.846064496523974	NA	0	200	3	-0.208681256437664
2N-C-A2	2N-C-A1	2N	C	control	C	2N-C	2N-C-A12	2	2	20.5	2	2	2	401065	4009244	2	2	1498208.56738004	4009244	SUM-159_NLS_2N_C_A2_seed	401065	1498208.56738004	401065	4009244	1498208.56738004	TRUE	downsample_to_observed_inoculum	1498208.56738004	749542	1.99883204327448	0.500292159796379	1498208.56738004	749542	0.65895093800627	0.65895093800627	46.1553569272107	1.15111723245741	NA	0	0	5	-0.718128459740576
2N-C-A3	2N-C-A2	2N	C	control	C	2N-C	2N-C-A12	3	3	20.5	1	1	1	749542	6146386	1	1	1448804.90026861	6146386	SUM-159_NLS_2N_C_A3_seed	749542	1448804.90026861	749542	6146386	1448804.90026861	TRUE	downsample_to_observed_inoculum	1448804.90026861	398961	3.63144492887428	0.2753724810884	1448804.90026861	398961	0.659031935527361	0.659031935527361	46.1987208120178	2.10415719246389	NA	0	0	6	-5.25798043744315
2N-C-A4	2N-C-A3	2N	C	control	C	2N-C	2N-C-A12	4	4	20.5	3	3	3	398961	5884151	3	3	2882222.54428411	5884151	SUM-159_NLS_2N_C_A4_seed	398961	2882222.54428411	398961	5884151	2882222.54428411	TRUE	downsample_to_observed_inoculum	2882222.54428411	807037	3.57136357352155	0.280005095928653	2882222.54428411	807037	0.659151108174455	0.659151108174455	46.3431151050275	0.897051358818264	NA	0	0	9	-0.261646811068932
2N-C-A5	2N-C-A4	2N	C	control	C	2N-C	2N-C-A12	5	5	20.5	2	2	2	807037	7320131	2	2	3016945.73749936	7320131	SUM-159_NLS_2N_C_A5_seed	807037	3016945.73749936	807037	7320131	3016945.73749936	TRUE	downsample_to_observed_inoculum	3016945.73749936	352684	8.55424611691872	0.116901008730879	3016945.73749936	352684	0.659315368686839	0.659315368686839	46.4526173230011	1.10250699346418	NA	0	0	11	-0.605480883314138
2N-C-A6	2N-C-A5	2N	C	control	C	2N-C	2N-C-A12	6	6	20.5	3	3	3	352684	4501460	3	3	2550596.42776306	4501460	SUM-159_NLS_2N_C_A6_seed	352684	2550596.42776306	352684	4501460	2550596.42776306	TRUE	downsample_to_observed_inoculum	2550596.42776306	692047	3.68558266673081	0.27132751871959	2550596.42776306	692047	0.659503344054468	0.659503344054468	46.6396718297158	0.848861531900473	NA	0	0	14	-0.21064549463322
2N-C-A7	2N-C-A6	2N	C	control	C	2N-C	2N-C-A12	7	7	20.5	2	2	2	692047	6053832	2	2	2589140.52083249	6053832	SUM-159_NLS_2N_C_A7_seed	692047	2589140.52083249	692047	6053832	2589140.52083249	TRUE	downsample_to_observed_inoculum	2589140.52083249	1127468	2.29642040468775	0.435460335554705	2589140.52083249	1127468	0.659713690997965	0.659713690997965	46.7815023754171	1.08439643328122	NA	0	0	16	-0.565979748793531
2N-C-A8	2N-C-A7	2N	C	control	C	2N-C	2N-C-A12	8	8	20.5	3	3	3	1127468	10859596	3	3	8164800.678423	10859596	SUM-159_NLS_2N_C_A8_seed	1127468	8164800.678423	1127468	10859596	8164800.678423	TRUE	downsample_to_observed_inoculum	8164800.678423	839992	9.72009337996433	0.102879670072025	8164800.678423	839991.999999999	0.659952634600515	0.659952634600515	47.0236339431432	0.755024900819988	NA	0	0	19	-0.144698432247343
2N-C-A9	2N-C-A8	2N	C	control	C	2N-C	2N-C-A12	9	9	20.5	2	2	2	839992	7082437	2	2	3145850.05380461	7082437	SUM-159_NLS_2N_C_A9_seed	839991.999999999	3145850.05380461	839992	7082437	3145850.05380461	TRUE	downsample_to_observed_inoculum	3145850.05380461	797221	3.9460200544198	0.253419898076781	3145850.05380461	797221	0.660223526004629	0.660223526004629	47.207044892586	1.06599048425925	NA	0	0	21	-0.527351040223911
2N-C-A10	2N-C-A9	2N	C	control	C	2N-C	2N-C-A12	10	10	20.5	3	3	3	797221	10161940	3	3	5783268.24157838	10161940	SUM-159_NLS_2N_C_A10_seed	797221	5783268.24157838	797221	10161940	5783268.24157838	TRUE	downsample_to_observed_inoculum	5783268.24157838	372317	15.5331833936629	0.0643783038322958	5783268.24157838	372317	0.660530770465227	0.660530770465227	47.519697817057	0.848424239199109	NA	0	0	24	-0.209286686888896
