modality	aggregation_level	cohort	lineage_id	scenario_id	n_units	mean_loglik
growth	lineage	2N	C	2N-C	12	-0.815068996781058
growth	lineage	2N	O1	2N-O1	23	-0.567816675420043
growth	lineage	2N	O2	2N-O2	23	-0.562009448434612
growth	lineage	4N	C	4N-C	12	-0.636441694489053
growth	lineage	4N	O1	4N-O1	22	-0.461193237502249
growth	lineage	4N	O2	4N-O2	22	-0.452750363328035
growth	cohort	2N	NA	NA	3	-0.648298373545238
growth	cohort	4N	NA	NA	3	-0.516795098439779
growth	global	NA	NA	NA	2	-0.582546735992508
karyotype	lineage	2N	C	2N-C	1	-2.30667970175906
karyotype	lineage	2N	INITIAL	2N-INITIAL	1	-2.20717869125513
karyotype	lineage	2N	O1	2N-O1	2	-5.9465002259201
karyotype	lineage	2N	O2	2N-O2	2	-3.71977058147509
karyotype	lineage	4N	C	4N-C	1	-2.95143919571546
karyotype	lineage	4N	INITIAL	4N-INITIAL	1	-3.14107729154501
karyotype	lineage	4N	O1	4N-O1	2	-3.09558311264698
karyotype	lineage	4N	O2	4N-O2	2	-3.02777469625451
karyotype	cohort	2N	NA	NA	4	-3.54503230010234
karyotype	cohort	4N	NA	NA	4	-3.05396857404049
karyotype	global	NA	NA	NA	2	-3.29950043707142
flow	lineage	2N	C	2N-C	2	-1.25682859044796
flow	lineage	2N	O1	2N-O1	4	-5.3792418740124
flow	lineage	2N	O2	2N-O2	4	-3.13974532422474
flow	lineage	4N	C	4N-C	2	-0.623991046243034
flow	lineage	4N	O1	4N-O1	4	-0.749826336057314
flow	lineage	4N	O2	4N-O2	4	-0.876728775335823
flow	cohort	2N	NA	NA	3	-3.25860526289503
flow	cohort	4N	NA	NA	3	-0.75018205254539
flow	global	NA	NA	NA	2	-2.00439365772021
