harvest	cohort	dose	day	obs_burden	pred_min	pred_q025	pred_q25	pred_median	pred_q75	pred_q975	pred_max	observed_in_minmax_envelope	observed_in_q025_q975_envelope	median_log_residual
SUM159-2N-0-O_harvest	2N	0	25	40	171.23349917076	171.23349917076	182.320784419354	212.43433530857	230.685484521396	235.743962619373	235.743962619373	FALSE	FALSE	-1.6697534761844
SUM159-2N-0-O_harvest	2N	0	28	125.44	248.446421945764	248.446421945764	263.005439270116	279.486274645258	303.043472132668	306.602359041239	306.602359041239	FALSE	FALSE	-0.801125627972458
SUM159-2N-0-O_harvest	2N	0	32	274.4435	386.902873844098	386.902873844098	405.51976809689	418.966925624134	428.599400121447	432.33708142711	432.33708142711	FALSE	FALSE	-0.423046569364242
SUM159-2N-0-O_harvest	2N	0	35	689.7	515.434626713592	515.434626713592	524.742299005962	544.206056108495	587.240603867656	611.033534843861	611.033534843861	FALSE	FALSE	0.236928765688987
SUM159-2N-0-O_harvest	2N	0	39	778.532	722.635432453396	722.635432453396	731.338699446323	746.059575551633	878.133542256637	900.577414540682	900.577414540682	TRUE	TRUE	0.0426046381138763
SUM159-2N-0-O_harvest	2N	0	42	1056.296	897.429446871386	897.429446871386	905.088222605394	949.975396312677	1101.17399548409	1131.24898318181	1131.24898318181	TRUE	TRUE	0.106087642377979
SUM159-2N-0-O_harvest	2N	0	46	1245.456	1147.34956195584	1147.34956195584	1172.69127008968	1264.15306893397	1396.97050521411	1442.88010075592	1442.88010075592	TRUE	TRUE	-0.014900659314721
SUM159-2N-0-O_harvest	2N	0	49	1916.6	1355.28195437815	1355.28195437815	1378.44048197055	1507.25971805883	1630.79650441102	1677.48553223657	1677.48553223657	FALSE	FALSE	0.240259537018169
SUM159-2N-0-O_harvest	2N	0	53	1767.8715	1658.21981379324	1658.21981379324	1662.55428941909	1808.30194416305	1982.96085718464	1990.93762267255	1990.93762267255	TRUE	TRUE	-0.0226119719626592
SUM159-2N-0-O_harvest	2N	0	56	1729.647	1880.70090377329	1880.70090377329	1902.28250887365	2040.65375470378	2226.68530150613	2227.02518889993	2227.02518889993	FALSE	FALSE	-0.165352883062627
SUM159-2N-0-R_harvest	2N	0	25	647.149	171.23349917076	171.23349917076	182.320784419354	212.43433530857	230.685484521396	235.743962619373	235.743962619373	FALSE	FALSE	1.11394363135211
SUM159-2N-0-R_harvest	2N	0	28	306.656	248.446421945764	248.446421945764	263.005439270116	279.486274645258	303.043472132668	306.602359041239	306.602359041239	FALSE	FALSE	0.0927734135867961
SUM159-2N-0-R_harvest	2N	0	32	433.944	386.902873844098	386.902873844098	405.51976809689	418.966925624134	428.599400121447	432.33708142711	432.33708142711	FALSE	FALSE	0.0351235131683847
