solution	objective	objective_delta	harvest	cohort	dose	n_observed_cells	observed_mean_N	predicted_mean_N	mean_N_residual_obs_minus_pred	total_variation_distance	wasserstein1_chromosomes	jensen_shannon_distance
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	1.1259498752024	SUM159-2N-0-O_harvest	2N	0	604	45.9271523178808	41.9065400234625	4.02061229441831	0.729923534269508	4.18375228531298	0.617066171297221
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	0.1181782625628	SUM159-2N-0-O_harvest	2N	0	604	45.9271523178808	46.1135018020786	-0.18634948419782	0.634775199046598	3.46935673671492	0.554331939753679
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0.939028169890502	SUM159-2N-0-O_harvest	2N	0	604	45.9271523178808	41.9580161445943	3.96913617328648	0.725530015267119	4.12671176069755	0.614664310444152
tsne_vi_seed311_C03Sc02_vt_seed10	19.4144872936097	0.5622013802389	SUM159-2N-0-O_harvest	2N	0	604	45.9271523178808	49.708974624341	-3.78182230646023	0.734089039094401	5.83469803860266	0.614871005513653
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	0.0377736253945997	SUM159-2N-0-O_harvest	2N	0	604	45.9271523178808	46.0435825682332	-0.116430250352451	0.667605839097801	3.9072502983176	0.573488955985632
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0	SUM159-2N-0-O_harvest	2N	0	604	45.9271523178808	46.09952350436	-0.172371186479232	0.659806009229008	3.79206251761661	0.568914235747979
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	1.1259498752024	SUM159-2N-0-R_harvest	2N	0	303	43.0693069306931	41.9065400234625	1.16276690723058	0.678982160257904	2.47297108239865	0.580322178773543
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	0.1181782625628	SUM159-2N-0-R_harvest	2N	0	303	43.0693069306931	46.1135018020786	-3.04419487138554	0.74745203543372	4.32764903983713	0.627533057733467
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0.939028169890502	SUM159-2N-0-R_harvest	2N	0	303	43.0693069306931	41.9580161445943	1.11129078609876	0.6750205973223	2.42830850497322	0.577132678635011
tsne_vi_seed311_C03Sc02_vt_seed10	19.4144872936097	0.5622013802389	SUM159-2N-0-R_harvest	2N	0	303	43.0693069306931	49.708974624341	-6.63966769364796	0.852056153112095	7.66761914595956	0.695384415816252
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	0.0377736253945997	SUM159-2N-0-R_harvest	2N	0	303	43.0693069306931	46.0435825682332	-2.97427563754017	0.771804553017724	4.69851362724233	0.642366436138399
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0	SUM159-2N-0-R_harvest	2N	0	303	43.0693069306931	46.09952350436	-3.03021657366696	0.764163181851883	4.60090220082743	0.637683153401006
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	1.1259498752024	SUM159-2N-0-RL_harvest	2N	0	547	47.7349177330896	41.9065400234625	5.8283777096271	0.881332988656425	5.92643347514485	0.733099962252009
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	0.1181782625628	SUM159-2N-0-RL_harvest	2N	0	547	47.7349177330896	46.1135018020786	1.62141593101097	0.760122007473559	4.42594489340861	0.652865759169435
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0.939028169890502	SUM159-2N-0-RL_harvest	2N	0	547	47.7349177330896	41.9580161445943	5.77690158849527	0.880170820219158	5.87037380834318	0.732551857446319
