sample_name	segment_id	cohort	passage_index	oxygen_pct	passage_id	n_grid	density_rmse	density_integrated_absolute_error	density_correlation	mean_loglik
SUM-159_NLS_2N_C_A1_	20.5_20.5_20.5	2N	3	20.5	SUM-159_NLS_2N_C_A1_seed	200	0.516097231528214	1.31976118158105	0.358460379522535	-1.74498149328688
SUM-159_NLS_2N_C_A12	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	2N	26	20.5	SUM-159_NLS_2N_C_A12_seed	200	0.52442957455378	1.36290745174979	0.347090802219305	-1.22039465672153
SUM-159_NLS_2N_O1_A12	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	2N	27	0	SUM-159_NLS_2N_O1_A12_seed	200	0.19874700738544	0.67071242190287	0.841472200363318	-0.483970254814389
SUM-159_NLS_2N_O1_A18	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0	2N	33	0	SUM-159_NLS_2N_O1_A18_seed	200	0.265100347064502	0.962037497082686	0.64796822850999	-0.924836378786866
SUM-159_NLS_2N_O1_A23	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	2N	38	0	SUM-159_NLS_2N_O1_A23_seed	200	0.320319201555431	1.12417509393234	0.420129261461418	-1.1828851545155
SUM-159_NLS_2N_O1_A6	20.5_20.5_2_1_0.5_0.3_0.2_0.1	2N	14	0.1	SUM-159_NLS_2N_O1_A6_seed	200	0.437849092917383	1.19862844665625	0.468082275457025	-0.930165706161015
SUM-159_NLS_2N_O2_A12	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	2N	27	0	SUM-159_NLS_2N_O2_A12_seed	200	0.171216977622478	0.659273807331548	0.817249602207861	-0.863569372760391
SUM-159_NLS_2N_O2_A18	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0	2N	33	0	SUM-159_NLS_2N_O2_A18_seed	200	0.186407711129132	0.828286846563276	0.57312528328658	-1.44848143466404
SUM-159_NLS_2N_O2_A23	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	2N	38	0	SUM-159_NLS_2N_O2_A23_seed	200	0.182387144749896	0.833343310018505	0.665131897071477	-1.15252598557684
SUM-159_NLS_2N_O2_A6	20.5_20.5_2_1_0.5_0.3_0.2_0.1	2N	14	0.1	SUM-159_NLS_2N_O2_A6_seed	200	0.443396595711422	1.20471722513328	0.465842401320664	-0.891120708185554
SUM-159_NLS_4N_C_A1_	20.5_20.5_20.5	4N	3	20.5	SUM-159_NLS_4N_C_A1_seed	200	0.265538835733977	0.833648157381318	0.706885582453556	-0.773031014248525
SUM-159_NLS_4N_C_A12	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	4N	26	20.5	SUM-159_NLS_4N_C_A12_seed	200	0.303011019477751	0.993824334633332	0.612649458999404	-0.672983474623699
SUM-159_NLS_4N_O1_A12	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	4N	27	0	SUM-159_NLS_4N_O1_A12_seed	200	0.0954710617247793	0.314558319089805	0.96674521441972	-0.268990654715756
SUM-159_NLS_4N_O1_A19	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	4N	34	0	SUM-159_NLS_4N_O1_A19_seed	200	0.305904026175101	1.28856703181445	0.273262070966918	-2.1462253729418
SUM-159_NLS_4N_O1_A22	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	4N	37	0	SUM-159_NLS_4N_O1_A22_seed	200	0.191007646925224	0.634470092119237	0.862879453208722	-0.308976114651843
SUM-159_NLS_4N_O1_A6	20.5_20.5_2_1_0.5_0.3_0.2_0.1	4N	14	0.1	SUM-159_NLS_4N_O1_A6_seed	200	0.0932306684566879	0.308838051935804	0.959424682454868	-0.265333007082278
SUM-159_NLS_4N_O2_A12	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	4N	27	0	SUM-159_NLS_4N_O2_A12_seed	200	0.247714507483725	0.902710513760897	0.663569023016015	-0.825119853169923
SUM-159_NLS_4N_O2_A19	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	4N	34	0	SUM-159_NLS_4N_O2_A19_seed	200	0.299635074982363	1.22833860441984	0.334011910312992	-1.83882608188231
SUM-159_NLS_4N_O2_A22	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	4N	37	0	SUM-159_NLS_4N_O2_A22_seed	200	0.172779439904352	0.587219860001494	0.871652049887489	-0.36669288603531
SUM-159_NLS_4N_O2_A6	20.5_20.5_2_1_0.5_0.3_0.2_0.1	4N	14	0.1	SUM-159_NLS_4N_O2_A6_seed	200	0.129072631308599	0.416719390780766	0.928929308398078	-0.229081324418607
