segment_id	cohort	passage_index	oxygen_pct	passage_id	sample_name	n_grid	mean_loglik	total_loglik	sigma_flow_ploidy
20.5_20.5_20.5	2N	3	20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	200	-1.74498149328688	-1.74498149328688	0.0804020100502587
20.5_20.5_2_1_0.5_0.3_0.2_0.1	2N	14	0.1	SUM-159_NLS_2N_O1_A6_seed	SUM-159_NLS_2N_O1_A6	200	-0.930165706161015	-0.930165706161015	0.0804020100502587
20.5_20.5_2_1_0.5_0.3_0.2_0.1	2N	14	0.1	SUM-159_NLS_2N_O2_A6_seed	SUM-159_NLS_2N_O2_A6	200	-0.891120708185554	-0.891120708185554	0.0804020100502587
20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	2N	26	20.5	SUM-159_NLS_2N_C_A12_seed	SUM-159_NLS_2N_C_A12	200	-1.22039465672153	-1.22039465672153	0.0804020100502587
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	2N	27	0	SUM-159_NLS_2N_O1_A12_seed	SUM-159_NLS_2N_O1_A12	200	-0.483970254814389	-0.483970254814389	0.0804020100502587
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	2N	27	0	SUM-159_NLS_2N_O2_A12_seed	SUM-159_NLS_2N_O2_A12	200	-0.863569372760391	-0.863569372760391	0.0804020100502587
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0	2N	33	0	SUM-159_NLS_2N_O1_A18_seed	SUM-159_NLS_2N_O1_A18	200	-0.924836378786866	-0.924836378786866	0.0804020100502587
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0	2N	33	0	SUM-159_NLS_2N_O2_A18_seed	SUM-159_NLS_2N_O2_A18	200	-1.44848143466404	-1.44848143466404	0.0804020100502587
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	2N	38	0	SUM-159_NLS_2N_O1_A23_seed	SUM-159_NLS_2N_O1_A23	200	-1.1828851545155	-1.1828851545155	0.0804020100502587
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	2N	38	0	SUM-159_NLS_2N_O2_A23_seed	SUM-159_NLS_2N_O2_A23	200	-1.15252598557684	-1.15252598557684	0.0804020100502587
20.5_20.5_20.5	4N	3	20.5	SUM-159_NLS_4N_C_A1_seed	SUM-159_NLS_4N_C_A1_	200	-0.773031014248525	-0.773031014248525	0.0804020100502587
20.5_20.5_2_1_0.5_0.3_0.2_0.1	4N	14	0.1	SUM-159_NLS_4N_O1_A6_seed	SUM-159_NLS_4N_O1_A6	200	-0.265333007082278	-0.265333007082278	0.0804020100502587
20.5_20.5_2_1_0.5_0.3_0.2_0.1	4N	14	0.1	SUM-159_NLS_4N_O2_A6_seed	SUM-159_NLS_4N_O2_A6	200	-0.229081324418607	-0.229081324418607	0.0804020100502587
20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	4N	26	20.5	SUM-159_NLS_4N_C_A12_seed	SUM-159_NLS_4N_C_A12	200	-0.672983474623699	-0.672983474623699	0.0804020100502587
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	4N	27	0	SUM-159_NLS_4N_O1_A12_seed	SUM-159_NLS_4N_O1_A12	200	-0.268990654715756	-0.268990654715756	0.0804020100502587
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	4N	27	0	SUM-159_NLS_4N_O2_A12_seed	SUM-159_NLS_4N_O2_A12	200	-0.825119853169923	-0.825119853169923	0.0804020100502587
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	4N	34	0	SUM-159_NLS_4N_O1_A19_seed	SUM-159_NLS_4N_O1_A19	200	-2.1462253729418	-2.1462253729418	0.0804020100502587
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	4N	34	0	SUM-159_NLS_4N_O2_A19_seed	SUM-159_NLS_4N_O2_A19	200	-1.83882608188231	-1.83882608188231	0.0804020100502587
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	4N	37	0	SUM-159_NLS_4N_O1_A22_seed	SUM-159_NLS_4N_O1_A22	200	-0.308976114651843	-0.308976114651843	0.0804020100502587
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	4N	37	0	SUM-159_NLS_4N_O2_A22_seed	SUM-159_NLS_4N_O2_A22	200	-0.36669288603531	-0.36669288603531	0.0804020100502587
