segment_id	cohort	passage_index	oxygen_pct	passage_id	n_cells	mean_loglik	total_loglik
20.5	2N	1	20.5	SUM-159_NLS_2N_A5_seed	20	-2.14675658531348	-42.9351317062696
20.5_20.5_20.5	2N	3	20.5	SUM-159_NLS_2N_A6M_seed	20	-2.29258065552654	-45.8516131105307
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	2N	16	0	SUM-159_NLS_2N_O1_A7_seed	19	-2.66485980397159	-50.6323362754603
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	2N	16	0	SUM-159_NLS_2N_O2_A7_seed	15	-2.67894740927749	-40.1842111391624
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	2N	34	0	SUM-159_NLS_2N_O1_A19_seed	20	-4.18522462953216	-83.7044925906431
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	2N	34	0	SUM-159_NLS_2N_O2_A19_seed	20	-4.57972852488576	-91.5945704977152
20.5	4N	1	20.5	SUM-159_NLS_4N_A2_seed	20	-3.12324726292325	-62.4649452584651
20.5_20.5_20.5_20.5	4N	5	20.5	SUM-159_NLS_4N_A4M_seed	16	-2.94064027755982	-47.0502444409571
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	4N	16	0	SUM-159_NLS_4N_O1_A7_seed	12	-3.08814907840718	-37.0577889408862
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	4N	16	0	SUM-159_NLS_4N_O2_A7_seed	18	-3.07366074849606	-55.3258934729292
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	4N	32	0	SUM-159_NLS_4N_O1_A17_seed	20	-3.18279229317982	-63.6558458635963
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	4N	32	0	SUM-159_NLS_4N_O2_A17_seed	20	-3.19807362958861	-63.9614725917723
