parameter	seed10	seed132	seed157	ratio_seed132_to_seed10	log10_ratio_seed132_to_seed10	ratio_seed157_to_seed10	log10_ratio_seed157_to_seed10
lam_max	1.3485151936293	1.34496693050164	1.06563708634358	0.997368762959125	-0.00114423776887067	0.790229944295695	-0.102246517560181
p_misseg	0.0105535150770604	0.0104318498107959	0.0175009795012006	0.988471588340367	-0.00503580910633241	1.65830809672519	0.21966522119441
k_o_mis	0.000112898682522252	0.000121180033440692	0.000463052689399706	1.07335205985958	0.0307421940780953	4.10148886643066	0.612941536987979
buffer_smax	1	1	1	1	0	1	0
buffer_beta	1.59113027351929	1.60341948655073	1.31374325919019	1.00772357438983	0.00334141843793913	0.825666685534447	-0.0831952382095145
buffer_n_exp	3.15756611375965	3.1660999308989	3.27729766488479	1.00270265667663	0.00117216561305897	1.037918937185	0.0161634358746846
p_wgd	0.00033120539227592	0.000377794934551062	0.000845414442519078	1.14066661763867	0.0571587318186251	2.55253828058084	0.406972263950077
o2_S0	3.5	3.5	3.5	1	0	1	0
kappa_O	0.5	0.5	0.5	1	0	1	0
eta_o2	1.2	1.2	1.2	1	0	1	0
rho_2N	56000	56000	56000	1	0	1	0
beta_size	0.35	0.35	0.35	1	0	1	0
alpha_o2	0.5	0.5	1.87315433655558	1	0	3.74630867311116	0.573603557744525
gamma_growth	1.5	1.5	1.50135506939722	1	0	1.00090337959815	0.000392155668481571
mu_hp	0.005	0.005	0.00551334265844344	1	0	1.10266853168869	0.0424449807147349
gamma_mu	1.2	1.2	1.41639854280412	1	0	1.18033211900343	0.0720042252349642
O2_crit	1.58620678578554	1.6003510863848	0.00335009534721266	1.00891705969613	0.00385546554629569	0.00211201677942235	-2.67530263576815
n_O	1.86857483366499	1.85652272338118	0.687416449325246	0.993550105638439	-0.00281022613486693	0.367882750500797	-0.434290575142361
k_clear	1e-04	1e-04	1e-04	1	0	1	0
sigma_burden	0.2	0.2	0.2	1	0	1	0
sigma_growth	0.203840002499712	0.20343841604087	0.360664801423211	0.998029893770029	-0.000856450190653955	1.76935241856525	0.247814344042933
sigma_kary	0.0233545733387599	0.103728055113617	0.0843336528312012	4.44144509124759	0.647524297376966	3.6110123532524	0.557628974148282
init_mean_2N	46.3459118478185	46.4057410307934	45.8077305458448	1.00129092687121	0.000560280853659253	0.988387728701058	-0.00507265520692627
init_sd_2N	2.43406581031514	2.43166459958213	3	0.999013498023417	-0.000428643828588502	1.23250570600291	0.0907889385617139
init_mean_4N	83.8021620039257	83.6670738768734	84.5170413576147	0.998388011432856	-0.000700642605377798	1.00853055979219	0.00368906243776193
init_sd_4N	3.61719096780439	3.66761832144753	5.10032011996565	1.01394102608681	0.00601269583568305	1.41002235308066	0.149225997579234
tau_O2	0.1	0.1	0.1	1	0	1	0
alpha	1e-04	1e-04	1e-04	1	0	1	0
gamma	1	1	1	1	0	1	0
p_mis_base	8.54181703118544e-06	6.24279244492441e-05	0.000431700835864228	7.30850640107662	0.863828631670885	50.539695978985	1.70363262509782
o2_S0_upper_bound	21	21	21	1	0	1	0
o2_min	0	0	0	NA	NA	NA	NA
o2_Nref	1e+06	1e+06	1e+06	1	0	1	0
