N_ref	target_oxygen_pct	function_name	n_solutions	median_vivo_value	median_vitro_value	median_vivo_minus_vitro	median_vivo_to_vitro_ratio	dominant_direction	dominant_direction_fraction
44	0	boundary_dropped_rate	6	2.14306766972502e-09	0	2.14306766972502e-09	NA	vivo_gt_vitro	0.666666666666667
88	0	boundary_dropped_rate	6	2.73919234803626e-06	0.000181981220992423	-0.000180176967789768	0.0221556160168827	vivo_lt_vitro	1
44	1	boundary_dropped_rate	6	0	0	0	NA	vivo_gt_vitro	0.333333333333333
88	1	boundary_dropped_rate	6	3.10920742886844e-05	0.000221803741255745	-0.000172155316964824	0.165262829147328	vivo_lt_vitro	1
44	5	boundary_dropped_rate	6	0	0	0	NA	vivo_gt_vitro	0
88	5	boundary_dropped_rate	6	4.95284529903076e-05	0.000384574165737886	-0.000314318483754844	0.144930028738351	vivo_lt_vitro	1
44	20.5	boundary_dropped_rate	6	0	0	0	NA	vivo_gt_vitro	0
88	20.5	boundary_dropped_rate	6	4.95284529903076e-05	0.000384574165737886	-0.000314318483754844	0.144930028738351	vivo_lt_vitro	1
44	0	buffer_death_rate	6	0.100356426962785	0.547655480370519	-0.447478289676598	0.18319396335209	vivo_lt_vitro	1
88	0	buffer_death_rate	6	0.026600530675772	0.156183635744314	-0.129555157441752	0.170346286246761	vivo_lt_vitro	1
44	1	buffer_death_rate	6	0.246254335797427	0.603207688731377	-0.357035451025104	0.408193688731086	vivo_lt_vitro	1
88	1	buffer_death_rate	6	0.185784182364517	0.188388254803532	-0.00371255608528	0.980999867379279	vivo_gt_vitro	0.5
44	5	buffer_death_rate	6	0.0462443437472059	0.67453321327778	-0.628516516656761	0.0685465154084502	vivo_lt_vitro	1
88	5	buffer_death_rate	6	0.105923170607955	0.305044455060194	-0.19912128445224	0.347238496544395	vivo_lt_vitro	1
44	20.5	buffer_death_rate	6	0.0462443437472059	0.67453321327778	-0.628516516656761	0.0685465154084502	vivo_lt_vitro	1
88	20.5	buffer_death_rate	6	0.105923170607955	0.305044455060194	-0.19912128445224	0.347238496544395	vivo_lt_vitro	1
44	0	death_rate	6	0.0828988286319259	0.005	0.0778988286319259	16.5797657263852	vivo_gt_vitro	1
88	0	death_rate	6	0.412360067232616	0.0114869835499703	0.400839942080422	35.7718660932035	vivo_gt_vitro	1
44	1	death_rate	6	0.00275918630706808	0.00351545286088025	-0.00070787965617992	0.797196886291574	vivo_lt_vitro	0.666666666666667
88	1	death_rate	6	0.0176055851688265	0.00807638983672554	0.00950589378403102	2.17296561383802	vivo_gt_vitro	0.833333333333333
44	5	death_rate	6	3.81453957612719e-05	0.000523857785978845	-0.000465114512970689	0.0741940489517288	vivo_lt_vitro	1
88	5	death_rate	6	0.000246438306642186	0.00120350915401258	-0.000959209542603059	0.204584910836756	vivo_lt_vitro	1
44	20.5	death_rate	6	3.81453957612719e-05	0.000523857785978845	-0.000465114512970689	0.0741940489517288	vivo_lt_vitro	1
88	20.5	death_rate	6	0.000246438306642186	0.00120350915401258	-0.000959209542603059	0.204584910836756	vivo_lt_vitro	1
44	0	misseg_nonviable_rate	6	0.100356424825565	0.547655480370519	-0.447478291813817	0.183193959449577	vivo_lt_vitro	1
88	0	misseg_nonviable_rate	6	0.0265989643756564	0.15599512322511	-0.129412722003171	0.170493352500662	vivo_lt_vitro	1
44	1	misseg_nonviable_rate	6	0.246254335797427	0.603207688731377	-0.357035451025104	0.408193688731086	vivo_lt_vitro	1
88	1	misseg_nonviable_rate	6	0.185755878050738	0.188148266301103	-0.00356868988721099	0.981718325778538	vivo_gt_vitro	0.5
44	5	misseg_nonviable_rate	6	0.0462443437472059	0.67453321327778	-0.628516516656761	0.0685465154084502	vivo_lt_vitro	1
88	5	misseg_nonviable_rate	6	0.105845511911097	0.304635903890303	-0.198777286486895	0.347468961837712	vivo_lt_vitro	1
44	20.5	misseg_nonviable_rate	6	0.0462443437472059	0.67453321327778	-0.628516516656761	0.0685465154084502	vivo_lt_vitro	1
88	20.5	misseg_nonviable_rate	6	0.105845511911097	0.304635903890303	-0.198777286486895	0.347468961837712	vivo_lt_vitro	1
44	0	ms_rate	6	0.195618672688823	0.0103290231451046	0.185289649543719	18.9387389243615	vivo_gt_vitro	1
88	0	ms_rate	6	0.200501429158832	0.0104602242143603	0.190041795128792	19.1690271173119	vivo_gt_vitro	1
44	1	ms_rate	6	0.132310534562428	0.0102336769303735	0.122076267447734	12.9280812735799	vivo_gt_vitro	1
88	1	ms_rate	6	0.181864305711343	0.0104175664728804	0.171447329422783	17.4583688567292	vivo_gt_vitro	1
