parameter	n_solutions	median_fold_change_vivo_to_vitro	min_fold_change_vivo_to_vitro	max_fold_change_vivo_to_vitro	dominant_direction	dominant_direction_fraction	saturating_penalty_fraction	median_penalty_paid
alpha_o2	6	4.43231156674782	1.00000018036742	6.90102525137668	vivo_gt_vitro	1	0.833333333333333	0.0794640130432024
buffer_beta	6	0.070807947574401	0.0108501404809602	0.142887167131681	vivo_lt_vitro	1	1	0.0799999993096683
buffer_n_exp	6	2.87165523628842	0.0741033930309076	3.1669962368874	vivo_gt_vitro	0.666666666666667	1	0.0780375052860469
buffer_smax	6	0.911175692075008	0.901526352688421	0.994780507585621	vivo_lt_vitro	1	0	0.00881842546904118
gamma_growth	6	1.70356431648723	1.28667795718967	2.20505817502205	vivo_gt_vitro	1	1	0.0799999942762711
gamma_mu	6	2.18228978909363	1.77699248756194	2.38440297584968	vivo_gt_vitro	1	1	0.0799999999999975
k_o_mis	6	17.110364942427	8.85749928749526	37.4189792594213	vivo_gt_vitro	1	1	0.0799999994508054
lam_max	6	0.177127887883061	0.0991845944587553	0.222466903908291	vivo_lt_vitro	1	1	0.079981258820305
mu_hp	6	16.5797657263852	9.97685080495474	32.2800371912236	vivo_gt_vitro	1	1	0.0799999903395615
n_O	6	1.55963543381483	0.890308098946313	2.61811466549062	vivo_gt_vitro	0.833333333333333	0.833333333333333	0.0799805944527228
O2_crit	6	0.16811640600132	0.0660656737124705	0.608348231532501	vivo_lt_vitro	1	0.833333333333333	0.0799749904413413
p_mis_base	6	32.1676477444119	1.0320982040672	5519.58241944582	vivo_gt_vitro	1	0.833333333333333	0.0799970784839459
p_misseg	6	16.8394125061649	11.1202365528238	47.3775795409458	vivo_gt_vitro	1	1	0.0799999999767005
p_wgd	6	0.989011092688107	0.0374472542849141	1.10654951396848	vivo_gt_vitro	0.5	0.166666666666667	0.00130687182355241
