parameter	split_enabled	center_name	delta_name	center_transformed	delta_transformed	vivo_transformed	vitro_transformed	center_natural	vivo_natural	vitro_natural	delta_interpretable	natural_difference_vivo_to_vitro	transformed_difference_vivo_to_vitro	log10_ratio_vivo_to_vitro	fold_change_vivo_to_vitro	ratio_vivo_to_vitro	logit_vivo	logit_vitro	logit_difference_vivo_to_vitro	odds_ratio_vivo_to_vitro	regularization_sigma	penalty_type	welsch_c	welsch_transition_delta	abs_delta_over_sigma	welsch_saturation_fraction	penalty_region	penalty_paid	joint_union_lower_transformed	joint_union_upper_transformed	joint_union_lower_bound	joint_union_upper_bound	feasible_at_solution	feasible_before_projection	projection_applied	projection_action	center_raw_transformed	delta_raw_transformed	vivo_raw_transformed	vitro_raw_transformed	center_raw_natural	vivo_raw_natural	vitro_raw_natural	delta_dynamic_lower_transformed	delta_dynamic_upper_transformed	solution	objective	objective_delta
O2_crit	TRUE	log10_O2_crit	delta__log10_O2_crit	-0.226148508116371	-0.853016623143665	-0.652656819688203	0.200359803455462	0.59408897362346	0.222506744860626	1.58620678578554	-0.853016623143665	-1.36370004092491	-0.853016623143665	-0.853016623143665	0.14027600112077	0.14027600112077	NA	NA	NA	NA	0.65	welsch	0.4	0.26	1.31233326637487	0.999978849907156	saturating	0.0799983079925725	-4	0.397940008672038	1e-04	2.5	TRUE	TRUE	FALSE	none	-0.226148508116371	-0.853016623143665	-0.652656819688203	0.200359803455462	0.59408897362346	0.222506744860626	1.58620678578554	-1.24817703357682	1.24817703357682	tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0
mu_hp	TRUE	log10_mu_hp	delta__log10_mu_hp	-1.79525411246165	1.01155176640467	-1.28947822925931	-2.30102999566398	0.0160230758124583	0.0513477916983572	0.005	1.01155176640467	0.0463477916983572	1.01155176640467	1.01155176640467	10.2695583396714	10.2695583396714	NA	NA	NA	NA	0.65	welsch	0.4	0.26	1.55623348677642	0.999999733166684	saturating	0.0799999786533347	-2.30102999566398	-0.522878745280338	0.005	0.3	TRUE	TRUE	FALSE	none	-1.79525411246165	1.01155176640467	-1.28947822925931	-2.30102999566398	0.0160230758124583	0.0513477916983572	0.005	-1.01155176640467	1.01155176640467	tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0
p_misseg	TRUE	log10_p_misseg	delta__log10_p_misseg	-1.4535458521862	1.04611402577961	-0.930488839296389	-1.976602865076	0.035192826448372	0.117357584120704	0.0105535150770604	1.04611402577961	0.106804069043644	1.04611402577961	1.04611402577961	11.1202365528238	11.1202365528238	-2.01769460513343	-4.54068669354326	2.52299208840983	12.465839813218	0.65	welsch	0.4	0.26	1.6094061935071	0.999999906814793	saturating	0.0799999925451834	-2.30102999566398	-0.301029995663981	0.005	0.5	TRUE	TRUE	FALSE	none	-1.4535458521862	1.04611402577961	-0.930488839296389	-1.976602865076	0.035192826448372	0.117357584120704	0.0105535150770604	-1.69496828695557	1.69496828695557	tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0
k_o_mis	TRUE	log10_k_o_mis	delta__log10_k_o_mis	-3.46747209044657	0.959678071247266	-2.98763305482293	-3.9473111260702	0.000340822226737656	0.00102888525927235	0.000112898682522252	0.959678071247266	0.000915986576750098	0.959678071247266	0.959678071247266	9.11335045091921	9.11335045091921	NA	NA	NA	NA	0.65	welsch	0.4	0.26	1.47642780191887	0.999998788915222	saturating	0.0799999031132178	-5	-1.69897000433602	1e-05	0.02	TRUE	TRUE	FALSE	none	-3.46747209044657	0.959678071247266	-2.98763305482293	-3.9473111260702	0.000340822226737656	0.00102888525927235	0.000112898682522252	-3.06505581910687	3.06505581910687	tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0
buffer_smax	TRUE	buffer_smax	delta__buffer_smax	0.954257795077643	-0.091484409844715	0.908515590155285	1	0.954257795077643	0.908515590155285	1	-0.091484409844715	-0.091484409844715	-0.091484409844715	NA	0.908515590155285	0.908515590155285	NA	NA	NA	NA	0.65	welsch	0.4	0.26	0.140745245914946	0.11645022602955	near_quadratic	0.00931601808236401	0	1	0	1	TRUE	TRUE	FALSE	none	0.954257795077643	-0.091484409844715	0.908515590155285	1	0.954257795077643	0.908515590155285	1	-0.091484409844715	0.091484409844715	tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0
buffer_beta	TRUE	log10_buffer_beta	delta__log10_buffer_beta	-0.28989539770726	-0.983202273192138	-0.781496534303329	0.201705738888809	0.512984924445842	0.165387798276667	1.59113027351929	-0.983202273192138	-1.42574247524262	-0.983202273192138	-0.983202273192138	0.103943593449994	0.103943593449994	NA	NA	NA	NA	0.65	welsch	0.4	0.26	1.51261888183406	0.999999384049516	saturating	0.0799999507239613	-2	1	0.01	10	TRUE	TRUE	FALSE	none	-0.28989539770726	-0.983202273192138	-0.781496534303329	0.201705738888809	0.512984924445842	0.165387798276667	1.59113027351929	-2.57979079541452	2.57979079541452	tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0
buffer_n_exp	TRUE	log10_buffer_n_exp	delta__log10_buffer_n_exp	0.749676226334253	0.500647547331493	1	0.499352452668507	5.61922246735227	10	3.15756611375965	0.500647547331493	6.84243388624035	0.500647547331493	0.500647547331493	3.1669962368874	3.1669962368874	NA	NA	NA	NA	0.65	welsch	0.4	0.26	0.770226995894605	0.975468816075587	saturating	0.0780375052860469	-1	1	0.1	10	TRUE	TRUE	FALSE	none	0.749676226334253	0.500647547331493	1	0.499352452668507	5.61922246735227	10	3.15756611375965	-0.500647547331493	0.500647547331493	tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0
n_O	TRUE	n_O	delta__n_O	2.02052984291053	0.30391001849108	2.17248485215607	1.86857483366499	2.02052984291053	2.17248485215607	1.86857483366499	0.30391001849108	0.30391001849108	0.30391001849108	NA	1.1626426798733	1.1626426798733	NA	NA	NA	NA	0.65	welsch	0.4	0.26	0.467553874601661	0.744948912395799	saturating	0.0595959129916639	1e-04	5	1e-04	5	TRUE	TRUE	FALSE	none	2.02052984291053	0.30391001849108	2.17248485215607	1.86857483366499	2.02052984291053	2.17248485215607	1.86857483366499	-4.04085968582106	4.04085968582106	tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0
alpha_o2	TRUE	log10_alpha_o2	delta__log10_alpha_o2	0.0645171318541569	0.731094255036276	0.430064259372295	-0.301029995663981	1.16015798063767	2.69193308007453	0.5	0.731094255036276	2.19193308007453	0.731094255036276	0.731094255036276	5.38386616014906	5.38386616014906	NA	NA	NA	NA	0.65	welsch	0.4	0.26	1.1247603923635	0.999631764222945	saturating	0.0799705411378356	-0.301029995663981	0.602059991327962	0.5	4	TRUE	TRUE	FALSE	none	0.0645171318541569	0.731094255036276	0.430064259372295	-0.301029995663981	1.16015798063767	2.69193308007453	0.5	-0.731094255036276	0.731094255036276	tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0
gamma_growth	TRUE	gamma_growth	delta__gamma_growth	2.40379363126653	1.80758726253307	3.30758726253307	1.5	2.40379363126653	3.30758726253307	1.5	1.80758726253307	1.80758726253307	1.80758726253307	NA	2.20505817502205	2.20505817502205	NA	NA	NA	NA	0.65	welsch	0.4	0.26	2.78090348082011	1	saturating	0.08	1.5	4.5	1.5	4.5	TRUE	TRUE	FALSE	none	2.40379363126653	1.80758726253307	3.30758726253307	1.5	2.40379363126653	3.30758726253307	1.5	-1.80758726253307	1.80758726253307	tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0
