solution	context	cohort	N_ref	n_oxygen_grid	max_misseg_nonviable_rate	max_boundary_dropped_rate	max_boundary_share_of_cin_loss	median_boundary_share_of_cin_loss
tsne_vi_seed138_C03Sc01_vt_seed10	invitro	1.5N	33	866	0.652423851373864	0	0	0
tsne_vi_seed25_C02Sc01_vt_seed10	invitro	1.5N	33	866	0.65576586280533	0	0	0
tsne_vi_seed290_C01Sc02_vt_seed10	invitro	1.5N	33	866	0.655931950940348	0	0	0
tsne_vi_seed311_C03Sc02_vt_seed10	invitro	1.5N	33	866	0.655623850852387	0	0	0
tsne_vi_seed322_C02Sc02_vt_seed10	invitro	1.5N	33	866	0.655670453240759	0	0	0
tsne_vi_seed366_C01Sc01_vt_seed10	invitro	1.5N	33	866	0.656238987254329	0	0	0
tsne_vi_seed138_C03Sc01_vt_seed10	invivo	1.5N	33	896	0.108192715114084	0.0376972788495312	0.267498219104066	0
tsne_vi_seed25_C02Sc01_vt_seed10	invivo	1.5N	33	907	0.420008730287891	1.52680102759932e-25	5.65382852498969e-25	0
tsne_vi_seed290_C01Sc02_vt_seed10	invivo	1.5N	33	916	0.141065118761811	0.044578253359693	0.240148062955416	1.64090825927592e-06
tsne_vi_seed311_C03Sc02_vt_seed10	invivo	1.5N	33	885	0.546825440439553	4.33889375283331e-09	1.51822301947382e-08	1.47500911323011e-13
tsne_vi_seed322_C02Sc02_vt_seed10	invivo	1.5N	33	875	0.430065911358023	1.54510434287471e-17	3.99711847555561e-17	5.20406291698793e-21
tsne_vi_seed366_C01Sc01_vt_seed10	invivo	1.5N	33	902	0.404636239527521	2.2381009166714e-21	9.66814023939082e-21	0
tsne_vi_seed138_C03Sc01_vt_seed10	invitro	2.5N	55	866	0.604468966787961	0	0	0
tsne_vi_seed25_C02Sc01_vt_seed10	invitro	2.5N	55	866	0.604193061616006	0	0	0
tsne_vi_seed290_C01Sc02_vt_seed10	invitro	2.5N	55	866	0.604347324249958	0	0	0
tsne_vi_seed311_C03Sc02_vt_seed10	invitro	2.5N	55	866	0.604288619986895	0	0	0
tsne_vi_seed322_C02Sc02_vt_seed10	invitro	2.5N	55	866	0.60410515555045	0	0	0
tsne_vi_seed366_C01Sc01_vt_seed10	invitro	2.5N	55	866	0.604636202434375	0	0	0
tsne_vi_seed138_C03Sc01_vt_seed10	invivo	2.5N	55	896	0.147312067768129	0.000357508968525901	0.00611963137713344	0
tsne_vi_seed25_C02Sc01_vt_seed10	invivo	2.5N	55	907	0.210821686943841	0	0	0
tsne_vi_seed290_C01Sc02_vt_seed10	invivo	2.5N	55	916	0.175644125132269	0.000643210847640177	0.00582232569927306	0
tsne_vi_seed311_C03Sc02_vt_seed10	invivo	2.5N	55	885	0.349539102071996	0	0	0
tsne_vi_seed322_C02Sc02_vt_seed10	invivo	2.5N	55	875	0.204016403819938	0	0	0
tsne_vi_seed366_C01Sc01_vt_seed10	invivo	2.5N	55	902	0.164046354175797	0	0	0
tsne_vi_seed138_C03Sc01_vt_seed10	invitro	2N	44	866	0.694278510750994	0	0	0
tsne_vi_seed25_C02Sc01_vt_seed10	invitro	2N	44	866	0.695702408280802	0	0	0
tsne_vi_seed290_C01Sc02_vt_seed10	invitro	2N	44	866	0.695878031818899	0	0	0
tsne_vi_seed311_C03Sc02_vt_seed10	invitro	2N	44	866	0.69569366189166	0	0	0
tsne_vi_seed322_C02Sc02_vt_seed10	invitro	2N	44	866	0.695601188214908	0	0	0
tsne_vi_seed366_C01Sc01_vt_seed10	invitro	2N	44	866	0.696200773313464	0	0	0
tsne_vi_seed138_C03Sc01_vt_seed10	invivo	2N	44	896	0.129697246773364	0.00658967940528185	0.0824893256528806	0
tsne_vi_seed25_C02Sc01_vt_seed10	invivo	2N	44	907	0.313327379574516	1.169676446014e-11	7.57208250882038e-11	0
tsne_vi_seed290_C01Sc02_vt_seed10	invivo	2N	44	916	0.159985850025439	0.0102616142357646	0.0768657617881929	0
tsne_vi_seed311_C03Sc02_vt_seed10	invivo	2N	44	885	0.401663795815997	6.31129699467805e-09	3.84817197058207e-08	0
tsne_vi_seed322_C02Sc02_vt_seed10	invivo	2N	44	875	0.265495572382229	0	0	0
tsne_vi_seed366_C01Sc01_vt_seed10	invivo	2N	44	902	0.244122644382017	0	0	0
tsne_vi_seed138_C03Sc01_vt_seed10	invitro	3.5N	77	866	0.387231942298662	0	0	0
tsne_vi_seed25_C02Sc01_vt_seed10	invitro	3.5N	77	866	0.385194866799199	0	0	0
tsne_vi_seed290_C01Sc02_vt_seed10	invitro	3.5N	77	866	0.385295223313275	0	0	0
tsne_vi_seed311_C03Sc02_vt_seed10	invitro	3.5N	77	866	0.385352191961583	0	0	0
tsne_vi_seed322_C02Sc02_vt_seed10	invitro	3.5N	77	866	0.385138823512104	0	0	0
tsne_vi_seed366_C01Sc01_vt_seed10	invitro	3.5N	77	866	0.385489311199263	0	0	0
tsne_vi_seed138_C03Sc01_vt_seed10	invivo	3.5N	77	896	0.174226822591989	8.27375758361469e-08	1.87777919949094e-06	0
tsne_vi_seed25_C02Sc01_vt_seed10	invivo	3.5N	77	907	0.224432680520226	0	0	0
tsne_vi_seed290_C01Sc02_vt_seed10	invivo	3.5N	77	916	0.199613903592832	1.63775008474728e-07	1.74480464171188e-06	0
tsne_vi_seed311_C03Sc02_vt_seed10	invivo	3.5N	77	885	0.392287057397224	0	0	0
tsne_vi_seed322_C02Sc02_vt_seed10	invivo	3.5N	77	875	0.237686257315869	0	0	0
tsne_vi_seed366_C01Sc01_vt_seed10	invivo	3.5N	77	902	0.180033969487647	0	0	0
