parameter	parameter_group	transformation	C01_de_initial_and_optimizer	C02_de_initial_and_optimizer	C03_de_initial_and_optimizer	cross_family_direction	direction_agreement	paired_endpoint_to_initial_width90_ratio_max	max_active_bound_fraction	interpretation_limit
lam_max	Division and genome change	log10	in vivo: DE init 0.247 [0.201, 0.306]; endpoint 0.239 [0.239, 0.239]; bound=0%; in vitro: DE init 1.32 [1.09, 1.48]; endpoint 1.35 [1.35, 1.35]; bound=0%	in vivo: DE init 0.247 [0.202, 0.306]; endpoint 0.239 [0.239, 0.239]; bound=0%; in vitro: DE init 1.32 [1.09, 1.48]; endpoint 1.35 [1.35, 1.35]; bound=0%	in vivo: DE init 0.308 [0.259, 0.366]; endpoint 0.300 [0.300, 0.300]; bound=0%; in vitro: DE init 1.33 [1.13, 1.48]; endpoint 1.35 [1.35, 1.35]; bound=0%	lower in vivo	TRUE	0	0	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
p_mis_base	Division and genome change	log10	in vivo: DE init 0.00000988 [0.00000155, 0.0000954]; endpoint 0.00000882 [0.00000337, 0.00000882]; bound=0%; in vitro: DE init 0.00000958 [0.00000151, 0.0000925]; endpoint 0.00000854 [0.00000329, 0.00000856]; bound=0.2%	in vivo: DE init 0.000495 [0.0000634, 0.00356]; endpoint 0.000495 [0.000495, 0.000495]; bound=0%; in vitro: DE init 0.00000854 [0.00000133, 0.0000615]; endpoint 0.00000854 [0.00000854, 0.00000854]; bound=0%	in vivo: DE init 0.0428 [0.00795, 0.0918]; endpoint 0.0471 [0.0471, 0.0471]; bound=0%; in vitro: DE init 0.00000982 [0.00000172, 0.000123]; endpoint 0.00000854 [0.00000854, 0.00000854]; bound=0%	higher in vivo	TRUE	0.371841049736877	0.002	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
p_wgd	Division and genome change	log10	in vivo: DE init 0.000164 [0.0000334, 0.000617]; endpoint 0.000182 [0.000182, 0.000202]; bound=0%; in vitro: DE init 0.000299 [0.0000607, 0.000964]; endpoint 0.000331 [0.000298, 0.000331]; bound=0%	in vivo: DE init 0.0000144 [0.0000103, 0.000197]; endpoint 0.0000124 [0.0000124, 0.0000124]; bound=0%; in vitro: DE init 0.000333 [0.0000181, 0.000947]; endpoint 0.000331 [0.000331, 0.000331]; bound=0%	in vivo: DE init 0.000626 [0.000163, 0.000988]; endpoint 0.000830 [0.000657, 0.000830]; bound=0%; in vitro: DE init 0.000250 [0.0000648, 0.000841]; endpoint 0.000331 [0.000331, 0.000405]; bound=0%	family-dependent or overlaps equality	FALSE	0.690172900118371	0	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
p_misseg	Stress-linked missegregation	log10	in vivo: DE init 0.117 [0.0542, 0.239]; endpoint 0.117 [0.117, 0.117]; bound=0%; in vitro: DE init 0.0106 [0.00562, 0.0215]; endpoint 0.0106 [0.0106, 0.0106]; bound=0%	in vivo: DE init 0.186 [0.0887, 0.368]; endpoint 0.187 [0.187, 0.187]; bound=0%; in vitro: DE init 0.0106 [0.00572, 0.0213]; endpoint 0.0106 [0.0106, 0.0106]; bound=0%	in vivo: DE init 0.169 [0.0799, 0.337]; endpoint 0.169 [0.169, 0.169]; bound=0%; in vitro: DE init 0.0105 [0.00570, 0.0211]; endpoint 0.0106 [0.0106, 0.0106]; bound=0%	higher in vivo	TRUE	0	0	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
k_o_mis	Stress-linked missegregation	log10	in vivo: DE init 0.00103 [0.000205, 0.00513]; endpoint 0.00103 [0.00103, 0.00103]; bound=0%; in vitro: DE init 0.000113 [0.0000225, 0.000563]; endpoint 0.000113 [0.000113, 0.000113]; bound=0%	in vivo: DE init 0.00274 [0.000591, 0.0126]; endpoint 0.00274 [0.00274, 0.00274]; bound=0%; in vitro: DE init 0.000113 [0.0000243, 0.000525]; endpoint 0.000113 [0.000113, 0.000113]; bound=0%	in vivo: DE init 0.00144 [0.000296, 0.00698]; endpoint 0.00144 [0.00144, 0.00144]; bound=0%; in vitro: DE init 0.000113 [0.0000231, 0.000548]; endpoint 0.000113 [0.000113, 0.000113]; bound=0%	higher in vivo	TRUE	0	0	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
O2_crit	Oxygen response	log10	in vivo: DE init 0.223 [0.178, 0.278]; endpoint 0.223 [0.223, 0.223]; bound=0%; in vitro: DE init 1.59 [1.27, 1.98]; endpoint 1.59 [1.59, 1.59]; bound=0%	in vivo: DE init 0.169 [0.130, 0.219]; endpoint 0.169 [0.169, 0.169]; bound=0%; in vitro: DE init 1.59 [1.22, 2.05]; endpoint 1.59 [1.59, 1.59]; bound=0%	in vivo: DE init 0.518 [0.463, 0.580]; endpoint 0.518 [0.518, 0.518]; bound=0%; in vitro: DE init 1.59 [1.42, 1.78]; endpoint 1.59 [1.59, 1.59]; bound=0%	lower in vivo	TRUE	0	0	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
n_O	Oxygen response	identity	in vivo: DE init 2.17 [1.77, 2.58]; endpoint 2.17 [2.17, 2.17]; bound=0%; in vitro: DE init 1.87 [1.46, 2.27]; endpoint 1.87 [1.87, 1.87]; bound=0%	in vivo: DE init 1.66 [1.31, 2.02]; endpoint 1.66 [1.66, 1.66]; bound=0%; in vitro: DE init 1.87 [1.52, 2.22]; endpoint 1.87 [1.87, 1.87]; bound=0%	in vivo: DE init 4.77 [4.15, 4.98]; endpoint 4.89 [4.89, 4.89]; bound=0%; in vitro: DE init 1.97 [1.13, 3.27]; endpoint 1.87 [1.87, 1.87]; bound=0%	family-dependent or overlaps equality	FALSE	0	0	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
alpha_o2	Ploidy-linked growth and death	log10	in vivo: DE init 2.50 [2.17, 2.74]; endpoint 2.69 [2.69, 2.69]; bound=0%; in vitro: DE init 0.537 [0.503, 0.614]; endpoint 0.500 [0.500, 0.500]; bound=100%	in vivo: DE init 1.65 [1.49, 1.75]; endpoint 1.74 [1.74, 1.74]; bound=0%; in vitro: DE init 0.527 [0.502, 0.582]; endpoint 0.500 [0.500, 0.500]; bound=100%	in vivo: DE init 3.15 [2.64, 3.60]; endpoint 3.45 [3.45, 3.45]; bound=0%; in vitro: DE init 0.544 [0.504, 0.636]; endpoint 0.500 [0.500, 0.500]; bound=100%	higher in vivo	TRUE	0	1	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
gamma_growth	Ploidy-linked growth and death	identity	in vivo: DE init 3.21 [2.26, 3.82]; endpoint 3.31 [3.31, 3.31]; bound=0%; in vitro: DE init 1.62 [1.51, 2.01]; endpoint 1.50 [1.50, 1.50]; bound=100%	in vivo: DE init 2.79 [1.95, 3.32]; endpoint 2.86 [2.86, 2.86]; bound=0%; in vitro: DE init 1.60 [1.51, 1.96]; endpoint 1.50 [1.50, 1.50]; bound=100%	in vivo: DE init 1.96 [1.55, 2.29]; endpoint 1.93 [1.93, 1.93]; bound=0%; in vitro: DE init 1.55 [1.50, 1.86]; endpoint 1.50 [1.50, 1.50]; bound=99.8%	higher in vivo	TRUE	0	1	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
mu_hp	Ploidy-linked growth and death	log10	in vivo: DE init 0.0459 [0.00957, 0.121]; endpoint 0.0513 [0.0513, 0.0513]; bound=0%; in vitro: DE init 0.00592 [0.00507, 0.0118]; endpoint 0.00500 [0.00500, 0.00500]; bound=99.8%	in vivo: DE init 0.0447 [0.00935, 0.118]; endpoint 0.0499 [0.0499, 0.0499]; bound=0%; in vitro: DE init 0.00591 [0.00507, 0.0118]; endpoint 0.00500 [0.00500, 0.00500]; bound=100%	in vivo: DE init 0.0964 [0.0219, 0.244]; endpoint 0.114 [0.114, 0.114]; bound=0%; in vitro: DE init 0.00612 [0.00509, 0.0117]; endpoint 0.00500 [0.00500, 0.00500]; bound=99.8%	higher in vivo	TRUE	0	1	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
gamma_mu	Ploidy-linked growth and death	identity	in vivo: DE init 2.56 [1.80, 3.04]; endpoint 2.64 [2.63, 2.64]; bound=0%; in vitro: DE init 1.30 [1.21, 1.61]; endpoint 1.20 [1.20, 1.21]; bound=94%	in vivo: DE init 2.60 [1.83, 3.09]; endpoint 2.68 [2.68, 2.68]; bound=0%; in vitro: DE init 1.30 [1.21, 1.61]; endpoint 1.20 [1.20, 1.20]; bound=98.6%	in vivo: DE init 2.09 [1.46, 2.49]; endpoint 2.14 [2.14, 2.14]; bound=0%; in vitro: DE init 1.27 [1.21, 1.55]; endpoint 1.20 [1.20, 1.20]; bound=98.4%	higher in vivo	TRUE	0.0191200129590224	0.986	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
