display_order	peak_direction	within_direction_rank	importance_rank	parameter	max_abs_rho	rho_at_max_abs	O2_at_max_abs	fraction_positive	fraction_negative	sign_stability
1	Positive peak rho	1	2	p_mis_base	0.648748898995596	0.648748898995596	4.05	1	0	1
2	Positive peak rho	2	3	lam_max	0.46737574714802	0.46737574714802	0.025	1	0	1
3	Positive peak rho	3	8	O2_crit	0.269435042955955	0.269435042955955	1.1	0.930348258706468	0.0696517412935323	0.930348258706468
4	Positive peak rho	4	10	n_O	0.260561842247369	0.260561842247369	4.975	0.91044776119403	0.0895522388059701	0.91044776119403
5	Positive peak rho	5	12	buffer_n_exp	0.196032138643127	0.196032138643127	2.925	0.950248756218905	0.0497512437810945	0.950248756218905
6	Positive peak rho	6	13	gamma_growth	0.178270601082404	0.178270601082404	0.4	1	0	1
7	Positive peak rho	7	14	p_wgd	0.177683270733083	0.177683270733083	1.9	0.975124378109453	0.0248756218905473	0.975124378109453
8	Positive peak rho	8	17	k_clear	0.148370133041415	0.148370133041415	0.7	1	0	1
9	Negative peak rho	1	1	mu_hp	0.690831487624644	-0.690831487624644	0	0.835820895522388	0.164179104477612	0.835820895522388
10	Negative peak rho	2	4	buffer_beta	0.447257053028212	-0.447257053028212	1.9	0.0746268656716418	0.925373134328358	0.925373134328358
11	Negative peak rho	3	5	gamma_mu	0.438894651578606	-0.438894651578606	0.975	0	1	1
12	Negative peak rho	4	6	p_misseg	0.37834490910387	-0.37834490910387	2.075	0.144278606965174	0.855721393034826	0.855721393034826
13	Negative peak rho	5	7	o2_S0	0.364838766796611	-0.364838766796611	3.7	0.0845771144278607	0.915422885572139	0.915422885572139
14	Negative peak rho	6	9	k_o_mis	0.269312172982061	-0.269312172982061	0.45	0	1	1
15	Negative peak rho	7	11	buffer_smax	0.236271526859434	-0.236271526859434	0	0.845771144278607	0.154228855721393	0.845771144278607
16	Negative peak rho	8	15	kappa_O	0.171258541034164	-0.171258541034164	2.05	0	1	1
17	Negative peak rho	9	16	alpha_o2	0.167381758969002	-0.167381758969002	0.025	0.781094527363184	0.218905472636816	0.781094527363184
18	Negative peak rho	10	18	eta_o2	0.139389177932332	-0.139389177932332	2.15	0.0696517412935323	0.930348258706468	0.930348258706468
