stage	old_path	canonical_path	responsibility	status
1	oxygen/code/in-vitro-utils/io.R	oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_invitro_io_utils.R	in-vitro input configuration and fitted-parameter I/O	migrated
1	oxygen/code/in-vitro-utils/lineage_adapter.R	oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_invitro_lineage_utils.R	observation normalization and lineage mapping	migrated
1	oxygen/code/in-vitro-utils/objective.R	oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_invitro_objective_utils.R	in-vitro objective likelihoods and parameter transforms	migrated
1	oxygen/code/in-vitro-utils/plotting.R	oxygen/code/O2_supply_demand_MAP/vis/invitro/o2_supply_demand_map_invitro_plot_utils.R	pure in-vitro plot constructors	migrated
1	oxygen/code/in-vitro-utils/runner.R	oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_invitro_lineage_simulation_utils.R	fitting-time candidate lineage simulation	migrated
1	oxygen/code/in-vitro-utils/summaries.R	oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_invitro_summary_utils.R	fitting and exported-table summaries	migrated
2	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/01_fixed_o2/FixO2_invivo.R	oxygen/code/O2_supply_demand_MAP/report/fixed_o2/render_fixed_o2_report.R	fixed-O2 report assembly shared with the primary legacy entrypoint	split
2	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/01_fixed_o2/FixO2_invivo.R	oxygen/code/O2_supply_demand_MAP/simulation/o2/fixed_o2/fixed_o2_numerical_producers.R	fixed-O2 numerical production shared with the primary legacy entrypoint	split
2	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/01_fixed_o2/FixO2_invivo.R	oxygen/code/O2_supply_demand_MAP/vis/fixed_o2/render_fixed_o2_figures.R	fixed-O2 figure rendering shared with the primary legacy entrypoint	split
2	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/02_parameter_landscape_clustering/*.R	oxygen/code/O2_supply_demand_MAP/simulation/parameter_landscape/generate_parameter_landscape_simulation_tables.R	fitted-parameter numerical feature materialization	split
2	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/02_parameter_landscape_clustering/*.R	oxygen/code/O2_supply_demand_MAP/vis/parameter_landscape/visualize_parameter_landscape.R	parameter-landscape and contribution figures	split
2	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/02_parameter_landscape_clustering/*report.R	oxygen/code/O2_supply_demand_MAP/report/parameter_landscape/clustering_report.R	parameter-landscape HTML assembly	deprecated-compatibility-wrapper
2	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/03_dense-grid_monotonicity_classification/dense_grid_monotonicity_report.R	oxygen/code/O2_supply_demand_MAP/report/dense_grid_monotonicity/render_dense_grid_report.R	dense-grid HTML assembly	deprecated-compatibility-wrapper
2	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/03_dense-grid_monotonicity_classification/fixed_o2_initial_ploidy_trajectory.R	oxygen/code/O2_supply_demand_MAP/simulation/o2/dense_grid/generate_dense_grid_simulation_tables.R	initial-ploidy fitted-parameter trajectory production	deprecated-compatibility-wrapper
