artifact	analysis_entry	drawing_entry	logic_origin
Figure1	data_Figure1.R	draw_Figure1.R	current packaged data-backed figure logic
Figure2	data_Figure2.R	draw_Figure2.R	current packaged native vector drawing logic
Figure3	data_Figure3.R	draw_Figure3.R	current packaged data-backed figure logic
Figure4	data_Figure4.R	draw_Figure4.R	current packaged data-backed figure logic
Figure5	data_Figure5.R	draw_Figure5.R	current packaged data-backed figure logic
Figure6	data_Figure6_full_range_q10.R	draw_Figure6.R	fixed-mechanistic-p_misseg response surfaces and finite-time in-vivo and stochastic-passage in-vitro dynamics
Supp_Figure4_1	data_Supp_Figure4_1.R	draw_Supp_Figure4_1.R	current packaged data-backed Figure 4 parameter-distribution logic
Supp_Figure4_2	data_Supp_Figure4_2.R	draw_Supp_Figure4_2.R	current packaged data-backed Figure 4 optimizer-diagnostic logic
Supp_Figure5_1	data_Supp_Figure5_1.R	draw_Supp_Figure5_1.R	current packaged data-backed Figure 5 parameter-stability logic
Supp_Figure5_2	data_Supp_Figure5_2.R	draw_Supp_Figure5_2.R	current packaged data-backed Figure 5 optimizer-diagnostic logic
Supp_Figure6_1	data_Supp_Figure6_1.R	draw_Supp_Figure6_1.R	promoted response-class diagnostics
Supp_Figure6_2	data_Supp_Figure6_2.R	draw_Supp_Figure6_2.R	promoted joint-ensemble robustness diagnostics
Supp_Figure6_3	data_Supp_Figure6_3.R	draw_Supp_Figure6_3.R	promoted weak-gap regime diagnostics
Supp_Figure6_4	data_Supp_Figure6_4.R	draw_Supp_Figure6_4.R	promoted extended in-vitro oxygen-response diagnostics
Supp_Figure6_5	data_Figure6_finite_time_q10.R	draw_Supp_Figure6_5.R	promoted finite-time solver consistency diagnostics
Supp_Figure6_6	data_Figure6_finite_time_q10.R	draw_Supp_Figure6_6.R	promoted eigen-expm agreement diagnostics
Supp_Figure6_7	data_Figure6_finite_time_q10.R	draw_Supp_Figure6_7.R	promoted finite-time versus steady-attractor diagnostics
Supp_Figure6_10	data_Figure6_full_range_q10.R	draw_Supp_Figure6_10.R	promoted full-range in-vivo continuous dynamics
Supp_Figure6_11	data_Figure6_full_range_q10.R	draw_Supp_Figure6_11.R	promoted full-range in-vitro continuous dynamics
Supp_Figure6_12	data_Figure6_full_range_q10.R	draw_Supp_Figure6_12.R	promoted full-range stochastic-passage in-vitro dynamics
Supp_Figure6_13	data_Figure6_full_range_q10.R	draw_Supp_Figure6_13.R	promoted stochastic-passage precision diagnostics
